,Team1,Team2,Min_Start,Min_End,T1Score_Begin,T2Score_Begin,T1Score_End,T2Score_End,Margin_Period,Margin_TOT,WCT_Start,WCT_End,Vol_Period,Vol_Total,T1Vol_Period,T2Vol_Period,T1Vol_Total,T2Vol_Total,T1Sent_Period,T2Sent_Period,T1Sent_Total,T2Sent_Total
0,Syracuse,Virginia,0,1,0,0,0,0,0,0,18:09:00,18:10:57,95,0,65,37,0,0,0,2,0,32
1,Syracuse,Virginia,1,2,0,0,2,0,2,2,18:10:57,18:13:38,143,238,89,67,154,104,2,30,2,32
2,Syracuse,Virginia,2,3,2,0,4,2,0,2,18:13:38,18:16:47,105,343,67,53,221,157,-4,-5,-2,27
3,Syracuse,Virginia,3,4,4,2,4,2,0,2,18:16:47,18:18:45,99,442,62,54,283,211,0,13,-2,40
4,Syracuse,Virginia,4,5,4,2,6,2,2,4,18:18:45,18:21:20,78,520,46,33,329,244,1,-3,-1,37
5,Syracuse,Virginia,5,6,6,2,8,5,-1,3,18:21:20,18:23:55,99,619,58,50,387,294,1,3,0,40
6,Syracuse,Virginia,6,7,8,5,8,8,-3,0,18:23:55,18:27:01,106,725,52,73,439,367,20,14,20,54
7,Syracuse,Virginia,7,8,8,8,8,11,-3,-3,18:27:01,18:29:49,109,834,48,75,487,442,-1,-4,19,50
8,Syracuse,Virginia,8,9,8,11,8,11,0,-3,18:29:49,18:31:42,45,879,24,20,511,462,-4,1,15,51
9,Syracuse,Virginia,9,10,8,11,8,12,-1,-4,18:31:42,18:35:01,83,962,52,40,563,502,-3,2,12,53
10,Syracuse,Virginia,10,11,8,12,10,15,-1,-5,18:35:01,18:37:26,111,1073,57,70,620,572,-6,-15,6,38
11,Syracuse,Virginia,11,12,10,15,10,15,0,-5,18:37:26,18:40:03,84,1157,46,46,666,618,2,4,8,42
12,Syracuse,Virginia,12,13,10,15,10,17,-2,-7,18:40:03,18:41:59,74,1231,35,40,701,658,4,-6,12,36
13,Syracuse,Virginia,13,14,10,17,12,21,-2,-9,18:41:59,18:45:02,110,1341,43,73,744,731,-7,-8,5,28
14,Syracuse,Virginia,14,15,12,21,14,23,0,-9,18:45:02,18:48:06,69,1410,33,40,777,771,5,3,10,31
15,Syracuse,Virginia,15,16,14,23,16,28,-3,-12,18:48:06,18:50:51,111,1521,37,63,814,834,-4,17,6,48
16,Syracuse,Virginia,16,17,16,28,18,28,2,-10,18:50:51,18:52:52,49,1570,24,28,838,862,-12,-7,-6,41
17,Syracuse,Virginia,17,18,18,28,21,30,1,-9,18:52:52,18:55:01,182,1752,159,23,997,885,82,6,76,47
18,Syracuse,Virginia,18,19,21,30,21,30,0,-9,18:55:01,18:58:39,308,2060,184,171,1181,1056,70,10,146,57
19,Syracuse,Virginia,19,20,21,30,21,35,-5,-14,18:58:39,19:01:19,231,2291,118,152,1299,1208,-10,-4,136,53
20,Syracuse,Virginia,20,21,21,35,21,37,-2,-16,19:01:19,19:23:41,846,3137,358,575,1657,1783,-12,128,124,181
21,Syracuse,Virginia,21,22,21,37,23,37,2,-14,19:23:41,19:26:16,62,3199,22,39,1679,1822,4,8,128,189
22,Syracuse,Virginia,22,23,23,37,25,39,0,-14,19:26:16,19:29:19,100,3299,46,56,1725,1878,10,21,138,210
23,Syracuse,Virginia,23,24,25,39,27,39,2,-12,19:29:19,19:31:02,49,3348,28,31,1753,1909,5,5,143,215
24,Syracuse,Virginia,24,25,27,39,32,39,5,-7,19:31:02,19:34:21,176,3524,133,52,1886,1961,0,9,143,224
25,Syracuse,Virginia,25,26,32,39,32,41,-2,-9,19:34:21,19:37:07,79,3603,42,45,1928,2006,6,4,149,228
26,Syracuse,Virginia,26,27,32,41,32,43,-2,-11,19:37:07,19:39:49,83,3686,51,44,1979,2050,-13,3,136,231
27,Syracuse,Virginia,27,28,32,43,34,45,0,-11,19:39:49,19:42:06,64,3750,40,28,2019,2078,-1,7,135,238
28,Syracuse,Virginia,28,29,34,45,37,48,0,-11,19:42:06,19:44:04,66,3816,23,40,2042,2118,3,-2,138,236
29,Syracuse,Virginia,29,30,37,48,37,51,-3,-14,19:44:04,19:47:34,110,3926,36,76,2078,2194,4,20,142,256
30,Syracuse,Virginia,30,31,37,51,41,54,1,-13,19:47:34,19:49:32,34,3960,11,24,2089,2218,1,3,143,259
31,Syracuse,Virginia,31,32,41,54,45,56,2,-11,19:49:32,19:52:15,109,4069,57,49,2146,2267,-5,1,138,260
32,Syracuse,Virginia,32,33,45,56,52,58,5,-6,19:52:15,19:55:26,429,4498,366,108,2512,2375,78,-2,216,258
33,Syracuse,Virginia,33,34,52,58,57,58,5,-1,19:55:26,19:58:09,642,5140,549,113,3061,2488,178,-15,394,243
34,Syracuse,Virginia,34,35,57,58,59,58,2,1,19:58:09,20:00:49,702,5842,587,111,3648,2599,97,3,491,246
35,Syracuse,Virginia,35,36,59,58,62,58,3,4,20:00:49,20:03:06,1134,6976,957,227,4605,2826,280,-65,771,181
36,Syracuse,Virginia,36,37,62,58,64,58,2,6,20:03:06,20:05:56,493,7469,371,152,4976,2978,-31,-68,740,113
37,Syracuse,Virginia,37,38,64,58,64,58,0,6,20:05:56,20:08:31,329,7798,252,94,5228,3072,45,-14,785,99
38,Syracuse,Virginia,38,39,64,58,64,60,-2,4,20:08:31,20:10:45,159,7957,105,47,5333,3119,7,-2,792,97
39,Syracuse,Virginia,39,40,64,60,68,62,2,6,20:10:45,20:13:54,1047,9004,778,258,6111,3377,-23,-65,769,32
