,Team1,Team2,Min_Start,Min_End,T1Score_Begin,T2Score_Begin,T1Score_End,T2Score_End,Margin_Period,Margin_TOT,WCT_Start,WCT_End,Vol_Period,Vol_Total,T1Vol_Period,T2Vol_Period,T1Vol_Total,T2Vol_Total,T1Sent_Period,T2Sent_Period,T1Sent_Total,T2Sent_Total,Margin_Prior,OPA_Margin,VolDiff_Total,VolDiff_Period,SentDiff_Total,SentDiff_Period,UnqIdentifier,VolDiff_Total_Lag1,VolDiff_Total_Lag2,VolDiff_Total_Lag3,VolDiff_Total_Lag4,VolDiff_Total_Lag5,SentDiff_Total_Lag1,SentDiff_Total_Lag2,SentDiff_Total_Lag3,SentDiff_Total_Lag4,SentDiff_Total_Lag5,Margin_TOT_Lag1,Margin_TOT_Lag2,Margin_TOT_Lag3,Margin_TOT_Lag4,Margin_TOT_Lag5,VolDiff_Period_Lag1,VolDiff_Period_Lag2,VolDiff_Period_Lag3,VolDiff_Period_Lag4,VolDiff_Period_Lag5,SentDiff_Period_Lag1,SentDiff_Period_Lag2,SentDiff_Period_Lag3,SentDiff_Period_Lag4,SentDiff_Period_Lag5,Margin_Period_Lag1,Margin_Period_Lag2,Margin_Period_Lag3,Margin_Period_Lag4,Margin_Period_Lag5
0,Middle Tennessee,Michigan State,0,1,0,0,2,2,0,0,14:50:00,14:52:12,75,0,9.0,68.0,0.0,0.0,2,1,0,0,0,NA,0.0,-59.0,0,1,Middle TennesseeMichigan State,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Middle Tennessee,Michigan State,1,2,2,2,5,2,3,3,14:52:12,14:54:56,72,147,17.0,58.0,26.0,126.0,-3,0,-1,1,0,NA,-100.0,-41.0,-2,-3,Middle TennesseeMichigan State,0.0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,-59.0,NA,NA,NA,NA,1,NA,NA,NA,NA,0,NA,NA,NA,NA
2,Middle Tennessee,Michigan State,2,3,5,2,7,2,2,5,14:54:56,14:57:01,94,241,42.0,48.0,68.0,174.0,-8,-9,-9,-8,3,NA,-106.0,-6.0,-1,1,Middle TennesseeMichigan State,-100.0,0.0,NA,NA,NA,-2,0,NA,NA,NA,3,0,NA,NA,NA,-41.0,-59.0,NA,NA,NA,-3,1,NA,NA,NA,3,0,NA,NA,NA
3,Middle Tennessee,Michigan State,3,4,7,2,12,2,5,10,14:57:01,15:00:00,231,472,69.0,140.0,137.0,314.0,-2,-49,-11,-57,5,0,-177.0,-71.0,46,47,Middle TennesseeMichigan State,-106.0,-100.0,0.0,NA,NA,-1,-2,0,NA,NA,5,3,0,NA,NA,-6.0,-41.0,-59.0,NA,NA,1,-3,1,NA,NA,2,3,0,NA,NA
4,Middle Tennessee,Michigan State,4,5,12,2,15,2,3,13,15:00:00,15:02:41,132,604,42.0,83.0,179.0,397.0,0,9,-11,-48,10,3,-218.0,-41.0,37,-9,Middle TennesseeMichigan State,-177.0,-106.0,-100.0,0.0,NA,46,-1,-2,0,NA,10,5,3,0,NA,-71.0,-6.0,-41.0,-59.0,NA,47,1,-3,1,NA,5,2,3,0,NA
5,Middle Tennessee,Michigan State,5,6,15,2,17,4,0,13,15:02:41,15:04:59,80,684,29.0,49.0,208.0,446.0,3,-2,-8,-50,13,2,-238.0,-20.0,42,5,Middle TennesseeMichigan State,-218.0,-177.0,-106.0,-100.0,0.0,37,46,-1,-2,0,13,10,5,3,0,-41.0,-71.0,-6.0,-41.0,-59.0,-9,47,1,-3,1,3,5,2,3,0
6,Middle Tennessee,Michigan State,6,7,17,4,17,10,-6,7,15:04:59,15:07:30,82,766,20.0,54.0,228.0,500.0,1,-3,-7,-53,13,5,-272.0,-34.0,46,4,Middle TennesseeMichigan State,-238.0,-218.0,-177.0,-106.0,-100.0,42,37,46,-1,-2,13,13,10,5,3,-20.0,-41.0,-71.0,-6.0,-41.0,5,-9,47,1,-3,0,3,5,2,3
7,Middle Tennessee,Michigan State,7,8,17,10,20,10,3,10,15:07:30,15:10:19,83,849,27.0,58.0,255.0,558.0,-8,-1,-15,-54,7,3,-303.0,-31.0,39,-7,Middle TennesseeMichigan State,-272.0,-238.0,-218.0,-177.0,-106.0,46,42,37,46,-1,7,13,13,10,5,-34.0,-20.0,-41.0,-71.0,-6.0,4,5,-9,47,1,-6,0,3,5,2
8,Middle Tennessee,Michigan State,8,9,20,10,20,10,0,10,15:10:19,15:12:19,50,899,22.0,28.0,277.0,586.0,4,-7,-11,-61,10,0,-309.0,-6.0,50,11,Middle TennesseeMichigan State,-303.0,-272.0,-238.0,-218.0,-177.0,39,46,42,37,46,10,7,13,13,10,-31.0,-34.0,-20.0,-41.0,-71.0,-7,4,5,-9,47,3,-6,0,3,5
9,Middle Tennessee,Michigan State,9,10,20,10,20,13,-3,7,15:12:19,15:15:49,66,965,27.0,44.0,304.0,630.0,0,-4,-11,-65,10,-6,-326.0,-17.0,54,4,Middle TennesseeMichigan State,-309.0,-303.0,-272.0,-238.0,-218.0,50,39,46,42,37,10,10,7,13,13,-6.0,-31.0,-34.0,-20.0,-41.0,11,-7,4,5,-9,0,3,-6,0,3
10,Middle Tennessee,Michigan State,10,11,20,13,23,18,-2,5,15:15:49,15:18:33,61,1026,13.0,46.0,317.0,676.0,-4,1,-15,-64,7,3,-359.0,-33.0,49,-5,Middle TennesseeMichigan State,-326.0,-309.0,-303.0,-272.0,-238.0,54,50,39,46,42,7,10,10,7,13,-17.0,-6.0,-31.0,-34.0,-20.0,4,11,-7,4,5,-3,0,3,-6,0
11,Middle Tennessee,Michigan State,11,12,23,18,23,22,-4,1,15:18:33,15:21:09,56,1082,20.0,40.0,337.0,716.0,-12,-16,-27,-80,5,0,-379.0,-20.0,53,4,Middle TennesseeMichigan State,-359.0,-326.0,-309.0,-303.0,-272.0,49,54,50,39,46,5,7,10,10,7,-33.0,-17.0,-6.0,-31.0,-34.0,-5,4,11,-7,4,-2,-3,0,3,-6
12,Middle Tennessee,Michigan State,12,13,23,22,27,24,2,3,15:21:09,15:23:32,44,1126,13.0,36.0,350.0,752.0,-11,-5,-38,-85,1,-3,-402.0,-23.0,47,-6,Middle TennesseeMichigan State,-379.0,-359.0,-326.0,-309.0,-303.0,53,49,54,50,39,1,5,7,10,10,-20.0,-33.0,-17.0,-6.0,-31.0,4,-5,4,11,-7,-4,-2,-3,0,3
13,Middle Tennessee,Michigan State,13,14,27,24,29,26,0,3,15:23:32,15:25:47,58,1184,28.0,35.0,378.0,787.0,0,-13,-38,-98,3,-2,-409.0,-7.0,60,13,Middle TennesseeMichigan State,-402.0,-379.0,-359.0,-326.0,-309.0,47,53,49,54,50,3,1,5,7,10,-23.0,-20.0,-33.0,-17.0,-6.0,-6,4,-5,4,11,2,-4,-2,-3,0
14,Middle Tennessee,Michigan State,14,15,29,26,35,26,6,9,15:25:47,15:28:46,99,1283,43.0,58.0,421.0,845.0,-18,-25,-56,-123,3,-4,-424.0,-15.0,67,7,Middle TennesseeMichigan State,-409.0,-402.0,-379.0,-359.0,-326.0,60,47,53,49,54,3,3,1,5,7,-7.0,-23.0,-20.0,-33.0,-17.0,13,-6,4,-5,4,0,2,-4,-2,-3
