text,time
Let's go #Cuse!  #CuseMode #MarchMadness #CUSEvsUD,Fri Mar 18 17:33:28 +0000 2016
"Want to work in #Syracuse, NY? View our latest opening: https://t.co/mU7eSI9Qe4 #BusinessMgmt #Job #Jobs #Hiring https://t.co/O3RFoSKFO2",Fri Mar 18 17:33:33 +0000 2016
#Dayton HAS to get the ball in the paint. These 3s aren't working. #MarchMadness #DaytonFlyers,Fri Mar 18 17:33:34 +0000 2016
"RT @Cuse_MBB: .@TCooney10 drives &amp; scores to give Cuse a 34-29 lead, matching its largest of the game! 16:54 2nd half #CuseMode https://t.c…",Fri Mar 18 17:33:39 +0000 2016
"#MarchMadness #FinalFour  
    #Michigan
    #UNC   
    #Texaslonghorns 
    #Syracuse",Fri Mar 18 17:33:44 +0000 2016
"RT @Cuse_MBB: .@KingMali23's fake behind-the-back pass &amp; score in the 1st half!
#CuseMode #MarchMadness https://t.co/nGh30BC0Bj",Fri Mar 18 17:33:48 +0000 2016
Well that was an adventure #Syracuse,Fri Mar 18 17:33:53 +0000 2016
"my current thought: ""Why the hell did i pick #Dayton""?",Fri Mar 18 17:33:57 +0000 2016
Let's go #Dayton #MarchMadness,Fri Mar 18 17:34:08 +0000 2016
RT @elleimani: #Dayton HAS to get the ball in the paint. These 3s aren't working. #MarchMadness #DaytonFlyers,Fri Mar 18 17:34:12 +0000 2016
"@EscapePOD87 #Flyers &amp; #Rangers played 3x in March, then 6x in first-round &amp; it got crazy w/shenanigans in MSG for Games 3-4 (2/2)",Fri Mar 18 17:34:15 +0000 2016
Tyler Roberson gets #Syracuse out to their Largest Lead of the game (7pts) by going 2/2 at the line. #MarchMadness,Fri Mar 18 17:34:16 +0000 2016
Mows the time to keep working!!! Work hard! Let's go!!! Keep fighting! #CUSE #OrangeNation #CuseMode  🍊🏀🍊🏀🍊🏀,Fri Mar 18 17:35:24 +0000 2016
Find #EastmanHouse #Luxury #Mattress line @ Syracuse #Mattress &amp; #Furniture Company in #Syracuse #NY @ https://t.co/cCtT4a6iDi #Luxury #Ma…,Fri Mar 18 17:35:25 +0000 2016
Danger time for #Dayton. Down 39-29 early in the second half to the 'Cuse.,Fri Mar 18 17:35:25 +0000 2016
#Syracuse up 39-29 after that clutch three from Gbinije. #Dayton isn’t getting anything going. #MarchMadness,Fri Mar 18 17:35:25 +0000 2016
RT @syrbasketball: Mike Gbinije nails a 3-pointer. #Syracuse leads by 10 with 14:56 left against an opponent that often struggles to score.,Fri Mar 18 17:35:28 +0000 2016
Timeout Archie Miller. Flyer trail 39-29 w/14:56 to play #MarchMadness #TrueTeam,Fri Mar 18 17:35:30 +0000 2016
RT @syrbasketball: Mike Gbinije nails a 3-pointer. #Syracuse leads by 10 with 14:56 left against an opponent that often struggles to score.,Fri Mar 18 17:35:30 +0000 2016
Now we're feelin it #CuseMode 🍊,Fri Mar 18 17:35:31 +0000 2016
RT @syrbasketball: Mike Gbinije nails a 3-pointer. #Syracuse leads by 10 with 14:56 left against an opponent that often struggles to score.,Fri Mar 18 17:35:31 +0000 2016
I see you heating up #Syracuse. #MarchMadness,Fri Mar 18 17:35:32 +0000 2016
#GoFlyers #trueteam ✈️✈️✈️ https://t.co/eDV5whaN7I,Fri Mar 18 17:35:33 +0000 2016
"#Syracuse starting to get a lead, up 10 with 14:56 to go #MarchMadness",Fri Mar 18 17:35:34 +0000 2016
"Claims Support Representative II - Cenpatico: (#StLouis, MO) https://t.co/ghm9IGjaOR #CustomerService #Job #Jobs #Hiring",Fri Mar 18 17:35:36 +0000 2016
Bury them.... #Syracuse,Fri Mar 18 17:35:38 +0000 2016
RT @syrbasketball: Mike Gbinije nails a 3-pointer. #Syracuse leads by 10 with 14:56 left against an opponent that often struggles to score.,Fri Mar 18 17:35:39 +0000 2016
"RT @Cuse_MBB: .@KingMali23's fake behind-the-back pass &amp; score in the 1st half!
#CuseMode #MarchMadness https://t.co/nGh30BC0Bj",Fri Mar 18 17:35:40 +0000 2016
"Guys, I don't know how Syracuse is up 10, but I don't care. I'm screaming with joy both literally &amp; figuratively #CuseMode #MarchMadness",Fri Mar 18 17:35:40 +0000 2016
ON A ROLE!!!! #MarchMadness #CuseMode,Fri Mar 18 17:35:40 +0000 2016
"RT @Cuse_MBB: .@KingMali23's fake behind-the-back pass &amp; score in the 1st half!
#CuseMode #MarchMadness https://t.co/nGh30BC0Bj",Fri Mar 18 17:35:43 +0000 2016
"Silent G for 3!!!!!!!

Orange on a 7-0 run!
Mike has 8 points.
#CuseMode #MarchMadness https://t.co/8Lhh7UArZR",Fri Mar 18 17:35:42 +0000 2016
"HUGE THREE FOR SYRACUSE. Really needed that for G. Orange lead 39-29. Dayton just is not hitting anything.

#CuseMode #MarchMadness",Fri Mar 18 17:35:44 +0000 2016
"#CareerArc #Transportation #Job alert: Driver/Inventory Associate | WIS International | #Dayton, OH https://t.co/vm034Yqx6z #Jobs #Hiring",Fri Mar 18 17:35:45 +0000 2016
RT @syrbasketball: Mike Gbinije nails a 3-pointer. #Syracuse leads by 10 with 14:56 left against an opponent that often struggles to score.,Fri Mar 18 17:35:46 +0000 2016
Critical point here for #Dayton down 10 now,Fri Mar 18 17:35:46 +0000 2016
RT @syrbasketball: Mike Gbinije nails a 3-pointer. #Syracuse leads by 10 with 14:56 left against an opponent that often struggles to score.,Fri Mar 18 17:35:46 +0000 2016
"RT @Cuse_MBB: Silent G for 3!!!!!!!

Orange on a 7-0 run!
Mike has 8 points.
#CuseMode #MarchMadness https://t.co/8Lhh7UArZR",Fri Mar 18 17:35:48 +0000 2016
Building up that lead. Keep it rollin cuse! #CuseMode #MarchMadness,Fri Mar 18 17:35:49 +0000 2016
Not-so-silent G for three #Syracuse,Fri Mar 18 17:35:49 +0000 2016
#Syracuse au calme qui prend +10 face à #Dayton et encore un bon upset qui s'annonce pour mon bracket #MarchMadness !,Fri Mar 18 17:35:50 +0000 2016
"RT @Cuse_MBB: Silent G for 3!!!!!!!

Orange on a 7-0 run!
Mike has 8 points.
#CuseMode #MarchMadness https://t.co/8Lhh7UArZR",Fri Mar 18 17:35:52 +0000 2016
"RT @Cuse_MBB: Silent G for 3!!!!!!!

Orange on a 7-0 run!
Mike has 8 points.
#CuseMode #MarchMadness https://t.co/8Lhh7UArZR",Fri Mar 18 17:35:53 +0000 2016
"RT @Cuse_MBB: Silent G for 3!!!!!!!

Orange on a 7-0 run!
Mike has 8 points.
#CuseMode #MarchMadness https://t.co/8Lhh7UArZR",Fri Mar 18 17:35:54 +0000 2016
"RT @Cuse_MBB: Silent G for 3!!!!!!!

Orange on a 7-0 run!
Mike has 8 points.
#CuseMode #MarchMadness https://t.co/8Lhh7UArZR",Fri Mar 18 17:35:54 +0000 2016
"RT @Cuse_MBB: Silent G for 3!!!!!!!

Orange on a 7-0 run!
Mike has 8 points.
#CuseMode #MarchMadness https://t.co/8Lhh7UArZR",Fri Mar 18 17:35:54 +0000 2016
#Dayton needs to make then post-entry pass from the corner,Fri Mar 18 17:35:56 +0000 2016
We are underway in Muncie between Dayton and Ball State. #GoFlyers,Fri Mar 18 17:35:57 +0000 2016
Real G's move in silence like Gbinije 🏀🍊 #CuseMode #MarchMadness,Fri Mar 18 17:35:57 +0000 2016
