text,time
RT @SPORTalkOregon: RETWEET if you're excited to cheer on Oregon against Duke tonight in the #Sweet16 ! #GoDucks #BeatDuke https://t.co/ULE…,Thu Mar 24 23:38:26 +0000 2016
RT @IHateDuke1: Dear sweet baby Jesus in the manger... let their season end. TONIGHT. #DukevsOregon,Thu Mar 24 23:38:33 +0000 2016
RT @SPORTalkOregon: RETWEET if you're excited to cheer on Oregon against Duke tonight in the #Sweet16 ! #GoDucks #BeatDuke https://t.co/ULE…,Thu Mar 24 23:38:55 +0000 2016
"RT @Piclogy: Colors over Crater Lake, #Oregon | Photography by ©Shahid Durrani https://t.co/7DfWwORQXf",Thu Mar 24 23:38:58 +0000 2016
Let's Go Ducks!! 🐥 #GoDucks #NHL,Thu Mar 24 23:39:02 +0000 2016
"My picks for tonight:

#Villanova
#Oklahoma 
#Kansas 
#Duke https://t.co/ekoJfWWyCd",Thu Mar 24 23:39:05 +0000 2016
@GraysonJAllen @B_Ingram13 .... It's in y'all hands . #GoDuke,Thu Mar 24 23:39:10 +0000 2016
"RT @sportsthread: #TBT @GraysonJAllen in high school 👀 #GoDuke 
https://t.co/yyD71KjUp8",Thu Mar 24 23:39:18 +0000 2016
@v_yuziuk Congrats on your acceptance to #Duke!,Thu Mar 24 23:39:24 +0000 2016
RT @IHateDuke1: Dear sweet baby Jesus in the manger... let their season end. TONIGHT. #DukevsOregon,Thu Mar 24 23:39:47 +0000 2016
"Pro tip: @Univ_Of_Oregon, change your mascot to the #Oregon Donors.",Thu Mar 24 23:39:48 +0000 2016
RT @Duke_MBB: Game day. Oregon. Sweet 16. Let's get it! #GoDuke #MarchOn https://t.co/nrEcHLExjS,Thu Mar 24 23:39:48 +0000 2016
Here's a sneak peek of our new mallard visitor. #Ducks #nature https://t.co/TS4ReKmw2y,Thu Mar 24 23:39:48 +0000 2016
#GoDucks #BeatDuke #Sweet16 You got this ducks😆👌👊💚💛,Thu Mar 24 23:39:50 +0000 2016
Jesse James DRESS IT UP BUTTONS assorted Mix Lot https://t.co/yb1pBU7axA MyTinyPic #Birds #Owls #Ducks #Crafting #Buttons #Shopping #eBay,Thu Mar 24 23:40:01 +0000 2016
RT @goducksgirl: Go get that win tonight @OregonMBB! It's your time to shine! #Sweet16 #GoDucks #BeatDuke 🐥🏀👍🏻 https://t.co/PKKW64DEzl,Thu Mar 24 23:40:04 +0000 2016
.@DirectorDanAshe says #Malheur occupation will cost @USFWS roughly $6M https://t.co/zOGsAOhgWl #Oregonstandoff #Oregon,Thu Mar 24 23:40:09 +0000 2016
#GoDucks,Thu Mar 24 23:40:18 +0000 2016
RT @IHateDuke1: Dear sweet baby Jesus in the manger... let their season end. TONIGHT. #DukevsOregon,Thu Mar 24 23:40:37 +0000 2016
"In case anyone doesn't know, #GoDucks and #DukeSucks rhymes, right @JLina1?? https://t.co/d3nNR0MNGv",Thu Mar 24 23:40:39 +0000 2016
"RT @Piclogy: Wizards hat, #Oregon | Photography by ©Chip Phillips https://t.co/WGyPZosqr5",Thu Mar 24 23:40:46 +0000 2016
RT @SPORTalkOregon: RETWEET if you're excited to cheer on Oregon against Duke tonight in the #Sweet16 ! #GoDucks #BeatDuke https://t.co/ULE…,Thu Mar 24 23:40:47 +0000 2016
