text,time
RT @realgranthill33: It's a win/win for Big Cal today... #DukeVsYale  https://t.co/fnkKp0skj2,Sat Mar 19 16:22:44 +0000 2016
RT @realgranthill33: It's a win/win for Big Cal today... #DukeVsYale  https://t.co/fnkKp0skj2,Sat Mar 19 16:23:07 +0000 2016
TODAY! #SanDiego #yalealumni it's #marchmadness Join us for Yale - Duke @YaleAlumni #YaleBasketball @YaleAthletics https://t.co/qGPoRqOrk6,Sat Mar 19 16:23:08 +0000 2016
RT @realgranthill33: It's a win/win for Big Cal today... #DukeVsYale  https://t.co/fnkKp0skj2,Sat Mar 19 16:23:17 +0000 2016
"RT @JulieRobinsonNC: There are waaay too many #DukevsYale jokes...oh, where to start?!? 😃😃 #goheels  https://t.co/gxUoGrpoiw",Sat Mar 19 16:23:32 +0000 2016
RT @realgranthill33: It's a win/win for Big Cal today... #DukeVsYale  https://t.co/fnkKp0skj2,Sat Mar 19 16:23:33 +0000 2016
RT @realgranthill33: It's a win/win for Big Cal today... #DukeVsYale  https://t.co/fnkKp0skj2,Sat Mar 19 16:23:37 +0000 2016
"Time to get nervous, Dukies..you'll probably win, but if you don't you have years of humiliation to look forward to #Bulldogs #YALEvsDUKE",Sat Mar 19 16:23:53 +0000 2016
RT @_LilRocky1: Blessed it's official!⚪️🔵#DukeGang16 #duke #dukegang #Dukenation https://t.co/IBsSTSIDlE,Sat Mar 19 16:24:08 +0000 2016
@JennySoxgirl14 thank you! Let's go #Duke!,Sat Mar 19 16:24:11 +0000 2016
"@RayWolslegel33 Rare day when opposing fans can chant ""Safety school!"" at #Duke fans.",Sat Mar 19 16:24:31 +0000 2016
No doubt! #Duke https://t.co/UbnNzmRRes,Sat Mar 19 16:25:02 +0000 2016
"RT @JimPavle: Nice piece from a Dukie. For #Yale, founded in 1701, 54-yr cycles happen. The hat said ""#Harvard Sucks"" - tradition. https://…",Sat Mar 19 16:25:19 +0000 2016
CONGRATS TO #Yale .. Editor's note: Yale's upset victory over 5th-ranked Baylor was the university's first-ever... https://t.co/zINwAzOama,Sat Mar 19 16:26:15 +0000 2016
"#DukevsYale 11:40
#IndianavsKentucky 2:15
#GonzagavsUtah 5:40
#NorthCarolinavsProvidence 6:40...wow, I'm not gonna be sober #MarchMadness",Sat Mar 19 16:26:31 +0000 2016
RT @bharedogguy: think rivalry @dukeblueplanet @Yale_Basketball huge? canine cog cent at Duke &amp; @yaledoglab always play ruff! #GoDuke https…,Sat Mar 19 16:26:36 +0000 2016
23 of 32 in my bracket. Winners I didn't pick were: #Yale #Wisconsin #MTSU #Indiana #Iowa #WichitaState #StJoes #UNI &amp; #StephenFAustin,Sat Mar 19 16:26:57 +0000 2016
fight blue devils fight! #DukevsYale #LetsGoDuke #MarchMadness  https://t.co/HzrJNgnfqf,Sat Mar 19 16:26:58 +0000 2016
