text,time
"RT @Cuse_MBB: The Orange take the court for warmups 
🍊🏀 #CuseMode https://t.co/MbBxCZfYlD",Sat Mar 26 01:23:31 +0000 2016
#CuseMode,Sat Mar 26 01:23:35 +0000 2016
"RT @Cuse_MBB: The Orange take the court for warmups 
🍊🏀 #CuseMode https://t.co/MbBxCZfYlD",Sat Mar 26 01:23:38 +0000 2016
RT @Cuse_MBB: Time to get in #CuseMode 🍊🏀 https://t.co/OVvfbv05N9,Sat Mar 26 01:23:40 +0000 2016
"RT @Cuse_MBB: The Orange take the court for warmups 
🍊🏀 #CuseMode https://t.co/MbBxCZfYlD",Sat Mar 26 01:23:45 +0000 2016
"RT @Cuse_MBB: The Orange take the court for warmups 
🍊🏀 #CuseMode https://t.co/MbBxCZfYlD",Sat Mar 26 01:23:47 +0000 2016
"RT @Cuse_MBB: The Orange take the court for warmups 
🍊🏀 #CuseMode https://t.co/MbBxCZfYlD",Sat Mar 26 01:23:48 +0000 2016
"RT @Cuse_MBB: The 🍊 locker room awaits the team's arrival to the @UnitedCenter 
#CuseMode #Sweet16 #MarchMadness https://t.co/sJCfZEi4w2",Sat Mar 26 01:23:48 +0000 2016
@eorlins #Syracuse playing #Gonzaga at 9:44. Ready?,Sat Mar 26 01:23:49 +0000 2016
"RT @Cuse_MBB: The Orange take the court for warmups 
🍊🏀 #CuseMode https://t.co/MbBxCZfYlD",Sat Mar 26 01:23:51 +0000 2016
"RT @Cuse_MBB: The Orange take the court for warmups 
🍊🏀 #CuseMode https://t.co/MbBxCZfYlD",Sat Mar 26 01:23:51 +0000 2016
"RT @Cuse_MBB: The Orange take the court for warmups 
🍊🏀 #CuseMode https://t.co/MbBxCZfYlD",Sat Mar 26 01:23:53 +0000 2016
"RT @Cuse_MBB: The Orange take the court for warmups 
🍊🏀 #CuseMode https://t.co/MbBxCZfYlD",Sat Mar 26 01:23:55 +0000 2016
"RT @Cuse_MBB: The Orange take the court for warmups 
🍊🏀 #CuseMode https://t.co/MbBxCZfYlD",Sat Mar 26 01:23:56 +0000 2016
#Zags on the floor for their #Sweet16 matchup with #Syracuse. Twenty four minutes until tip in Chicago. https://t.co/LNIrgltXXt,Sat Mar 26 01:23:56 +0000 2016
"RT @Cuse_MBB: The Orange take the court for warmups 
🍊🏀 #CuseMode https://t.co/MbBxCZfYlD",Sat Mar 26 01:24:06 +0000 2016
"RT @Cuse_MBB: The Orange take the court for warmups 
🍊🏀 #CuseMode https://t.co/MbBxCZfYlD",Sat Mar 26 01:24:07 +0000 2016
RT @Cuse_MBB: Time to get in #CuseMode 🍊🏀 https://t.co/OVvfbv05N9,Sat Mar 26 01:24:14 +0000 2016
"RT @Cuse_MBB: The Orange take the court for warmups 
🍊🏀 #CuseMode https://t.co/MbBxCZfYlD",Sat Mar 26 01:24:15 +0000 2016
"RT @Cuse_MBB: The Orange take the court for warmups 
🍊🏀 #CuseMode https://t.co/MbBxCZfYlD",Sat Mar 26 01:24:19 +0000 2016
RT @Cuse_MBB: Time to get in #CuseMode 🍊🏀 https://t.co/OVvfbv05N9,Sat Mar 26 01:24:20 +0000 2016
This might be theee best upset if they can pull it off #Syracuse,Sat Mar 26 01:24:20 +0000 2016
"RT @Cuse_MBB: The Orange take the court for warmups 
🍊🏀 #CuseMode https://t.co/MbBxCZfYlD",Sat Mar 26 01:24:26 +0000 2016
@Tpstewart8 Zags are about to. Don't worry #GoZags,Sat Mar 26 01:24:26 +0000 2016
4 elite 8 tickets for sale. Will meet the United center tonight! #MarchMadness  #Virginia #Syracuse #gonzaga #unitedcenter,Sat Mar 26 01:31:11 +0000 2016
"RT @Cuse_MBB: The Orange take the court for warmups 
🍊🏀 #CuseMode https://t.co/MbBxCZfYlD",Sat Mar 26 01:31:11 +0000 2016
Let's go Syracuse! #MarchMadness #Syracuse,Sat Mar 26 01:31:11 +0000 2016
@Chawk29 @bengarza88 @DavidGibb32 yes sir! #GoZags #509,Sat Mar 26 01:31:13 +0000 2016
RT @BreezzusBre: This might be theee best upset if they can pull it off #Syracuse,Sat Mar 26 01:31:25 +0000 2016
"RT @Cuse_MBB: The Orange take the court for warmups 
🍊🏀 #CuseMode https://t.co/MbBxCZfYlD",Sat Mar 26 01:31:28 +0000 2016
RT @WDTnews: Via @WDTsports: #Syracuse’s zone to be tested by #Gonzaga in #Sweet16 https://t.co/qQyBHmvrtH #MarchMadness https://t.co/oHvTV…,Sat Mar 26 01:31:29 +0000 2016
My latest story-- Living up to the name: The journey of Domantas Sabonis https://t.co/n88nhaIzJV #GoZags #Rip https://t.co/stcTcxYSBJ,Sat Mar 26 01:31:31 +0000 2016
Let's go Zags 🙏🏻🙏🏻 #GoZags,Sat Mar 26 01:31:44 +0000 2016
RT @WDTnews: Via @WDTsports: #Syracuse’s zone to be tested by #Gonzaga in #Sweet16 https://t.co/qQyBHmvrtH #MarchMadness https://t.co/oHvTV…,Sat Mar 26 01:31:44 +0000 2016
RT @GaryKIRO7: #Gonzaga and #Syracuse hit the floor for warmups. Crowd is a sea of orange. We'll see who cheers last. @ZagMBB https://t.co/…,Sat Mar 26 01:31:49 +0000 2016
"RT @Cuse_MBB: The Orange take the court for warmups 
🍊🏀 #CuseMode https://t.co/MbBxCZfYlD",Sat Mar 26 01:31:51 +0000 2016
"After a rough Thursday, @theACC teams start Friday at 2-0 as Notre Dame comes back to beat Wisconsin. UNC and #CuseMode have the late games.",Sat Mar 26 01:32:10 +0000 2016
RT @JamieHudsonCSN: My latest story-- Living up to the name: The journey of Domantas Sabonis https://t.co/n88nhaIzJV #GoZags #Rip https://t…,Sat Mar 26 01:32:10 +0000 2016
RT @Cuse_MBB: Time to get in #CuseMode 🍊🏀 https://t.co/OVvfbv05N9,Sat Mar 26 01:32:16 +0000 2016
RT @Cuse_MBB: Time to get in #CuseMode 🍊🏀 https://t.co/OVvfbv05N9,Sat Mar 26 01:32:17 +0000 2016
Its all about #Syracuse anyway,Sat Mar 26 01:32:26 +0000 2016
#GoZags,Sat Mar 26 01:32:27 +0000 2016
"After a rough Thursday, @theACC teams start Friday at 2-0 as Notre Dame comes back to beat Wisconsin. UNC and #CuseMode have the late games.",Sat Mar 26 01:32:10 +0000 2016
"RT @Cuse_MBB: The Orange take the court for warmups 
🍊🏀 #CuseMode https://t.co/MbBxCZfYlD",Sat Mar 26 01:32:38 +0000 2016
RT @TheOttoOrange: I AM SOOO BLEEDING ORANGE RIGHT NOW!!!!! LET'S GO @CuseWBB 🍊🍊🍊🍊 #Elite8 #CuseMode #OrangeNation https://t.co/RPtc9kHPBK,Sat Mar 26 01:32:29 +0000 2016
YES!!! LET'S GO ORANGE!!! @Cuse @Cuse_MBB #Elite8 #OrangeNation #Syracuse https://t.co/xeSksSq7df,Sat Mar 26 01:32:39 +0000 2016
Students starting to fill up the Hemmingson ballroom. Having fun in the photo booth. #GoZags https://t.co/Gvt3kJbHP4,Sat Mar 26 01:32:41 +0000 2016
"RT @Cuse_MBB: Warmups underway

🍊🏀 #CuseMode #Sweet16 https://t.co/mzKIq7iDoB",Sat Mar 26 01:32:42 +0000 2016
#GoZags Eric McClellan looks like he's break dancing at mid court. #Zags look loose. #UnitedWeZag @KIRO7Seattle https://t.co/BpQEXnGU7g,Sat Mar 26 01:32:44 +0000 2016
"RT @Cuse_MBB: The Orange take the court for warmups 
🍊🏀 #CuseMode https://t.co/MbBxCZfYlD",Sat Mar 26 01:32:45 +0000 2016
"RT @amandaulkekul: If Gonzaga makes it to the Elite 8, and this tweet gets 100 retweets @MorganAnn14 will get a ZAGUP lip tattoo. #zagup",Sat Mar 26 01:32:48 +0000 2016
Let's go Gonzaga! #ZagUp #UnitedWeZag,Sat Mar 26 01:32:50 +0000 2016
"I rarely pull against the color orange, but when I do it's #Zags -tastic.  Go Zags!",Sat Mar 26 01:32:53 +0000 2016
RT @GaryKIRO7: #Gonzaga and #Syracuse hit the floor for warmups. Crowd is a sea of orange. We'll see who cheers last. @ZagMBB https://t.co/…,Sat Mar 26 01:32:54 +0000 2016
RT @GaryKIRO7: #GoZags Eric McClellan looks like he's break dancing at mid court. #Zags look loose. #UnitedWeZag @KIRO7Seattle https://t.co…,Sat Mar 26 01:32:55 +0000 2016
@Cuse_MBB @CuseWBB just beat #1 South Carolina.  Whatcha got for an encore? #CuseMode,Sat Mar 26 01:32:56 +0000 2016
RT @Cuse_MBB: Time to get in #CuseMode 🍊🏀 https://t.co/OVvfbv05N9,Sat Mar 26 01:32:57 +0000 2016
"Fuck yeah boys! Got our first 2x play in. 
#Syracuse + 4 &amp; +5 &amp; #UNC -5.5 Pending 
#SportsBetting",Sat Mar 26 01:33:05 +0000 2016
One part of me says #GoCuse but the other part of me lovessssss the #Gonzaga Bulldogs.,Sat Mar 26 01:33:09 +0000 2016
"RT @Cuse_MBB: Focused &amp; ready.

🍊🏀 #CuseMode https://t.co/F0TzXLTkMC",Sat Mar 26 01:33:09 +0000 2016
"RT @Cuse_MBB: The Orange take the court for warmups 
🍊🏀 #CuseMode https://t.co/MbBxCZfYlD",Sat Mar 26 01:33:11 +0000 2016
RT @newzlasz: #Syracuse #University women's #Basketball #Advances in #NCAA #Tournament with 80-72 win ... https://t.co/OAfUQCzSD3 #8072 #Wo…,Sat Mar 26 01:33:12 +0000 2016
Los míos #Syracuse viene ahora pa ese pase #Elite8,Sat Mar 26 01:33:15 +0000 2016
LETS GO CUSE #CuseMode #OrangeNation,Sat Mar 26 01:33:17 +0000 2016
"RT @Cuse_MBB: The Orange take the court for warmups 
🍊🏀 #CuseMode https://t.co/MbBxCZfYlD",Sat Mar 26 01:33:18 +0000 2016
And now.. GAME DAY. #UnitedWeZag #GoZags #ZagUp #Sweet16  --&gt; #Elite8  #UnitedWeZagUp https://t.co/SAaCQbT1l8,Sat Mar 26 01:33:25 +0000 2016
@PattiMurin #Zags 👀,Sat Mar 26 01:33:28 +0000 2016
"RT @Cuse_MBB: The Orange take the court for warmups 
🍊🏀 #CuseMode https://t.co/MbBxCZfYlD",Sat Mar 26 01:33:32 +0000 2016
Let's go Cuse! #MarchMadness #Syracuse,Sat Mar 26 01:33:34 +0000 2016
Here we go boys! #CuseMode #cusenation #Sweet16 #letsgoorange 🍊 https://t.co/8pPTZ7N1EA,Sat Mar 26 01:33:34 +0000 2016
"RT @Cuse_MBB: The Orange take the court for warmups 
🍊🏀 #CuseMode https://t.co/MbBxCZfYlD",Sat Mar 26 01:33:37 +0000 2016
#CuseMode 🍊,Sat Mar 26 01:33:40 +0000 2016
"#MarkFew is one the worst big game coaches ever, so expect #Jimboeheim to out coach Few and be right there to beat #Gonzaga",Sat Mar 26 01:33:47 +0000 2016
RT @TheOttoOrange: I AM SOOO BLEEDING ORANGE RIGHT NOW!!!!! LET'S GO @CuseWBB 🍊🍊🍊🍊 #Elite8 #CuseMode #OrangeNation https://t.co/RPtc9kHPBK,Sat Mar 26 01:33:48 +0000 2016
RT @Cuse_MBB: Time to get in #CuseMode 🍊🏀 https://t.co/OVvfbv05N9,Sat Mar 26 01:33:50 +0000 2016
"RT @Cuse_MBB: The Orange take the court for warmups 
🍊🏀 #CuseMode https://t.co/MbBxCZfYlD",Sat Mar 26 01:33:52 +0000 2016
Go Zags!!!! #UnitedWeZag,Sat Mar 26 01:33:57 +0000 2016
#GoZags,Sat Mar 26 01:34:02 +0000 2016
Ronny Turiaf and Chicago native @ImJustPargo in the building for #Zags #Cuse. #Sweet16 https://t.co/LwbL5SrRIM,Sat Mar 26 01:34:02 +0000 2016
"RT @Cuse_MBB: The Orange take the court for warmups 
🍊🏀 #CuseMode https://t.co/MbBxCZfYlD",Sat Mar 26 01:34:07 +0000 2016
Ok guys! Let's Go Orange! It's your turn now!! #cuse #OrangeNation #CuseMode 🍊🏀🍊🏀🍊🏀,Sat Mar 26 01:34:07 +0000 2016
Come on #Gonzaga #NC #MarchMadness I ❤️ college basketball 🏀🏀,Sat Mar 26 01:34:11 +0000 2016
Now it's time for the real game!! LET'S GO ORANGE!!! #CuseMode,Sat Mar 26 01:34:15 +0000 2016
Nows the time!! #CuseMode #SweetSixteen #OrangeNation,Sat Mar 26 01:34:15 +0000 2016
RT @DarnayTripp: Ronny Turiaf and Chicago native @ImJustPargo in the building for #Zags #Cuse. #Sweet16 https://t.co/LwbL5SrRIM,Sat Mar 26 01:34:16 +0000 2016
"Whoah, what a finish to this game!! On to the next one! #MarchMadness #UnitedWeZag  https://t.co/fcWXkJYtoY",Sat Mar 26 01:34:23 +0000 2016
Let's go baby game time!!!🍊🍊🍊 #MarchMadness #Sweet16 #CuseMode 🍊🍊🍊,Sat Mar 26 01:34:24 +0000 2016
"RT @BuschSports: Fuck yeah boys! Got our first 2x play in. 
#Syracuse + 4 &amp; +5 &amp; #UNC -5.5 Pending 
#SportsBetting",Sat Mar 26 01:34:24 +0000 2016
Viene #Syracuse ahora 💪🔥,Sat Mar 26 01:34:28 +0000 2016
RT @wsdot: Good luclk to #Gonzaga &amp; #UW in #MarchMadness today. May your road to the #Elite8 be as uncongested as Friday's traffic.,Sat Mar 26 01:34:28 +0000 2016
Let's Goooooooo #CuseMode,Sat Mar 26 01:34:29 +0000 2016
Thanks for ripping my heart out wisco... Oh well. #GoZags,Sat Mar 26 01:34:30 +0000 2016
"RT @Cuse_MBB: The Orange take the court for warmups 
🍊🏀 #CuseMode https://t.co/MbBxCZfYlD",Sat Mar 26 01:34:34 +0000 2016
Go #zags. Watching #Gonzaga in #RhodeIsland tonight.,Sat Mar 26 01:34:34 +0000 2016
"RT @Cuse_MBB: The Orange take the court for warmups 
🍊🏀 #CuseMode https://t.co/MbBxCZfYlD",Sat Mar 26 01:34:34 +0000 2016
Always reppin #zags #MarchMadness #Gonzaga 🏀,Sat Mar 26 01:34:35 +0000 2016
RT @DarnayTripp: Ronny Turiaf and Chicago native @ImJustPargo in the building for #Zags #Cuse. #Sweet16 https://t.co/LwbL5SrRIM,Sat Mar 26 01:34:35 +0000 2016
"RT @Cuse_MBB: The Orange take the court for warmups 
🍊🏀 #CuseMode https://t.co/MbBxCZfYlD",Sat Mar 26 01:34:36 +0000 2016
Let's get it #CuseMode 🍊,Sat Mar 26 01:34:37 +0000 2016
RT @TheOttoOrange: I AM SOOO BLEEDING ORANGE RIGHT NOW!!!!! LET'S GO @CuseWBB 🍊🍊🍊🍊 #Elite8 #CuseMode #OrangeNation https://t.co/RPtc9kHPBK,Sat Mar 26 01:34:38 +0000 2016
Almost time. #UnitedWeZag,Sat Mar 26 01:34:39 +0000 2016
RT @GaryKIRO7: #GoZags Eric McClellan looks like he's break dancing at mid court. #Zags look loose. #UnitedWeZag @KIRO7Seattle https://t.co…,Sat Mar 26 01:34:50 +0000 2016
Let's go 'Cuse! #Syracuse https://t.co/vE0tUQpiW8,Sat Mar 26 01:34:51 +0000 2016
