text,time
RT @HeavensHawkeye: All state of Iowa version of One Shining Moment. #marchmadness #hawkeyes #northerniowa #Cyclones https://t.co/ezjp7XjqN5,Sat Mar 19 16:22:47 +0000 2016
RT @LittleRockMBB: Little Rock goes for its first-ever Sweet Sixteen tonight vs. Iowa State. #LittleRocksTeam #MarchMadness https://t.co/BH…,Sat Mar 19 16:23:10 +0000 2016
RT @HeavensHawkeye: All state of Iowa version of One Shining Moment. #marchmadness #hawkeyes #northerniowa #Cyclones https://t.co/ezjp7XjqN5,Sat Mar 19 16:23:22 +0000 2016
Great piece here. #cyclONEnation https://t.co/wdsXyRMLZ2,Sat Mar 19 16:23:30 +0000 2016
RT @LRTrojans: GAME DAY! @LittleRockMBB takes on Iowa State at 5:10 p.m. on TNT. #LittleRocksTeam #MarchMadness https://t.co/u0N6tGcKDM,Sat Mar 19 16:24:58 +0000 2016
RT @HeavensHawkeye: All state of Iowa version of One Shining Moment. #marchmadness #hawkeyes #northerniowa #Cyclones https://t.co/ezjp7XjqN5,Sat Mar 19 16:26:51 +0000 2016
RT @HeavensHawkeye: All state of Iowa version of One Shining Moment. #marchmadness #hawkeyes #northerniowa #Cyclones https://t.co/ezjp7XjqN5,Sat Mar 19 16:27:00 +0000 2016
#cyclONEnation  https://t.co/hxbofeKGmy,Sat Mar 19 16:27:01 +0000 2016
RT @CycloneATH: It's Game Day #cyclONEnation! Tune in at 5:10pm (CST) to TNT! https://t.co/4bH7fDshQl,Sat Mar 19 16:27:10 +0000 2016
Love #IowaState sports? Looking for an amazing internship? Join the Scout team. https://t.co/yGB3eCDI5H https://t.co/RSai21VsKf,Sat Mar 19 16:27:23 +0000 2016
Game is also available on Sirius XM channel 204 and through March Madness Live online here: https://t.co/ZopSK4CgC4 #LittleRocksTeam,Sat Mar 19 16:27:31 +0000 2016
RT @LittleRockMBB: Little Rock goes for its first-ever Sweet Sixteen tonight vs. Iowa State. #LittleRocksTeam #MarchMadness https://t.co/BH…,Sat Mar 19 16:28:01 +0000 2016
RT @HeavensHawkeye: All state of Iowa version of One Shining Moment. #marchmadness #hawkeyes #northerniowa #Cyclones https://t.co/ezjp7XjqN5,Sat Mar 19 16:28:10 +0000 2016
Very #proud of the 3 #Iowa #BasketballTeams #Hawkeyes #Panthers #Cyclones #keepupthegoodwork,Sat Mar 19 16:29:21 +0000 2016
