text,time
"LET'S GO, TEMPLE!! #BeatIowa  https://t.co/FqUOwB7T5v",Fri Mar 18 17:33:35 +0000 2016
MARCH MADNESS! #Temple https://t.co/AbIi20DmUw,Fri Mar 18 17:33:42 +0000 2016
"2 more for Burak, leads 5-1! #Hawkeyes",Fri Mar 18 17:33:48 +0000 2016
"RT @IowaWRLive: 2 more for Burak, leads 5-1! #Hawkeyes",Fri Mar 18 17:34:03 +0000 2016
RT @TUMBBHoops: It's that 🕐 of the year. #BeatIowa https://t.co/WJmsIWmzme,Fri Mar 18 17:34:05 +0000 2016
RT @HeavensHawkeye: Meet the #Hawkeyes Hoopers. #GoHawks https://t.co/uqFTUi717p,Fri Mar 18 17:34:08 +0000 2016
We went to march #MarchMadness #Temple @ Barclays Centre Brooklyn New York https://t.co/Muh44g7lva,Fri Mar 18 17:34:10 +0000 2016
#IowaCity #Iowa not just corn &amp; meat :) https://t.co/roeRFfoj0e,Fri Mar 18 17:35:28 +0000 2016
RT @TUMBBHoops: It's that 🕐 of the year. #BeatIowa https://t.co/WJmsIWmzme,Fri Mar 18 17:35:29 +0000 2016
RT @TUMBBHoops: It's that 🕐 of the year. #BeatIowa https://t.co/WJmsIWmzme,Fri Mar 18 17:35:33 +0000 2016
☆★☆ JOB ALERT ☆★☆ #ITJob #Job #Temple - Web Development: Wordpress Front End Developer &amp;… https://t.co/poozTfT6jA ☜ view full details,Fri Mar 18 17:35:34 +0000 2016
RT @TUMBBHoops: It's that 🕐 of the year. #BeatIowa https://t.co/WJmsIWmzme,Fri Mar 18 17:35:42 +0000 2016
#MarchMadness #Temple https://t.co/G3xH2RrC0n,Fri Mar 18 17:35:44 +0000 2016
RT @HawkeyeFootball: Go get it @IowaHoops #MarchMadness #Hawkeyes https://t.co/cS9X7r65Sg,Fri Mar 18 17:35:49 +0000 2016
Burak wins it and advances into semifinals! Final score: 5-2! #Hawkeyes #WrestleNYC,Fri Mar 18 17:35:53 +0000 2016
RT @TUMBBHoops: It's that 🕐 of the year. #BeatIowa https://t.co/WJmsIWmzme,Fri Mar 18 17:35:54 +0000 2016
"RT @IowaWRLive: Meyer wins in on Mat No. 2, 10-9! He will be advancing! #Hawkeyes #WrestleNYC",Fri Mar 18 17:35:54 +0000 2016
RT @TUMBBHoops: It's that 🕐 of the year. #BeatIowa https://t.co/WJmsIWmzme,Fri Mar 18 17:36:00 +0000 2016
RT @IowaWRLive: Burak wins it and advances into semifinals! Final score: 5-2! #Hawkeyes #WrestleNYC,Fri Mar 18 17:36:13 +0000 2016
"RT @JeffSkversky: What a Day!

•12:40pm: #Villanova vs UNC Asheville

•3:10pm: #Temple vs Iowa
 
•9:57pm: #St. Joe's vs Cincinnati https://…",Fri Mar 18 17:36:14 +0000 2016
RT @TUMBBHoops: It's that 🕐 of the year. #BeatIowa https://t.co/WJmsIWmzme,Fri Mar 18 17:36:16 +0000 2016
RT @IowaWRLive: Burak wins it and advances into semifinals! Final score: 5-2! #Hawkeyes #WrestleNYC,Fri Mar 18 17:36:33 +0000 2016
Hoot's taking selfies #Owls #mascots https://t.co/brjKdX6Cb4,Fri Mar 18 17:36:33 +0000 2016
Let's go Hawks! New season starts now! @IowaHoops #MarchMadness #Hawkeyes,Fri Mar 18 17:36:39 +0000 2016
I am filled with nerves and pie because the #Hawkeyes play today. Carry on.,Fri Mar 18 17:36:41 +0000 2016
Let's go HAWKS!!!! #MarchMadness #Hawkeyes #HawkeyeBasketball #UofI #Iowa  https://t.co/jcgLASrvKj,Fri Mar 18 17:36:46 +0000 2016
RT @HawkeyeFootball: Go get it @IowaHoops #MarchMadness #Hawkeyes https://t.co/cS9X7r65Sg,Fri Mar 18 17:36:47 +0000 2016
RT @lisavaccarelli: .@templealumni Team Philly heading to #TUMBB watch party at Commerce Square #BeatIowa https://t.co/NSLKR88e0t,Fri Mar 18 17:37:03 +0000 2016
Iowa sucks. Hawkeye sucks. #temple #MarchMadness #BeatIowa @BroadStDummies @SuperDudeDavey @dorriedill https://t.co/IIUJxah3bD,Fri Mar 18 17:37:34 +0000 2016
RT @BlueNationRev: #Iowa @ChuckGrassley #DoYourJob #DoYourJobFriday https://t.co/R6YHEjpCTB https://t.co/RVHtklwTn0,Fri Mar 18 17:37:46 +0000 2016
RT @IowaWRLive: Burak wins it and advances into semifinals! Final score: 5-2! #Hawkeyes #WrestleNYC,Fri Mar 18 17:37:49 +0000 2016
RT @HawkeyeFootball: Go get it @IowaHoops #MarchMadness #Hawkeyes https://t.co/cS9X7r65Sg,Fri Mar 18 17:37:51 +0000 2016
"Live from the #BarclaysCenter in Brooklyn, NY... Its March Madness! #Temple/#Iowa #Villanova/#UNCAshville https://t.co/glvreaw2X9",Fri Mar 18 17:38:02 +0000 2016
RT @HeavensHawkeye: Meet the #Hawkeyes Hoopers. #GoHawks https://t.co/uqFTUi717p,Fri Mar 18 17:38:34 +0000 2016
"This goes without saying, but #BeatIowa. #WeTheT",Fri Mar 18 17:38:43 +0000 2016
RT @HawkeyeFootball: Go get it @IowaHoops #MarchMadness #Hawkeyes https://t.co/cS9X7r65Sg,Fri Mar 18 17:39:08 +0000 2016
RT @br_radio: .@youngamazing9 is LIVE with @nicolezaloumis &amp; @stevecofield talking prep for the #NFLDraft and his #Temple Owls in #MarchMad…,Fri Mar 18 17:39:17 +0000 2016
RT @HeavensHawkeye: Meet the #Hawkeyes Hoopers. #GoHawks https://t.co/uqFTUi717p,Fri Mar 18 17:39:44 +0000 2016
That wraps up quarterfinal matches for the #Hawkeyes! Semifinals begin tonight at 7 p.m. (CT) #WrestleNYC,Fri Mar 18 17:39:47 +0000 2016
RT @TUMBBHoops: It's that 🕐 of the year. #BeatIowa https://t.co/WJmsIWmzme,Fri Mar 18 17:39:55 +0000 2016
Temple #Owls 32-17 ATS in road games after 2 or more consecutive overs - #NCAATOURNAMENT https://t.co/OU0WDRdYRd,Fri Mar 18 17:40:00 +0000 2016
RT @BlueNationRev: #Iowa @ChuckGrassley #DoYourJob #DoYourJobFriday https://t.co/R6YHEjpCTB https://t.co/RVHtklwTn0,Fri Mar 18 17:40:21 +0000 2016
RT @TUMBBHoops: It's that 🕐 of the year. #BeatIowa https://t.co/WJmsIWmzme,Fri Mar 18 17:40:24 +0000 2016
"Sioux City Journal Sioux City, IA (51101) Sioux City Journal Considerable clouds this morning.… https://t.co/ebNo4GNjr1 #SiouxCity #Iowa",Fri Mar 18 17:40:32 +0000 2016
#Hawkeyes have arrived. Let's Go Hawks! https://t.co/YJuvt8cuKi,Fri Mar 18 17:40:55 +0000 2016
RT @HawkeyeFootball: Go get it @IowaHoops #MarchMadness #Hawkeyes https://t.co/cS9X7r65Sg,Fri Mar 18 17:41:11 +0000 2016
RT @HawkeyeFootball: Go get it @IowaHoops #MarchMadness #Hawkeyes https://t.co/cS9X7r65Sg,Fri Mar 18 17:41:32 +0000 2016
Follow @WeGiveAHootTU for Temple Basketball news and recruiting updates. Growing and upcoming. #WeTheT #TUMBB #GoOwls #TempleMade #thankyou,Fri Mar 18 17:41:52 +0000 2016
Going dancing! #Hawkeyes,Fri Mar 18 17:41:53 +0000 2016
"RT @HawkeyesMic: Early 3rd Session matches at NCAA Wrestling Championships: #Hawkeyes Gilman with a major decision, Clark with a win - adva…",Fri Mar 18 17:42:00 +0000 2016
RT @HawkeyeFootball: Go get it @IowaHoops #MarchMadness #Hawkeyes https://t.co/cS9X7r65Sg,Fri Mar 18 17:42:04 +0000 2016
"RT @IowaWRLive: Meyer wins in on Mat No. 2, 10-9! He will be advancing! #Hawkeyes #WrestleNYC",Fri Mar 18 17:42:11 +0000 2016
RT @han5hwk: #Hawkeyes have arrived. Let's Go Hawks! https://t.co/YJuvt8cuKi,Fri Mar 18 17:42:17 +0000 2016
"Good luck to my friends @TUMBBHoops today. 
#BeatIowa 
@coachkillings 
#NCAATOURNAMENT",Fri Mar 18 17:42:31 +0000 2016
"La maldición del templario - @WarCryOficial - https://t.co/elFu0LztJp Un día como hoy, Jacques de Molay, era quemado en la hoguera #Temple",Fri Mar 18 17:42:37 +0000 2016
RT @HawkeyeFootball: Go get it @IowaHoops #MarchMadness #Hawkeyes https://t.co/cS9X7r65Sg,Fri Mar 18 17:42:47 +0000 2016
"#Nova taking care of business now #Temple on deck. Manhattan now, Brooklyn shortly #BrooklynBound https://t.co/AacAwCm7Lf",Fri Mar 18 17:42:49 +0000 2016
RT @HeavensHawkeye: Meet the #Hawkeyes Hoopers. #GoHawks https://t.co/uqFTUi717p,Fri Mar 18 17:43:01 +0000 2016
RT @HawkeyeFootball: Go get it @IowaHoops #MarchMadness #Hawkeyes https://t.co/cS9X7r65Sg,Fri Mar 18 17:43:42 +0000 2016
"Good luck to my friends @TUMBBHoops today. 
#BeatIowa 
@coachkillings 
#NCAATOURNAMENT",Fri Mar 18 17:44:09 +0000 2016
It's Game Day #Hawkeyes! How far do you have Iowa going in your bracket?,Fri Mar 18 17:44:19 +0000 2016
First Tweet:  GO HAWKS!  #MarchMadness #Hawkeyes https://t.co/MTphIYvMPG,Fri Mar 18 17:44:20 +0000 2016
RT @NFLDraftBible: Lock Haven CB Tyrai Anderson  ran 4.50 in the forty at #Temple pro day,Fri Mar 18 17:44:24 +0000 2016
RT @han5hwk: #Hawkeyes have arrived. Let's Go Hawks! https://t.co/YJuvt8cuKi,Fri Mar 18 17:44:28 +0000 2016
RT @TUMBBHoops: It's that 🕐 of the year. #BeatIowa https://t.co/WJmsIWmzme,Fri Mar 18 17:44:49 +0000 2016
"WATCH: Expect a rough &amp; tumble game between #Hawkeyes and Temple, @ChadLeistikow says. #MarchMadness https://t.co/zuKSqB1tGn",Fri Mar 18 17:45:13 +0000 2016
#Temple and #Iowa will battle later today but who can execute their game plan in Brooklyn? https://t.co/8a6yWQqlBD https://t.co/LtC3WinxM4,Fri Mar 18 17:45:19 +0000 2016
#Temple and #Iowa will battle later today but who can execute their game plan in Brooklyn? https://t.co/8bSUEDGZDN https://t.co/9LIOYs78Ml,Fri Mar 18 17:45:19 +0000 2016
@TaylorOSoule My wife and boys and I are at the game! Very exciting! Go #Hawkeyes,Fri Mar 18 17:45:29 +0000 2016
RT @TUMBBHoops: It's that 🕐 of the year. #BeatIowa https://t.co/WJmsIWmzme,Fri Mar 18 17:45:55 +0000 2016
#BeatDayton #BeatVCU #BeatIowa,Fri Mar 18 17:46:11 +0000 2016
RT @han5hwk: #Hawkeyes have arrived. Let's Go Hawks! https://t.co/YJuvt8cuKi,Fri Mar 18 17:46:12 +0000 2016
"See our latest #Temple, TX #job and click to apply: MSW I - Facility Master Social Worker I... - https://t.co/MkT4JCIj40 #dialysis #Hiring",Fri Mar 18 17:46:31 +0000 2016
"RT @IowaWRLive: Meyer wins in on Mat No. 2, 10-9! He will be advancing! #Hawkeyes #WrestleNYC",Fri Mar 18 17:46:45 +0000 2016
RT @HawkeyeFootball: Go get it @IowaHoops #MarchMadness #Hawkeyes https://t.co/cS9X7r65Sg,Fri Mar 18 17:46:51 +0000 2016
