text,time
#Iowa Open Meetings #Law Extends to Public Officials' Proxies - https://t.co/gcDkxp1Zsx https://t.co/gzpXBHU10O,Sun Mar 20 15:30:48 +0000 2016
Good luck to the #Hawkeyes and the #UNIPanthers in their #MarchMadness games today! Make Iowa proud!,Sun Mar 20 15:30:53 +0000 2016
RT @VUCoachJWright: Game Day 12:10 PM on @CBSSports #LetsMarchNova https://t.co/nWhIbkbFaq,Sun Mar 20 15:31:00 +0000 2016
RT @IowaHoops: Iowa is 4-0 all-time in games played on March 20. #Hawkeyes #MarchMadness,Sun Mar 20 15:31:04 +0000 2016
Let's Go Nova!!!!!!!🏀 #NovaNation,Sun Mar 20 15:31:12 +0000 2016
"RT @JeffSkversky: #Villanova on the floor for pregame warm-ups in Brooklyn. 

#Nova is a win away from the #Sweet16 https://t.co/L0DcMg9y7N",Sun Mar 20 15:31:15 +0000 2016
"The demons.
The haters.
The bad memories.
It all ends today. 

#NovaNation",Sun Mar 20 15:31:22 +0000 2016
RT @IowaHoops: The #Hawkeyes have taken the court. #MarchMadness https://t.co/dPYOATddSa,Sun Mar 20 15:31:27 +0000 2016
RT @IowaHoops: The #Hawkeyes have taken the court. #MarchMadness https://t.co/dPYOATddSa,Sun Mar 20 15:31:30 +0000 2016
RT @IowaHoops: LIVE on #Periscope: The #Hawkeyes have taken the court in Brooklyn.  https://t.co/dDebglhWdf,Sun Mar 20 15:31:38 +0000 2016
RT @IowaHoops: The #Hawkeyes have arrived @barclayscenter for today's game vs. Villanova. #MarchMadness https://t.co/eh6qhcCHH0,Sun Mar 20 15:31:46 +0000 2016
The only thing that will get me up before noon on a Sunday is watching my @NovaMBB! #NovaNation #NovaMBB. #letsmarchnova,Sun Mar 20 15:31:47 +0000 2016
RT @SPORTalkNova: RETWEET if you're rooting for Villanova to beat Iowa #NovaNation #LetsMarchNova #MarchMadness https://t.co/ExxsWV40cI,Sun Mar 20 15:32:02 +0000 2016
RT @IowaHoops: Iowa is 4-0 all-time in games played on March 20. #Hawkeyes #MarchMadness,Sun Mar 20 15:32:06 +0000 2016
"RT @IowaHoops: Officials: Michael Stephens, Kip Kissinger, Bill Covington. #Hawkeyes",Sun Mar 20 15:32:13 +0000 2016
RT @SPORTalkNova: RETWEET if you're rooting for Villanova to beat Iowa #NovaNation #LetsMarchNova #MarchMadness https://t.co/ExxsWV40cI,Sun Mar 20 15:32:15 +0000 2016
RT @IowaHoops: The #Hawkeyes have taken the court. #MarchMadness https://t.co/dPYOATddSa,Sun Mar 20 15:32:19 +0000 2016
"Cats are on the court for warmups as @NovaMBB looks to get to the Sweet 16.
#MarchMadness #Villanova https://t.co/pBfQAFhm92",Sun Mar 20 15:32:19 +0000 2016
RT @NovaBBallMemes: GAME. DAY.  Time to get the 🐵 off ours backs. Nova. Iowa. 12:10. A trip to the #Sweet16 on the line. #LetsMarchNova htt…,Sun Mar 20 15:32:22 +0000 2016
"RT @NovaMBB: Wildcats have arrived at the @barclayscenter. 

#LetsMarchNova 
#MarchMadness https://t.co/LpGRS4iIqV",Sun Mar 20 15:32:23 +0000 2016
RT @IowaHoops: Iowa is 4-0 all-time in games played on March 20. #Hawkeyes #MarchMadness,Sun Mar 20 15:32:23 +0000 2016
Been saying it for almost 2 mos...I'd love to see Iowa play one more game they way they did earlier in the year. #Hawkeyes #MarchMadness,Sun Mar 20 15:32:21 +0000 2016
"RT @IowaXC_TF: Sowinski Wins Bronze at IAAF World Championships » https://t.co/h210tdZU4m

#Hawkeyes #Until https://t.co/a5yXtFR4Iz",Sun Mar 20 15:32:25 +0000 2016
"Nova game is about to be on
I got them goin all the way in my bracket this year! #Villanova… https://t.co/31gQkxEu9d",Sun Mar 20 15:32:26 +0000 2016
RT @IowaHoops: The #Hawkeyes have arrived @barclayscenter for today's game vs. Villanova. #MarchMadness https://t.co/eh6qhcCHH0,Sun Mar 20 15:32:27 +0000 2016
RT @SPORTalkNova: RETWEET if you're rooting for Villanova to beat Iowa #NovaNation #LetsMarchNova #MarchMadness https://t.co/ExxsWV40cI,Sun Mar 20 15:32:37 +0000 2016
RT @NovaBBallMemes: GAME. DAY.  Time to get the 🐵 off ours backs. Nova. Iowa. 12:10. A trip to the #Sweet16 on the line. #LetsMarchNova htt…,Sun Mar 20 15:32:39 +0000 2016
Gonna puke #NovaNation,Sun Mar 20 15:32:46 +0000 2016
"Deck Staining Fort Madison, IA - Papa's Decks - Free In-Home Estimate https://t.co/qwx426soEp
 #DeckStainingIA #Iowa",Sun Mar 20 15:32:46 +0000 2016
HAWWWWWWWWWK UPPPPP!!! #Hawkeyes,Sun Mar 20 15:33:00 +0000 2016
#NovaNation,Sun Mar 20 15:33:13 +0000 2016
Get the dub! @NovaMBB #LetsMarchNova #MarchMadness,Sun Mar 20 15:33:38 +0000 2016
"RT @JeffSkversky: #Villanova on the floor for pregame warm-ups in Brooklyn. 

#Nova is a win away from the #Sweet16 https://t.co/L0DcMg9y7N",Sun Mar 20 15:33:44 +0000 2016
"Let's go Nova! Let's end the stupid ""can't get out of the 1st wknd"" narrative once and for all! @NovaMBB #NovaNation #NovaMBB #LetsMarchNova",Sun Mar 20 15:33:46 +0000 2016
#Hawkeyes,Sun Mar 20 15:33:47 +0000 2016
RT @VUCoachJWright: Game Day 12:10 PM on @CBSSports #LetsMarchNova https://t.co/nWhIbkbFaq,Sun Mar 20 15:33:49 +0000 2016
RT @IowaHoops: Iowa is 4-0 all-time in games played on March 20. #Hawkeyes #MarchMadness,Sun Mar 20 15:34:01 +0000 2016
"RT @a_weets: Iowa can pull off the upset over Nova! I believe they will too!
#Hawkeyes #Until #MarchMadness",Sun Mar 20 15:34:04 +0000 2016
RT @HeavensHawkeye: 'Lil Woody celebrates the #Hawkeyes buzzer beater https://t.co/huLDCX0bAO,Sun Mar 20 15:34:06 +0000 2016
RT @IowaHoops: The #Hawkeyes have taken the court. #MarchMadness https://t.co/dPYOATddSa,Sun Mar 20 15:34:10 +0000 2016
