text,time
Some person will demand that Geno Auriemma call #RMU to apologize for beating them by this margin. #UConn,Sat Mar 19 16:22:44 +0000 2016
RT @UConnWBB: Lou buries both free throws and sets a new #UConn @ncaawbb tourn. debut record with 22 points.  #UConn leads 82-24 at 1:54 Q3.,Sat Mar 19 16:22:50 +0000 2016
Haters gonna hate. #kubball #marchmadness https://t.co/f6p51VlMc2,Sat Mar 19 16:22:54 +0000 2016
RT @UConnWBB: Lou buries both free throws and sets a new #UConn @ncaawbb tourn. debut record with 22 points.  #UConn leads 82-24 at 1:54 Q3.,Sat Mar 19 16:22:55 +0000 2016
"RT @faizapatel665: And it's over!!
Target--119✌
We can do it boys💙✌😌
#bleedblue 💙
#Ind v #Pak #WT20",Sat Mar 19 16:22:55 +0000 2016
"Pak- 118/5. Game on boys, C'mon India go 4 d victory, plz dont repeat last match memories #ind #bleedblue #IndvsPak",Sat Mar 19 16:22:55 +0000 2016
RT @shrutihaasan: Cmon India !!!!! #bleedblue #cricketforever #india https://t.co/ZJDSgOZoKw,Sat Mar 19 16:23:02 +0000 2016
[SB Nation: Rock Chalk Talk] NCAA Tournament Round of 32: Saturday's Slate https://t.co/TKUmTcvqnE #Jayhawks #kubball #Rockchalk,Sat Mar 19 16:23:08 +0000 2016
RT @UConnWBB: Let's dance! No. 1 #UConn takes on @RMU_WBasketball at 11 a.m. ET on ESPN2. #Going4Eleven https://t.co/htcRcT5pzD,Sat Mar 19 16:23:10 +0000 2016
Semma bowling by #bleedblue now its a time to show with bat 😎 go boys 🙌🙌 #WT20 #IndvPak #Ind,Sat Mar 19 16:23:11 +0000 2016
Brad Cuzner strikes on a shorthanded breakaway tying things up at 1 for @StFXAthletics. #Huskies still with over a minute of PP time.,Sat Mar 19 16:23:11 +0000 2016
"Beautifully played! Pakistan - 118! 

The Indian team would begin shortly! #indiavspak #bleedblue https://t.co/IofmKnDFAD",Sat Mar 19 16:23:18 +0000 2016
RT @UConnWBB: Lou buries both free throws and sets a new #UConn @ncaawbb tourn. debut record with 22 points.  #UConn leads 82-24 at 1:54 Q3.,Sat Mar 19 16:23:19 +0000 2016
RT @UConnWBB: Stewie eclipses former #UConn star @RebeccaLobo as the school record holder with 397 career blocks! https://t.co/6G2rzYiCxm,Sat Mar 19 16:23:25 +0000 2016
Those 22 points by Lou are also a new career high.  #Huskies are 24-26 from the free throw line today and lead 82-24 at 1:14 Q3.,Sat Mar 19 16:23:34 +0000 2016
"RT @NHRJimFuller: Katie Lou Samuelson with 22 points, most by a #UConn freshman in NCAA tourney debut",Sat Mar 19 16:23:37 +0000 2016
"Jamelle Elliott had 21 vs. Louisville on 3-18-93, Mosqueda-Lewis 21 vs. Prairie View on 3-17-12 held #UConn mark for points in debut",Sat Mar 19 16:23:37 +0000 2016
@asafdar1 @NadiaBukhariUCL #bleedblue,Sat Mar 19 16:23:45 +0000 2016
RT @UConnWBB: Those 22 points by Lou are also a new career high.  #Huskies are 24-26 from the free throw line today and lead 82-24 at 1:14 …,Sat Mar 19 16:23:51 +0000 2016
RT @shrutihaasan: Cmon India !!!!! #bleedblue #cricketforever #india https://t.co/ZJDSgOZoKw,Sat Mar 19 16:23:53 +0000 2016
RT @UConnWBB: Game-high six assists for Kia ... her season high is eight ... She also has nine points.  #UConn leads 80-22 at 2:56 Q3.,Sat Mar 19 16:23:57 +0000 2016
RT @KUHoops: Time to go to work #kubball https://t.co/XIoAyzcb90,Sat Mar 19 16:23:57 +0000 2016
RT @UConnWBB: Those 22 points by Lou are also a new career high.  #Huskies are 24-26 from the free throw line today and lead 82-24 at 1:14 …,Sat Mar 19 16:23:59 +0000 2016
RT @UConnWBB: Stewie eclipses former #UConn star @RebeccaLobo as the school record holder with 397 career blocks! https://t.co/6G2rzYiCxm,Sat Mar 19 16:24:12 +0000 2016
RT @BruceFeldmanCFB: This is insane. The #UConn women are beating #16 seed Robert Morris 46-4 midway thru the second quarter.,Sat Mar 19 16:24:14 +0000 2016
RT @IamAsmitaSood: Let's cheer for #TeamIndia!! #WT20 #IndvsPak ##bleedblue https://t.co/rkVON6kZaF,Sat Mar 19 16:24:17 +0000 2016
@ruksaah fingers crossed your Indian side wins as well bobs! #Ind #bleedblue 💙,Sat Mar 19 16:24:18 +0000 2016
RT @JHaskinsGlobal: Brad Cuzner strikes on a shorthanded breakaway tying things up at 1 for @StFXAthletics. #Huskies still with over a minu…,Sat Mar 19 16:24:30 +0000 2016
Morgan Tuck now falls to a tie for 4th for most points for #UConn frosh in NCAA tourney debut,Sat Mar 19 16:24:32 +0000 2016
This game ain't even fair. #Huskies #NCAATOURNAMENT,Sat Mar 19 16:24:38 +0000 2016
RT @UConnWBB: Those 22 points by Lou are also a new career high.  #Huskies are 24-26 from the free throw line today and lead 82-24 at 1:14 …,Sat Mar 19 16:24:39 +0000 2016
RT @UConnWBB: Stewie eclipses former #UConn star @RebeccaLobo as the school record holder with 397 career blocks! https://t.co/6G2rzYiCxm,Sat Mar 19 16:24:40 +0000 2016
Des Moines or bust #kubball #marchmadness #rockchalk @ I-35 https://t.co/ZPqPOaB2VX,Sat Mar 19 16:24:41 +0000 2016
RT @KUHoops: Time to go to work #kubball https://t.co/XIoAyzcb90,Sat Mar 19 16:24:48 +0000 2016
#DesMoines place to be. #UConn #HoosierNation #KentuckyWildcats &amp; #KansasJayhawks - 4 of the biggest programs of all time. #NCAATOURNAMENT,Sat Mar 19 16:24:50 +0000 2016
RT @UConnWBB: Those 22 points by Lou are also a new career high.  #Huskies are 24-26 from the free throw line today and lead 82-24 at 1:14 …,Sat Mar 19 16:24:51 +0000 2016
"RT @UConnWBB: Lou up to 20 pts, marking the 4th time she has scored 20+ ... Career high is 21.  Morgan has 13 and 6 rebs.  #UConn leads 76-…",Sat Mar 19 16:24:53 +0000 2016
RT @UConnWBB: Lou buries both free throws and sets a new #UConn @ncaawbb tourn. debut record with 22 points.  #UConn leads 82-24 at 1:54 Q3.,Sat Mar 19 16:24:54 +0000 2016
"scream 4 blue""@priyankachopra: I'll always #bleedblue can't wait!! Indiaaaaaaa india! Go team ! #cricketLove https://t.co/c3TP4x2Km3",Sat Mar 19 16:24:57 +0000 2016
"Don't tweet often, but when I do it's about cricket or cars, come on India #bleedblue!",Sat Mar 19 16:24:57 +0000 2016
Get to know Babybellyband by CABEA ~ support products for #pregnancy &amp; more! https://t.co/dpJkKwj7dU #Connecticut https://t.co/mgGOkrnVtA,Sat Mar 19 16:25:10 +0000 2016
RT @shrutihaasan: Cmon India !!!!! #bleedblue #cricketforever #india https://t.co/ZJDSgOZoKw,Sat Mar 19 16:25:13 +0000 2016
119 to win!! not too bad !! #CmonINDIA #Ind #indvspak #WT20 #bleedblue,Sat Mar 19 16:25:20 +0000 2016
RT @UConnWBB: Lou buries both free throws and sets a new #UConn @ncaawbb tourn. debut record with 22 points.  #UConn leads 82-24 at 1:54 Q3.,Sat Mar 19 16:25:21 +0000 2016
"#Huskies shooters go cold late in the 3rd, allowing SMU to cut the gap to 10. Saskatchewan leads 50-40 heading to the 4th quarter.",Sat Mar 19 16:25:32 +0000 2016
RT @KUHoops: Time to go to work #kubball https://t.co/XIoAyzcb90,Sat Mar 19 16:25:44 +0000 2016
RT @UConnWBB: Those 22 points by Lou are also a new career high.  #Huskies are 24-26 from the free throw line today and lead 82-24 at 1:14 …,Sat Mar 19 16:25:44 +0000 2016
@sony_india So Pak sets the target of 119 runs for Ind. C'mmon India Chak de! #CricketOnBRAVIA #bleedblue https://t.co/uv3kxbwBql,Sat Mar 19 16:25:47 +0000 2016
RT @UConnMBB: Ready to roll! #UConn takes on top-seeded Kansas in NCAA Second Round action at approx. 7:45 p.m. ET on @CBS https://t.co/vM9…,Sat Mar 19 16:25:48 +0000 2016
RT @Mr_CameronJones: Gameday! Lets smoke UConn! #RockChalk ⚪🔴🔵,Sat Mar 19 16:25:58 +0000 2016
RT @RichElliott73: No other #UConn freshman has had more points in their @ncaawbb tournament debut than @33katielou.,Sat Mar 19 16:25:59 +0000 2016
Clash of the bluebloods: Iowa braces for high-profile Saturday https://t.co/OAPD2Fb4Iu #BBN #Hoosiers #KUbball #UConn #NCAA #MarchMadness,Sat Mar 19 16:26:00 +0000 2016
Chak De India!!! #bleedblue — watching India vs Pakistan,Sat Mar 19 16:26:05 +0000 2016
RT @shrutihaasan: Cmon India !!!!! #bleedblue #cricketforever #india https://t.co/ZJDSgOZoKw,Sat Mar 19 16:26:11 +0000 2016
RT @UConnWBB: Lou buries both free throws and sets a new #UConn @ncaawbb tourn. debut record with 22 points.  #UConn leads 82-24 at 1:54 Q3.,Sat Mar 19 16:26:13 +0000 2016
RT @Rashika_Bajaj: Last over Common India we need a wicket #IndvsPak #bleedblue,Sat Mar 19 16:26:21 +0000 2016
RT @sopalakish: 119 to win!! not too bad !! #CmonINDIA #Ind #indvspak #WT20 #bleedblue,Sat Mar 19 16:26:27 +0000 2016
RT @UConnWBB: Those 22 points by Lou are also a new career high.  #Huskies are 24-26 from the free throw line today and lead 82-24 at 1:14 …,Sat Mar 19 16:26:33 +0000 2016
RT @KUHoops: Tyler Self banks it from half court off the bounce #kubball https://t.co/puj9OQWt4R,Sat Mar 19 16:26:33 +0000 2016
RT @UConnWBB: Those 22 points by Lou are also a new career high.  #Huskies are 24-26 from the free throw line today and lead 82-24 at 1:14 …,Sat Mar 19 16:26:35 +0000 2016
#Espn2  #NCAAWomensChampionship  #Madness Thtas what #UConn has they never walk they never get distant they are all present #SC,Sat Mar 19 16:26:35 +0000 2016
"RT @RFlahertyGlobal: #Huskies shooters go cold late in the 3rd, allowing SMU to cut the gap to 10. Saskatchewan leads 50-40 heading to the …",Sat Mar 19 16:26:39 +0000 2016
RT @CaptainCool_7: @sony_india So Pak sets the target of 119 runs for Ind. C'mmon India Chak de! #CricketOnBRAVIA #bleedblue https://t.co/u…,Sat Mar 19 16:26:42 +0000 2016
#Jayhawks-#UConn at 4:45 Eastern time. #kubball seeking its 31st #Sweet16 appearance and its eighth under @CoachBillSelf,Sat Mar 19 16:26:50 +0000 2016
#Connecticut #UCONN #HUSKIES Zephyr #SnapBack in stock at https://t.co/vQ2M7UTU6a #MarchMadness https://t.co/symmtlAmge,Sat Mar 19 16:27:08 +0000 2016
#UConn women play with the same intensity when they are up by 50 as they play up by 2. #Geno #coaching,Sat Mar 19 16:27:09 +0000 2016
RT @KUHoops: Time to go to work #kubball https://t.co/XIoAyzcb90,Sat Mar 19 16:27:13 +0000 2016
Napheesa buries her second 3FG of the season as Q3 winds down.  #Huskies will head into Q4 with an 85-24 lead.,Sat Mar 19 16:27:16 +0000 2016
RT @KUHoops: Tyler Self banks it from half court off the bounce #kubball https://t.co/puj9OQWt4R,Sat Mar 19 16:27:20 +0000 2016
RT @UConnWBB: Napheesa buries her second 3FG of the season as Q3 winds down.  #Huskies will head into Q4 with an 85-24 lead.,Sat Mar 19 16:27:22 +0000 2016
