text,time
Gameday #RockChalk,Sat Mar 26 22:15:02 +0000 2016
Best of luck to the Big 12 teams tonight! #Elite8 #BoomerSooner #Jayhawks,Sat Mar 26 22:15:16 +0000 2016
RT @NovaMBB: By the numbers: Preview tonight's matchup vs. Kansas #Elite8 #LetsMarchNova https://t.co/IlNKzHTSib,Sat Mar 26 22:15:19 +0000 2016
We have the #Villanova vs #Kansas game with audio for you!! #Elite8 #MarchMadness #NCAA,Sat Mar 26 22:15:19 +0000 2016
"This guy @RustyBenson35 is nuts (but like the good kind of nuts) 😂😂 #NovaNation 

https://t.co/QEi6FcW5wF",Sat Mar 26 22:15:21 +0000 2016
RT @jakobdaniels5: Headed to Louisville for the elite 8 with my dude @clint_easley #RockChalkJayhawk #ku,Sat Mar 26 22:15:22 +0000 2016
"#Erotic #Steampunk #KU
Eyes In The Twilight
Danger or Desire, She's Not Backing Down.
https://t.co/HvvegcxjIr https://t.co/y5Yw9QRbIZ",Sat Mar 26 22:15:27 +0000 2016
"#Erotic #Steampunk #KU
Eyes In The Twilight
Danger or Desire, She's Not Backing Down.
https://t.co/g4bS7ccJWj https://t.co/rIXJhkrkeA",Sat Mar 26 22:15:27 +0000 2016
"#Erotic #Steampunk #KU
Eyes In The Twilight
Danger or Desire, She's Not Backing Down.... https://t.co/ziORDvWeDK",Sat Mar 26 22:15:30 +0000 2016
"RT @DarkestLilith: EroticaAftrDark: #EroticaFreebie #Erotica #Freebie #KU
US: https://t.co/NTnRmoH98w
UK: … https://t.co/8ZSxynPQKX… https:…",Sat Mar 26 22:15:36 +0000 2016
#LetsMarchNova #Elite8,Sat Mar 26 22:15:57 +0000 2016
"RT @NovaAthletics: BIG TIME game tonight! 

#Elite8 #GoNova #LetsMarchNova 

Preview: https://t.co/09pjRvPnNj https://t.co/HrV4g2cfzl",Sat Mar 26 22:15:58 +0000 2016
"RT @KUHoops: In a series that dates back to 1968, #kubball holds a 3-2 all-time advantage over Villanova https://t.co/AjNPWUqfBY",Sat Mar 26 22:16:01 +0000 2016
RT @NovaMBB: Happy Birthday @RyArch15! #TheArch #NovaMBB #Elite8 https://t.co/ownjZ5JJTS,Sat Mar 26 22:16:15 +0000 2016
RT @TheRealDaveBoan: I want this win bad tonight. Could have another break down if we lose #KU,Sat Mar 26 22:16:18 +0000 2016
"RT @KUHoops: In a series that dates back to 1968, #kubball holds a 3-2 all-time advantage over Villanova https://t.co/AjNPWUqfBY",Sat Mar 26 22:16:20 +0000 2016
Everybody's ready for the big game! Good luck 😺✌️🏀❤️❤️🏀#LetsMarchNova #Villanova #gocats #NovaNation https://t.co/NHFsNb7IbJ,Sat Mar 26 22:16:25 +0000 2016
"Need a treat for your Easter basket? Why not try THE EASTER BUNNY'S BEAR! https://t.co/FJCdmd6Vki
#PNR #EasterWeekend #romance #99cents #KU",Sat Mar 26 22:16:27 +0000 2016
It's gonna be a Big 12 night - want an OU and KU win  We know the NCAA wants to see an epic KU/OU Final 4 match-up #kubball,Sat Mar 26 22:16:39 +0000 2016
Happy birthday @RyArch15 let's get this W tonight! #NovaNation,Sat Mar 26 22:16:44 +0000 2016
They hate us cause they ain't us🔴🔵 #RockChalk https://t.co/SDyWuFRTee,Sat Mar 26 22:16:54 +0000 2016
I have the favorites in the games today #Oregon #Kansas #Elite8,Sat Mar 26 22:17:07 +0000 2016
Predicting W's from both Big 12 teams today! Gonna have 2 Big 12 and 2 ACC teams in the Final Four! #RockChalk #OU #Big12,Sat Mar 26 22:17:13 +0000 2016
"RT @KUHoops: In a series that dates back to 1968, #kubball holds a 3-2 all-time advantage over Villanova https://t.co/AjNPWUqfBY",Sat Mar 26 22:17:15 +0000 2016
"RT @NovaMBB: Today's TEAM send-off from The Brown Hotel is scheduled for 6pm! #NovaNation #Elite8 

#LetsMarchNova ⚪️🔵 https://t.co/p02WMs0…",Sat Mar 26 22:17:18 +0000 2016
RT @TTfinbar: @IheartBBQ your tweets got us craving #BBQ @SmokehouseSside &amp; cold @CiscoBrewers #whaletale @plyonsba 🐷👍 #RockChalk https://t…,Sat Mar 26 22:17:18 +0000 2016
Mamaw doesn't want to come to family dinner because the KU game will start by the time they will get back. #DieHardKUFan #RockChalk,Sat Mar 26 22:17:32 +0000 2016
RT @TrentonPerry13: Predicting W's from both Big 12 teams today! Gonna have 2 Big 12 and 2 ACC teams in the Final Four! #RockChalk #OU #Big…,Sat Mar 26 22:17:38 +0000 2016
Let's Go VILLANOVA WILDCATS!!! Get to the FINAL FOUR!! #MarchMadness  #Villanova,Sat Mar 26 22:17:57 +0000 2016
RT @W_Angels_Wings: With Angel's Wings tops a list! Thank you Indie Author Land https://t.co/05qFswKxzB #KU https://t.co/t7TvjvkgJB https:/…,Sat Mar 26 22:18:23 +0000 2016
#RockChalk #kubball The onyl problem about this game is I won't be able to watch- wife has plans- can you believe that?,Sat Mar 26 22:18:28 +0000 2016
RT @heathocampo: Game day! #kubball #RockChalkJayhawk https://t.co/2YjaEyGSS8,Sat Mar 26 22:18:35 +0000 2016
"Should Kansas advance, who would you rather them play in the Final Four, #kubball",Sat Mar 26 22:18:50 +0000 2016
[Fansided: KC Kingdom] KU Basketball: Where to Watch Jayhawks vs Villanova https://t.co/eKNqAJ4Pm4 #Jayhawks #kufball #Rockchalk,Sat Mar 26 22:19:02 +0000 2016
"RT @RockChalkBlog: Should Kansas advance, who would you rather them play in the Final Four, #kubball",Sat Mar 26 22:19:06 +0000 2016
Ever wonder what happened between the #crucifixion &amp; the #resurrection? THE BATTLE FOR EASTER https://t.co/U10kLwBhhC #EASTER #KU,Sat Mar 26 22:19:08 +0000 2016
[Fansided: KC Kingdom] KU Basketball: Where to Watch Jayhawks vs Villanova https://t.co/ZQ6OhvPmTY #Jayhawks #kubball #Rockchalk,Sat Mar 26 22:19:12 +0000 2016
Ahhh so nervous about tonight's game! #kubball #MarchMadness #Elite8,Sat Mar 26 22:19:26 +0000 2016
RT @JayhawkTalk: IT'S A GREAT DAY FOR A GREAT DAY. #RockChalk #KUCMB #FOE #NoPizzaDaysOff #MIHM #BIFM #MarchSwagness #Gameday,Sat Mar 26 22:19:36 +0000 2016
RT @KUHoops: Tonight marks our 21st #Elite8 appearance #kubball https://t.co/KY6zh5ERYV,Sat Mar 26 22:19:41 +0000 2016
#kubball's guards meet to quiz each other over scouting reports. How it's helped the team: https://t.co/U2TZqfEW43 https://t.co/TUXJKHTAPR,Sat Mar 26 22:20:07 +0000 2016
Ayyy let's get that perfect Final Four sans Michigan St #BoomerSooner #RockChalk,Sat Mar 26 22:20:15 +0000 2016
#Scottish #Romance #Boxset .99 #read #Free on #KU #fridayreads #steamyromance https://t.co/mM3iOTAYEQ https://t.co/V0b3f8DlP4,Sat Mar 26 22:20:25 +0000 2016
#NovaNation 🔵⚪️ \\//,Sat Mar 26 22:20:52 +0000 2016
Lets go #Nova later today @lalalaguuurl lol,Sat Mar 26 22:20:54 +0000 2016
OKLAHOMA! #Big12Strong #NCAATOURNAMENT #MarchMadness #RockChalk,Sat Mar 26 22:21:28 +0000 2016
SCORE ALERT: #Baseball #Livescore @ScoresPro: (USA-) #Kansas City Royals vs #Oakland Athletics: 5-0,Sat Mar 26 22:21:35 +0000 2016
#Baseball #Livescore @ScoresPro: (USA-) #Kansas City Royals vs #Oakland Athletics: 5-0: 8 Inn  #MLBScores,Sat Mar 26 22:21:35 +0000 2016
RT @KUHoops: Tonight marks our 21st #Elite8 appearance #kubball https://t.co/KY6zh5ERYV,Sat Mar 26 22:21:37 +0000 2016
RT @KansanSports: #kubball's guards meet to quiz each other over scouting reports. How it's helped the team: https://t.co/U2TZqfEW43 https:…,Sat Mar 26 22:21:52 +0000 2016
"RT @KUHoops: In a series that dates back to 1968, #kubball holds a 3-2 all-time advantage over Villanova https://t.co/AjNPWUqfBY",Sat Mar 26 22:22:15 +0000 2016
I want #Kansas to win #MarchMadness  #NCAATOURNAMENT,Sat Mar 26 22:22:22 +0000 2016
At Max capacity here at The Brown Hotel for today's team send-off! #NovaNation #Elite8 https://t.co/HdD3djpKFT,Sat Mar 26 22:22:21 +0000 2016
"RT @RockChalkBlog: Should Kansas advance, who would you rather them play in the Final Four, #kubball",Sat Mar 26 22:22:23 +0000 2016
"RT @THEMMEXCHANGE: #Kansas #Marijuana Advocate Sues State Over Son's Removal 

https://t.co/mp1c3dgqyf via @ABC #KS #MME #cannabis #cbd htt…",Sat Mar 26 22:22:30 +0000 2016
"RT @KUHoops: This day in 2004, #kubball endured UAB’s “40 minutes of Hell” defense for a 100-74 win in the NCAA Championship St. Louis Regi…",Sat Mar 26 22:22:32 +0000 2016
Reddy for da game.   Go Nova.  #NovaNation #MarchMadness https://t.co/KLpEYMxYJw,Sat Mar 26 22:22:36 +0000 2016
"RT @aj_santangelo: It is Gameday!! Elite 8!! Let's go Nova!!!
#LetsMarchNova #NovaNation",Sat Mar 26 22:22:43 +0000 2016
RT @NovaMBB: At Max capacity here at The Brown Hotel for today's team send-off! #NovaNation #Elite8 https://t.co/HdD3djpKFT,Sat Mar 26 22:22:43 +0000 2016
Cheering on the Cats tonight with some Coastal Evac from fellow alums at @CapeMayBrewCo #Villanova #GoCats https://t.co/bVYS4vNG85,Sat Mar 26 22:22:45 +0000 2016
RT @KUHoops: Tonight marks our 21st #Elite8 appearance #kubball https://t.co/KY6zh5ERYV,Sat Mar 26 22:22:50 +0000 2016
"RT @KUHoops: In a series that dates back to 1968, #kubball holds a 3-2 all-time advantage over Villanova https://t.co/AjNPWUqfBY",Sat Mar 26 22:22:56 +0000 2016
RT @SportsWatch1: #Villanova #Wildcats vs #Kansas #Jayhawks #ncaab #Elite8 #betting Preview https://t.co/05Lh07WuZq #MarchMadness #CBB http…,Sat Mar 26 22:23:03 +0000 2016
Basketball signed by the whole Nova ball team #NovaNation @RyArch15 @bigticket2 @JoshHart_3 Signatures! @NovaMBB https://t.co/FpQQJZQPLJ,Sat Mar 26 22:23:04 +0000 2016
RT @NovaMBB: At Max capacity here at The Brown Hotel for today's team send-off! #NovaNation #Elite8 https://t.co/HdD3djpKFT,Sat Mar 26 22:23:14 +0000 2016
RT @Next718star: Lets 👊🏾 that 🎟! #kubball #finalfour Rock Chalk!,Sat Mar 26 22:23:25 +0000 2016
RT @KUHoops: Tonight marks our 21st #Elite8 appearance #kubball https://t.co/KY6zh5ERYV,Sat Mar 26 22:23:27 +0000 2016
RT @Next718star: Lets 👊🏾 that 🎟! #kubball #finalfour Rock Chalk!,Sat Mar 26 22:23:32 +0000 2016
RT @NovaMBB: At Max capacity here at The Brown Hotel for today's team send-off! #NovaNation #Elite8 https://t.co/HdD3djpKFT,Sat Mar 26 22:23:36 +0000 2016
RT @NovaMBB: At Max capacity here at The Brown Hotel for today's team send-off! #NovaNation #Elite8 https://t.co/HdD3djpKFT,Sat Mar 26 22:23:36 +0000 2016
🐐🐐🐐 #kubball #eliteeight #MarchMadness https://t.co/Fq8LSg1pzj,Sat Mar 26 22:23:37 +0000 2016
"RT @KUHoops: In a series that dates back to 1968, #kubball holds a 3-2 all-time advantage over Villanova https://t.co/AjNPWUqfBY",Sat Mar 26 22:23:38 +0000 2016
"RT @KUHoops: If the wait until game time has you antsy, highlights from Thursday's win should help tie you over. #kubball 

https://t.co/RI…",Sat Mar 26 22:23:43 +0000 2016
RT @NovaMBB: By the numbers: Preview tonight's matchup vs. Kansas #Elite8 #LetsMarchNova https://t.co/IlNKzHTSib,Sat Mar 26 22:23:44 +0000 2016
RT @Next718star: Lets 👊🏾 that 🎟! #kubball #finalfour Rock Chalk!,Sat Mar 26 22:23:46 +0000 2016
"RT @SportsWatch1: As of this post, #Kansas #Jayhawks -2 receiving 73% of public bet over #Villanova #Wildcats. #MarchMadness #Elite8 #CBB #…",Sat Mar 26 22:23:47 +0000 2016
RT @Next718star: Lets 👊🏾 that 🎟! #kubball #finalfour Rock Chalk!,Sat Mar 26 22:23:50 +0000 2016
RT @KUHoops: Tonight marks our 21st #Elite8 appearance #kubball https://t.co/KY6zh5ERYV,Sat Mar 26 22:23:55 +0000 2016
RT @KUHoops: Plenty of #RockChalk chants as we head to the arena for shootaround https://t.co/jc3zBqYCbr,Sat Mar 26 22:23:58 +0000 2016
"RT @KUHoops: ""Just because you've achieved something, you don't rest on it. You want to build off of it."" #kubball https://t.co/q2zqw5DHlD",Sat Mar 26 22:24:05 +0000 2016
RT @KUHoops: Tonight marks our 21st #Elite8 appearance #kubball https://t.co/KY6zh5ERYV,Sat Mar 26 22:24:08 +0000 2016
10 hours later @novathenicest  @gsmith_14 @straccia24 Let's go! #NovaNation ✌🏻️ https://t.co/xuqiDLE4hZ,Sat Mar 26 22:24:16 +0000 2016
"RT @KUHoops: In a series that dates back to 1968, #kubball holds a 3-2 all-time advantage over Villanova https://t.co/AjNPWUqfBY",Sat Mar 26 22:24:18 +0000 2016
RT @wibwChrisLilly: 🐐🐐🐐 #kubball #eliteeight #MarchMadness https://t.co/Fq8LSg1pzj,Sat Mar 26 22:24:21 +0000 2016
RT @AndruwWiggens: Nerves starting to settle in. 3 hours till tip off #RockChalk,Sat Mar 26 22:24:26 +0000 2016
RT @gsmith_14: Nova in Louisville #LetsMarchNova @TrapsterItsSac @novathenicest @straccia24 https://t.co/yqqO7zWKUN,Sat Mar 26 22:24:28 +0000 2016
#NovaNation,Sat Mar 26 22:24:32 +0000 2016
RT @DRscrilla8: When you see Kansas on the other side of your Elite 8 matchup. RIP @NovaMBB. #RockChalk #MarchMadness https://t.co/DGVuJky8…,Sat Mar 26 22:24:38 +0000 2016
"RT @KUHoops: In a series that dates back to 1968, #kubball holds a 3-2 all-time advantage over Villanova https://t.co/AjNPWUqfBY",Sat Mar 26 22:24:41 +0000 2016
Wanna party like its 1985!! #LetsMarchNova #gocats,Sat Mar 26 22:24:50 +0000 2016
RT @NovaMBB: Game time in FIVE Hours! #LetsMarchNova #Elite8 https://t.co/OvqSvsGKzb,Sat Mar 26 22:25:02 +0000 2016
SageLinQ #USNews Black Hawk helicopters deployed for #Kansas wildfire  https://t.co/CgKdtJedJb https://t.co/MDRSWMu5rO,Sat Mar 26 22:25:02 +0000 2016
"RT @NovaAthletics: BIG TIME game tonight! 

#Elite8 #GoNova #LetsMarchNova 

Preview: https://t.co/09pjRvPnNj https://t.co/HrV4g2cfzl",Sat Mar 26 22:25:04 +0000 2016
@jbcrossover1 lets get it tonight #ShockJayhawk #NovaNation,Sat Mar 26 22:25:05 +0000 2016
"How #Nova &amp; #NovaNation haven't incorporated the #BayCityRollers song "" S-A-T-U-R-D-A-Y Night!"" into their chants is beyond me. VILLA, NOvA",Sat Mar 26 22:25:34 +0000 2016
Go #Nova tonight! #LetsMarchNova #FinalFour #MarchMadness,Sat Mar 26 22:25:34 +0000 2016
RT @NovaMBB: Happy Birthday @RyArch15! #TheArch #NovaMBB #Elite8 https://t.co/ownjZ5JJTS,Sat Mar 26 22:25:35 +0000 2016
RT @TarahScott: #Scottish #Romance #Boxset .99 #read #Free on #KU #fridayreads #steamyromance https://t.co/mM3iOTAYEQ https://t.co/V0b3f8Dl…,Sat Mar 26 22:25:37 +0000 2016
"RT @KUHoops: In a series that dates back to 1968, #kubball holds a 3-2 all-time advantage over Villanova https://t.co/AjNPWUqfBY",Sat Mar 26 22:25:41 +0000 2016
538 predicts #Carolina and #Kansas have an = chance of winning tournament... this could get good....... https://t.co/CrTD1HcdQb,Sat Mar 26 22:25:41 +0000 2016
RT @NovaMBB: At Max capacity here at The Brown Hotel for today's team send-off! #NovaNation #Elite8 https://t.co/HdD3djpKFT,Sat Mar 26 22:25:45 +0000 2016
Is Brannen Greene really hurt or is there something else? #kubball,Sat Mar 26 22:25:57 +0000 2016
Rooting for Oklahoma today. Would love to see a 3rd game even if Oregon might be the better matchup. Good for the league too. #kubball,Sat Mar 26 22:26:01 +0000 2016
RT @SportsRadioWIP: Kansas is going to have their hands full tonight #NovaNation | https://t.co/ECNkYqln1j,Sat Mar 26 22:26:16 +0000 2016
"RT @KUHoops: In a series that dates back to 1968, #kubball holds a 3-2 all-time advantage over Villanova https://t.co/AjNPWUqfBY",Sat Mar 26 22:26:16 +0000 2016
RT @NovaMBB: Happy Birthday @RyArch15! #TheArch #NovaMBB #Elite8 https://t.co/ownjZ5JJTS,Sat Mar 26 22:27:00 +0000 2016
RT @chase_donohoe: Really hoping the boys get it done tonight #RockChalk #FinalFour,Sat Mar 26 22:27:25 +0000 2016
#NovaNation,Sat Mar 26 22:27:55 +0000 2016
RT @NovaMBB: Happy Birthday @RyArch15! #TheArch #NovaMBB #Elite8 https://t.co/ownjZ5JJTS,Sat Mar 26 22:27:57 +0000 2016
☆★☆ JOB ALERT ☆★☆ #ITJob #Job #Kansas City - Developer - Java - Entertainment and Media… https://t.co/V8N3adcZqW ☜ view full details,Sat Mar 26 22:28:06 +0000 2016
"RT @KUHoops: In a series that dates back to 1968, #kubball holds a 3-2 all-time advantage over Villanova https://t.co/AjNPWUqfBY",Sat Mar 26 22:28:12 +0000 2016
RT @KWCHDani: The Kansas goat wins by a landslide! #kwch12 #kubball #MarchMadness https://t.co/DWTSX3DnhF,Sat Mar 26 22:28:17 +0000 2016
@MedcalfByESPN do you ever wonder why espn still employs you? #NCAA #MarchMadness #FinalFour #Elite8 #Oklahoma #Oregon #ESPN #unc #Kansas,Sat Mar 26 22:28:30 +0000 2016
☆ FEATURED JOB ☆  #ITJob #Job #Kansas City - Electrical Engineer (Controls) - Software… https://t.co/qAh8liA1fL ☜ view details #jobs,Sat Mar 26 22:28:34 +0000 2016
Catch me DJing at Quintons in Topeka following the ku game tonight #kubball #topeka #RockChalk,Sat Mar 26 22:28:40 +0000 2016
RT @NovaMBB: At Max capacity here at The Brown Hotel for today's team send-off! #NovaNation #Elite8 https://t.co/HdD3djpKFT,Sat Mar 26 22:29:04 +0000 2016
RT @TonicLawrence: Get down here before the game for $2 singles till 11!! #GameDay #Elite8 #RockChalk,Sat Mar 26 22:29:13 +0000 2016
RT @SportsWatch1: #Villanova #Wildcats vs #Kansas #Jayhawks #ncaab #Elite8 #betting Preview https://t.co/05Lh07WuZq #MarchMadness #CBB http…,Sat Mar 26 22:29:23 +0000 2016
plz KU beat Villanova #thanks #Elite8 #kubball #no1,Sat Mar 26 22:29:25 +0000 2016
