text,time
RT @KentuckyMBB: Let's keep the streak alive today and keep this train rolling. #MarchMadness #IUvsUK https://t.co/T4wEbhfmyq,Sat Mar 19 16:22:47 +0000 2016
Podcast: Indiana-Kentucky preview from two of the best @akmccarthy and @DarrellBird #iubb https://t.co/iPBfDxvpn1 via @247Sports,Sat Mar 19 16:22:47 +0000 2016
"RT @KentuckyMBB: Cal to end shootaround: ""Let's go. You guys are ready to ball."" #MarchMadness #IUvsUK https://t.co/FrYWA4lkFT",Sat Mar 19 16:22:50 +0000 2016
5 things to know as #UK - #Hoosiers forced to meet after four-year hiatus: https://t.co/XyaNNFm78p @Local12 https://t.co/9tqtYQ9A2n,Sat Mar 19 16:23:04 +0000 2016
RT @sarscholey: I truly believe that IU will come thru today 🙌🏽 #IUBB,Sat Mar 19 16:23:08 +0000 2016
RT @Raeannmoore: Game day!  Let's go Hoosiers  #iubb #beatkentucky ❤️🏀 https://t.co/FX9DtCDgvd,Sat Mar 19 16:23:08 +0000 2016
It's GAMEDAY #theBlueArrow #WeAreUK #BBN #Kentucky https://t.co/zbcDqfXgtz,Sat Mar 19 16:23:12 +0000 2016
#IUBB - Tom Crean https://t.co/D5EjhKOtT1,Sat Mar 19 16:23:16 +0000 2016
RT @jtatkinson666: The Geek Lords of Twitter speak. #CatsOfTwitter #kitten #cats #humour #humor #geeklordsoftwitter #cartoon #StarWars http…,Sat Mar 19 16:23:17 +0000 2016
"RT @KentuckyMBB: Cal to end shootaround: ""Let's go. You guys are ready to ball."" #MarchMadness #IUvsUK https://t.co/FrYWA4lkFT",Sat Mar 19 16:23:17 +0000 2016
Current mood😈💃🏼 #GAMEDAY #IUBB #BeatKentucky lets go dancin https://t.co/epouZjnVKK,Sat Mar 19 16:23:23 +0000 2016
RT @KentuckyMBB: Kentucky-Indiana in the NCAA Tournament? This ought to be fun. #MarchMadness #IUvsUK https://t.co/zOtKiUP3Rv,Sat Mar 19 16:23:24 +0000 2016
#ForIndiana https://t.co/eNhIo8vI5g,Sat Mar 19 16:23:27 +0000 2016
RT @KentuckyMBB: The game starts now with shootaround. Gotta get in the right frame of mind right now. #MarchMadness #IUvsUK https://t.co/K…,Sat Mar 19 16:23:32 +0000 2016
"RT @AssemblyCall: We will win tonight because:

1) Yogi &gt; Ulis
2) We will get 14+ second-chance points 
3) Our bench &gt; their bench 

#iubb",Sat Mar 19 16:23:38 +0000 2016
"RT @IndianaMBB: #BeatKentucky...

...#ForIndiana https://t.co/wtykq1qO8b",Sat Mar 19 16:23:51 +0000 2016
"RT @KentuckyMBB: Cal to end shootaround: ""Let's go. You guys are ready to ball."" #MarchMadness #IUvsUK https://t.co/FrYWA4lkFT",Sat Mar 19 16:23:58 +0000 2016
"RT @IndianaMBB: #BeatKentucky...

...#ForIndiana https://t.co/wtykq1qO8b",Sat Mar 19 16:23:58 +0000 2016
Working on the weekend. Ready for tonight's @IndianaMBB vs #Kentucky  game! #BeatKentucky #GoHoosiers 💪🏻🏀 #MarchMadness,Sat Mar 19 16:24:04 +0000 2016
"RT @KentuckyMBB: Cal to end shootaround: ""Let's go. You guys are ready to ball."" #MarchMadness #IUvsUK https://t.co/FrYWA4lkFT",Sat Mar 19 16:24:08 +0000 2016
"A Nice #Kitty Deserves A Nice Home
In #NYC
Midday Is A Nice Kitty
Give Him a Nice Home
#Adopt @ #NYCACC
#Cats https://t.co/fLbKlCvcBl",Sat Mar 19 16:24:08 +0000 2016
"Where are IU fans gathering in DesMoines?  #IUBB
 https://t.co/Yr2MxS2gu8",Sat Mar 19 16:24:12 +0000 2016
"UpPaw #Dogs #Cats : ASPCA : ANNOUNCEMENT! Due to overwhelming support, our adoption event … https://t.co/BPc4WlPp3q) https://t.co/Ef7wQ81TNL",Sat Mar 19 16:24:24 +0000 2016
RT @___caseyjones: Round of 32 game at 5:15. #Indiana vs. #Kentucky. Who wins? #MarchMadness,Sat Mar 19 16:24:25 +0000 2016
