text,time
Interesting Facts About Kansas https://t.co/W3OCZ7cUmm #Kansas #Travel https://t.co/Cwnv6aPmHh,Thu Mar 24 23:38:25 +0000 2016
#KU,Thu Mar 24 23:38:28 +0000 2016
"RT @wildfiretoday: County official in Barber Co, #Kansas: ""397,420 acres have burned over the last couple of days"" https://t.co/kiWqyCioGG …",Thu Mar 24 23:38:44 +0000 2016
"RT @SPORTalkKansas: RETWEET if you think #Kansas will advance. 

FAVORITE if you think #Maryland will advance 

#Kubball #RockChalk https:/…",Thu Mar 24 23:38:45 +0000 2016
Been the longest few days. #RockChalk tonight,Thu Mar 24 23:38:46 +0000 2016
RT @KUHoops: Devonte’ Graham leads #kubball with 51 steals and is second on the team in assists (137) and 3-point FGs made (70) https://t.c…,Thu Mar 24 23:38:52 +0000 2016
RT @KUHoops: Devonte’ Graham leads #kubball with 51 steals and is second on the team in assists (137) and 3-point FGs made (70) https://t.c…,Thu Mar 24 23:38:54 +0000 2016
"RT @KUHoops: BLOCK PARTY: With three huge blocks vs. UConn last week, Jamari Traylor now totals 125 career blocks #kubball https://t.co/f00…",Thu Mar 24 23:38:58 +0000 2016
RT @KUHoops: Devonte’ Graham leads #kubball with 51 steals and is second on the team in assists (137) and 3-point FGs made (70) https://t.c…,Thu Mar 24 23:39:02 +0000 2016
"My picks for tonight:

#Villanova
#Oklahoma 
#Kansas 
#Duke https://t.co/ekoJfWWyCd",Thu Mar 24 23:39:05 +0000 2016
"RT @SPORTalkKansas: RETWEET if you think #Kansas will advance. 

FAVORITE if you think #Maryland will advance 

#Kubball #RockChalk https:/…",Thu Mar 24 23:39:17 +0000 2016
"RT @mikeyoderljw: Nice welcome for Jayhawks #kubball, #ncaa, @kusports https://t.co/qprBavzwJl",Thu Mar 24 23:39:27 +0000 2016
"RT @SPORTalkKansas: RETWEET if you think #Kansas will advance. 

FAVORITE if you think #Maryland will advance 

#Kubball #RockChalk https:/…",Thu Mar 24 23:39:32 +0000 2016
Idk what I'm more anxious for: homemade chicken noodle soup or #kubball.,Thu Mar 24 23:39:36 +0000 2016
247 Sports' @jerrymeyer247 says that there are rumblings #1 2017 recruit Josh Jackson may commit tonight. #kubball,Thu Mar 24 23:39:40 +0000 2016
#Arrested Please Help! #Kansas #SchwabStrong Save this Family!  #NeedHelp #Meditating… https://t.co/sXOi9zl7V0,Thu Mar 24 23:39:43 +0000 2016
