text,time
MT @GUballboys: Game ball that sent #Zags to #Sweet16 is making its way back to #Spokane #NotDoneYet #GoZags https://t.co/II5dF7cc7C,Sun Mar 20 15:31:22 +0000 2016
RT @SFA_MBB: It's Gameday here in New York! SFA takes on Notre Dame at 2:40 ET on CBS. For Watch Party locations check FB. #AxeEm https://t…,Sun Mar 20 15:31:28 +0000 2016
@JTrotter_54 Honorary Alumnus today in Brooklyn! Go Lumberjacks! #MarchMadness #SFA #NCAATOURNAMENT #BeatND https://t.co/VXcesOEoG9,Sun Mar 20 15:31:36 +0000 2016
RT @JonGodeaux: LET'S GO JACKS IT'S GAMEDAY #AxeEm #MarchMadness,Sun Mar 20 15:31:39 +0000 2016
"Domingo de Ramos ♡
¡¡Bendito El que viene en el Nombre del Señor!!
#SFA https://t.co/NVhZ0ofaOb",Sun Mar 20 15:31:50 +0000 2016
"RT @NDmbb: GAMEDAY.

The Lumberjacks stand in our way of back-to-back Sweet 16's.

#NotDoneYet

🏀ND | SFU
📅Sun.
⏰2:40pm
📺CBS https://t.co/U…",Sun Mar 20 15:32:04 +0000 2016
RT @spokanehouse: MT @GUballboys: Game ball that sent #Zags to #Sweet16 is making its way back to #Spokane #NotDoneYet #GoZags https://t.co…,Sun Mar 20 15:32:33 +0000 2016
RT @SFA_MBB: Offer always stands @steveaustinBSR. We'd be happy to have you. #AxeEm #MarchMadness https://t.co/2Q194eJ0wo,Sun Mar 20 15:32:58 +0000 2016
RT @SFA_ZTA: It's game day! Good luck to our @SFA_MBB as they take on Notre Dame today! #AxeEm #MarchMadness 💜🏀,Sun Mar 20 15:33:38 +0000 2016
We are finally here !!! #ncaa #marchmadness #villanova #iowa #notredame #SFA @ Barclays Centre… https://t.co/FjhYxBCKPK,Sun Mar 20 15:33:41 +0000 2016
RT @NDmbb: #NotDoneYet https://t.co/JsYmT0zP30,Sun Mar 20 15:33:57 +0000 2016
RT @JonGodeaux: LET'S GO JACKS IT'S GAMEDAY #AxeEm #MarchMadness,Sun Mar 20 15:33:59 +0000 2016
"RT @NDmbb: GAMEDAY.

The Lumberjacks stand in our way of back-to-back Sweet 16's.

#NotDoneYet

🏀ND | SFU
📅Sun.
⏰2:40pm
📺CBS https://t.co/U…",Sun Mar 20 15:34:05 +0000 2016
RT @GoldenDomers1: GameDay! #NotDoneYet 🍀🏀,Sun Mar 20 15:34:16 +0000 2016
@TJamesNDI @EHansenNDI was hoping for Demetris Robertson #NotreDame,Sun Mar 20 15:35:04 +0000 2016
RT @GUballboys: Safety first! The game ball that sent the Zags to the Sweet Sixteen is making its way back to Spokane #NotDoneYet https://t…,Sun Mar 20 15:35:07 +0000 2016
RT @TomLoy247: Big-time 2018 OL Jamaree Salyer can already see himself at #NotreDame https://t.co/i7vSJMuplR VIP @jamareesalyer69 https://t…,Sun Mar 20 15:35:09 +0000 2016
RT @SFA_MBB: The man. The myth. The Lumberjack. #AxeEm #MarchMadness https://t.co/R2L0xFNjWe,Sun Mar 20 15:35:10 +0000 2016
