text,time
"This weekend, treat yourself to a tasty #Oklahoma beer at one of these great spots! https://t.co/P5EGsPeZxB https://t.co/xHCvl3fq22",Fri Mar 18 17:33:35 +0000 2016
"RT @SPORTalkOU: RT Oklahoma 

LIKE CSU Bakersfield

#Sooners #Roadrunners https://t.co/hlT5ZmuENw",Fri Mar 18 17:33:51 +0000 2016
"RT @SPORTalkOU: RT Oklahoma 

LIKE CSU Bakersfield

#Sooners #Roadrunners https://t.co/hlT5ZmuENw",Fri Mar 18 17:34:09 +0000 2016
"RT @SPORTalkOU: RT Oklahoma 

LIKE CSU Bakersfield

#Sooners #Roadrunners https://t.co/hlT5ZmuENw",Fri Mar 18 17:36:46 +0000 2016
#Texas #Dallas #Houston #Louisiana #Florida #California #LA #Oklahoma #Tulsa #OKC #Missouri #LosAngeles #Dallas https://t.co/3WNB3MQPP5,Fri Mar 18 17:38:32 +0000 2016
"RT @OU_MTennis: #Sooners Spring Breaking in Cali! #OU vs #12 USC and #14 Cal this weekend. 
PREVIEW: https://t.co/vl6oNryU3d https://t.co/e…",Fri Mar 18 17:39:26 +0000 2016
Here we go! #MarchMadness #OSUvsVCU #OUvsCBU #TAMUvsGB #UTvsUNI https://t.co/vIszY8wVKg,Fri Mar 18 17:39:55 +0000 2016
How many does Buddy drop today? #Sooners #MarchMadness,Fri Mar 18 17:40:46 +0000 2016
"RT @noahDFM: It's Lit, ready to watch Buddy and Oklahoma play today! #MarchMadness #Oklahoma #OklahomaSooners https://t.co/WQ1ozsL8s7",Fri Mar 18 17:41:25 +0000 2016
My hometown playing their 1st ever NCAA Tournament match v. Oklahoma. 💙👌🏻🏀💛 #MarchMadness #AllRunners @CSUB_MBB https://t.co/HpdnxHXuI4,Fri Mar 18 17:41:28 +0000 2016
#Oklahoma needs you!!! #drilling #earthquakes https://t.co/PptoeXGJpg,Fri Mar 18 17:41:41 +0000 2016
"RT @SPORTalkOU: RT Oklahoma 

LIKE CSU Bakersfield

#Sooners #Roadrunners https://t.co/hlT5ZmuENw",Fri Mar 18 17:41:59 +0000 2016
"RT @SPORTalkOU: RT Oklahoma 

LIKE CSU Bakersfield

#Sooners #Roadrunners https://t.co/hlT5ZmuENw",Fri Mar 18 17:42:10 +0000 2016
#Oklahoma #Thunder NEW Kevin Durant Oklahoma City Thunder #35 Replica Adidas Jersey Size XXL https://t.co/3Tqln1WL7a #NBA #Durant,Fri Mar 18 17:43:21 +0000 2016
"RT @OU_Baseball: #Sooners Open Four-Game Set at Bakersfield With 6-4 Win on Thursday.
Recap: https://t.co/yVGKfwJ5y8 https://t.co/fkP5dT8Dma",Fri Mar 18 17:44:35 +0000 2016
"This weekend, treat yourself to a tasty #Oklahoma beer at one of these great spots! https://t.co/P5EGsOXoG3 https://t.co/qyAptiWOwv",Fri Mar 18 17:45:18 +0000 2016
"RT @SPORTalkOU: RT Oklahoma 

LIKE CSU Bakersfield

#Sooners #Roadrunners https://t.co/hlT5ZmuENw",Fri Mar 18 17:45:30 +0000 2016
RT @OU_Alumni: OKC #Sooners: Stop by West in Bricktown TODAY before the big game for the official pre-game party! #takeNOTICE https://t.co/…,Fri Mar 18 17:46:24 +0000 2016
GOP #Oklahoma state lawmaker Kevin Calvery (#OKC) tried exempt politicians like him from prosecution 4 Corruption? https://t.co/DUXcsTCJFF,Fri Mar 18 17:46:35 +0000 2016
RT @MartinaFOX23: Give the ball to Buddy he's gonna get busy #Sooners https://t.co/xnCAuxGxFO,Fri Mar 18 17:47:24 +0000 2016
RT @MartinaFOX23: Give the ball to Buddy he's gonna get busy #Sooners https://t.co/xnCAuxGxFO,Fri Mar 18 17:47:54 +0000 2016
#JCoop #4barfriday @dame_lillard @4barfriday #Sooners https://t.co/pMyHvnCijK,Fri Mar 18 17:48:08 +0000 2016
"RT @OU_Football: DBs. #Wolves. The #Sooners secondary. More at ➡️ https://t.co/HbKiFJVilK
https://t.co/4PfQRRcKaF",Fri Mar 18 17:48:12 +0000 2016
"The #Sooners are dancing. Dance w/ https://t.co/nTg4qegCvg. No CC required, 30-day trial. https://t.co/bgs8JyjXfB https://t.co/x1OUC6Pn7T",Fri Mar 18 17:48:37 +0000 2016
Navigating #Oklahoma City #CPA Fees (Screencast) https://t.co/ezvtFiIu8N https://t.co/TbGYUgXFxQ,Fri Mar 18 17:49:01 +0000 2016
Navigating #Oklahoma City #CPA Fees (Screencast) https://t.co/r11cWlgj4R https://t.co/Ad8RrY6PMK,Fri Mar 18 17:49:02 +0000 2016
Navigating #Oklahoma City #CPA Fees (Screencast) https://t.co/UrLSnrys9z https://t.co/twBfZwAuGx,Fri Mar 18 17:49:03 +0000 2016
Navigating #Oklahoma City #CPA Fees (Screencast) https://t.co/NFdUNlYBJi https://t.co/O5LTLSI89c,Fri Mar 18 17:49:04 +0000 2016
Oklahoma Stood Up Against The Anti-LGBT 'Slate Of Hate' — And Won https://t.co/PPkfAknC0T #Oklahoma #LGBT #Equality #DiscriminationExists,Fri Mar 18 17:49:22 +0000 2016
"RT @kaitlyncarrolll: #MarchMadness 🏀🏀🏀 
#OregonState/VCU 
#OU/CSU-Bakersfield https://t.co/Vd2dpDqUT2",Fri Mar 18 17:49:39 +0000 2016
Happy birthday to our wonderful Lina Washington KGET who is bringing you excellent coverage of the #CSUB men's... https://t.co/UQ7M6nySQA,Fri Mar 18 17:49:39 +0000 2016
"RT @SPORTalkOU: RT Oklahoma 

LIKE CSU Bakersfield

#Sooners #Roadrunners https://t.co/hlT5ZmuENw",Fri Mar 18 17:50:27 +0000 2016
"SamBradford &amp; #EmmaLavy Engaged.

#GreatNews! Wishing 'em nothing but the best..&amp; future #OU QBs 👶🏼

#BoomerSooner 

https://t.co/nsnnGJyjaY",Fri Mar 18 17:50:53 +0000 2016
"RT @SPORTalkOU: RT Oklahoma 

LIKE CSU Bakersfield

#Sooners #Roadrunners https://t.co/hlT5ZmuENw",Fri Mar 18 17:50:56 +0000 2016
"RT @Shaughn_A: SamBradford &amp; #EmmaLavy Engaged.

#GreatNews! Wishing 'em nothing but the best..&amp; future #OU QBs 👶🏼

#BoomerSooner 

https:/…",Fri Mar 18 17:51:32 +0000 2016
"RT @CSUB_MBB: Time to fuel up! Runners ready!
#AllRunners #CSUBelieve 👌 https://t.co/2I2zCL2OUi",Fri Mar 18 17:52:05 +0000 2016
RT @CSUBAthletics: #CSUBwr:174-Hammond will face Meyer of @Hawks_Wrestling in the wrestlebacks later today. #allrunners #WrestleNYC,Fri Mar 18 17:52:33 +0000 2016
[Oklahoma’s Own] The Latest: Villanova finds range and opens up lead https://t.co/zfBK0OhBAC #Sooners,Fri Mar 18 17:53:04 +0000 2016
Idiot #McAlester #Oklahoma Judge lets ChildMolestor cop go but puts #Dad in Jail for 1 year 4 Swearing https://t.co/pt9JH9aKrk #OKC #Tulsa,Fri Mar 18 17:54:17 +0000 2016
https://t.co/p5J84OA62v We need to go to #Oklahoma and have some burgers at #papawsHouse . Who wants to join?,Fri Mar 18 17:54:26 +0000 2016
#thunder #Oklahoma NBA Rumors: Teams Kevin Durant Has Been Linked To  Click&gt; https://t.co/nfztPi4TSz,Fri Mar 18 17:54:34 +0000 2016
"#thunder #Oklahoma Rams thrilled to play where Durant, Westbrook roam  Click&gt; https://t.co/2gBZrXx6HI",Fri Mar 18 17:54:34 +0000 2016
#CollegeFootball #OKlahoma #Sooners #BoomerSooner https://t.co/UO5f2U88l2,Fri Mar 18 17:55:08 +0000 2016
#BrokenArrow #Oklahoma will no longer be illegally promoting #Christianity on #Tower https://t.co/WzgwqgG3nX #Tulsa https://t.co/oeUPm8qNUB,Fri Mar 18 17:56:02 +0000 2016
RT @MattPrepHoops: How many does Buddy drop today? #Sooners #MarchMadness,Fri Mar 18 17:56:16 +0000 2016
"RT @SPORTalkOU: RT Oklahoma 

LIKE CSU Bakersfield

#Sooners #Roadrunners https://t.co/hlT5ZmuENw",Fri Mar 18 17:57:28 +0000 2016
RT @KernSchoolsCU: Kern Schools is painted BLUE and GOLD today! What are you doing to show your Runner Pride? #AllRunners https://t.co/9YGm…,Fri Mar 18 17:57:35 +0000 2016
Interesting Facts About Oklahoma https://t.co/ooBOa92fOi #Oklahoma #Travel https://t.co/uvQk0dnNMp,Fri Mar 18 17:57:39 +0000 2016
#Oklahoma https://t.co/WFAYBi9upN THE PEAKE LIVE https://t.co/umTyRBppk5,Fri Mar 18 17:58:04 +0000 2016
RT @MartinaFOX23: Give the ball to Buddy he's gonna get busy #Sooners https://t.co/xnCAuxGxFO,Fri Mar 18 17:58:24 +0000 2016
Injuries reported after balcony collapse in #Oklahoma City https://t.co/DjqREgEW1Z,Fri Mar 18 17:59:09 +0000 2016
"RT @OU_Track: Today is the day for action. The #Sooners are ready.
We work where we #SpringBreak
Tempe-4 p.m. (CT) #StayTuned ⭕️🙌👟 https://…",Fri Mar 18 18:00:01 +0000 2016
"Free Dating in #Oklahoma, where you can find tons of ones, handfuls of sevens, and even a few solid dimes! https://t.co/K5AAIC1E8g",Fri Mar 18 18:00:23 +0000 2016
Meanwhile ... We got roadrunner basketball today . This one is for #thefield #CSUB #marchmadness #future #doitforthefield,Fri Mar 18 18:00:32 +0000 2016
"Photo gallery: NCAA tournament in OKC begins with practice, autographs https://t.co/hPRB6qTPQN #Sooners https://t.co/sKJRgjhxup",Fri Mar 18 18:00:34 +0000 2016
"Happy Friday! OKC regional action is under way. VCU up on Oregon State, 23-20. #Sooners tip about 2 1/2 hours away.",Fri Mar 18 18:00:49 +0000 2016
Injuries reported after balcony collapse in #Oklahoma City https://t.co/cv6xSGS8UQ,Fri Mar 18 18:01:30 +0000 2016
"RT @OU_Wrestling: All six #Sooners are still alive and three are headed to the quarterfinals at NCAAs.

RECAP: https://t.co/BZcILDWcMG http…",Fri Mar 18 18:01:45 +0000 2016
[News OK] THE PEAKE LIVE https://t.co/nFS7inynnp #Sooners,Fri Mar 18 18:02:06 +0000 2016
[News OK] THE PEAKE LIVE https://t.co/X8kHtzvb5K #Sooners,Fri Mar 18 18:02:14 +0000 2016
"Ames has the most prolific oil wells in the state, all thanks to a very big meteor.https://t.co/JeimEtUGFK #Oklahoma https://t.co/K959m8CTB9",Fri Mar 18 18:02:33 +0000 2016
"#thunder #Oklahoma Rams thrilled to play where Durant, Westbrook roam  Click&gt; https://t.co/nfztPi4TSz",Fri Mar 18 18:03:31 +0000 2016
"RT @SPORTalkOU: RT Oklahoma 

LIKE CSU Bakersfield

#Sooners #Roadrunners https://t.co/hlT5ZmuENw",Fri Mar 18 18:03:49 +0000 2016
"Pregame warmup: This is the 2nd overall meeting between OU and CSBU. The #Sooners downed the Roadrunners, 100-75, on Dec. 19, 1978 at home.",Fri Mar 18 18:05:14 +0000 2016
"RT @OklahomaMag: Ames has the most prolific oil wells in the state, all thanks to a very big meteor.https://t.co/JeimEtUGFK #Oklahoma https…",Fri Mar 18 18:05:48 +0000 2016
RT @TravelOK: Eat well on your next #Oklahoma camping trip with these simple recipes! https://t.co/LmpSZhISEF https://t.co/OhT8cvB2ie,Fri Mar 18 18:06:30 +0000 2016
RT @OU_Softball: It's Gameday! #Sooners face DePaul &amp; host-Cal State Fullerton today at the Easton Tourney: https://t.co/sX4sa5h3eY https:/…,Fri Mar 18 18:06:34 +0000 2016
"RT @OU_MBBall: Pregame warmup: This is the 2nd overall meeting between OU and CSBU. The #Sooners downed the Roadrunners, 100-75, on Dec. 19…",Fri Mar 18 18:06:48 +0000 2016
RT @TravelOK: Eat well on your next #Oklahoma camping trip with these simple recipes! https://t.co/LmpSZhISEF https://t.co/OhT8cvB2ie,Fri Mar 18 18:07:09 +0000 2016
"RT @SPORTalkOU: RT Oklahoma 

LIKE CSU Bakersfield

#Sooners #Roadrunners https://t.co/hlT5ZmuENw",Fri Mar 18 18:07:56 +0000 2016
#Oklahoma #culture #criminaljusticereform #@bradhenry #northTulsa #novoice https://t.co/MvtpS0w8d0,Fri Mar 18 18:08:16 +0000 2016
"WHO YOU GOT???
#MarchMadness #KGETinOKC #AllRunners #BoomerSooner",Fri Mar 18 18:08:22 +0000 2016
"The @247Sports No. 1 recruit in Kansas in DE Trevor Kent talks yesterday's #Northwestern visit, #Oklahoma is next: https://t.co/fFIBjD3zDR",Fri Mar 18 18:08:26 +0000 2016
RT @ouhoops: Dante Buford's bus rap. #Sooners https://t.co/AH1ewg49LC,Fri Mar 18 18:08:46 +0000 2016
RT @OU_MBBall: Flip to @CBS now! Network will air behind the scenes look with the #Sooners next!,Fri Mar 18 18:08:57 +0000 2016
"RT @LWashingtonKGET: WHO YOU GOT???
#MarchMadness #KGETinOKC #AllRunners #BoomerSooner",Fri Mar 18 18:09:04 +0000 2016
#Sooners enter tourney after defeating a school-record 8 top 25 opponents during the season. This is OU's 9th time being a top-2 NCAA seed.,Fri Mar 18 18:09:27 +0000 2016
RT @CodyTabi: @Bumpaay tell them docs u got 2 b straight by 3 to watch dem #Sooners,Fri Mar 18 18:09:31 +0000 2016
RT @OU_MBBall: #Sooners enter tourney after defeating a school-record 8 top 25 opponents during the season. This is OU's 9th time being a t…,Fri Mar 18 18:09:43 +0000 2016
"RT @OklahomaMag: Ames has the most prolific oil wells in the state, all thanks to a very big meteor.https://t.co/JeimEtUGFK #Oklahoma https…",Fri Mar 18 18:09:52 +0000 2016
"RT @LWashingtonKGET: WHO YOU GOT???
#MarchMadness #KGETinOKC #AllRunners #BoomerSooner",Fri Mar 18 18:10:03 +0000 2016
RT @OU_MBBall: #Sooners enter tourney after defeating a school-record 8 top 25 opponents during the season. This is OU's 9th time being a t…,Fri Mar 18 18:10:02 +0000 2016
"RT @noahDFM: It's Lit, ready to watch Buddy and Oklahoma play today! #MarchMadness #Oklahoma #OklahomaSooners https://t.co/WQ1ozsL8s7",Fri Mar 18 18:10:09 +0000 2016
We out here! Let's go VCU and OU #MarchMadness #Sooners #VCUrams https://t.co/HE8Frzg7Eh,Fri Mar 18 18:10:13 +0000 2016
RT @OU_MBBall: #Sooners enter tourney after defeating a school-record 8 top 25 opponents during the season. This is OU's 9th time being a t…,Fri Mar 18 18:10:20 +0000 2016
RT @OU_MBBall: #Sooners enter tourney after defeating a school-record 8 top 25 opponents during the season. This is OU's 9th time being a t…,Fri Mar 18 18:10:35 +0000 2016
RT @OU_MBBall: #Sooners enter tourney after defeating a school-record 8 top 25 opponents during the season. This is OU's 9th time being a t…,Fri Mar 18 18:11:07 +0000 2016
"RT @OU_MBBall: Captivating Our Nation 🇺🇸
Carrying His 🇧🇸
Buddy For Player Of The Year
#BuddyBuckets
#MarchMadness
https://t.co/3oW3lRbiHi",Fri Mar 18 18:11:28 +0000 2016
Thank you @MEPOSU for the #Oklahoma history lesson. Love it. #GoBeavs #BoomerSooner,Fri Mar 18 18:11:35 +0000 2016
"RT @LWashingtonKGET: WHO YOU GOT???
#MarchMadness #KGETinOKC #AllRunners #BoomerSooner",Fri Mar 18 18:11:40 +0000 2016
#OuachitaMountains #OuachitaNationalForest #BrokenBowLake #Oklahoma #Landscape #LandscapePhotography #NoFilter https://t.co/LJT8pfVe9Y,Fri Mar 18 18:11:41 +0000 2016
"#Sooners supporting #Sooners

Thanks for celebrating with us earlier this season, now it is your turn @OU_MBBall https://t.co/I0NOwwYugh",Fri Mar 18 18:11:53 +0000 2016
RT @MartinaFOX23: Give the ball to Buddy he's gonna get busy #Sooners https://t.co/xnCAuxGxFO,Fri Mar 18 18:12:12 +0000 2016
"RT @OU_Football: #Sooners supporting #Sooners

Thanks for celebrating with us earlier this season, now it is your turn @OU_MBBall https://t…",Fri Mar 18 18:12:31 +0000 2016
"RT @OU_Football: #Sooners supporting #Sooners

Thanks for celebrating with us earlier this season, now it is your turn @OU_MBBall https://t…",Fri Mar 18 18:12:42 +0000 2016
