text,time
RT @HCrossMBB: Tonight is our time. #RiseTogether https://t.co/Ltx7Uii0Il,Fri Mar 18 17:33:41 +0000 2016
Let's go #VCU #Havoc. Beat #OregonState!! #MarchMadness,Fri Mar 18 17:33:53 +0000 2016
"RT @Patriot_MM: #Brussels raids: #ParisAttacks) suspect Abdeslam 'arrested' - https://t.co/3lEBJAqO8x

Didn't the #Crusaders ""hang, draw &amp; …",Fri Mar 18 17:33:57 +0000 2016
RT @DylanJDarling: #Oregon collects three times expected amount of recreational #marijuana taxes in first month https://t.co/jccaE78wJY @OR…,Fri Mar 18 17:34:09 +0000 2016
"Makai Mason on #Yale, Malachi Richardson on #Cuse, Malachai Alexander on #HolyCross. I've only seen these names in Lancaster. #MarchMadness",Fri Mar 18 17:35:27 +0000 2016
RT @GoDucks: Here is @TheOregonDuck featured on @instagram https://t.co/eENuPYsw7I #GoDucks,Fri Mar 18 17:35:30 +0000 2016
none of kids on #OregonState was alive last time they played in #MarchMadness back in 90,Fri Mar 18 17:35:55 +0000 2016
#GameDay #GoDucks,Fri Mar 18 17:36:36 +0000 2016
"#Oregon: Oregon State Beavers vs. Central Arkansas Bears at Goss Stadium At Coleman Field - Apr  08
► Ticket Info: https://t.co/YkLIUyKHeH",Fri Mar 18 17:37:07 +0000 2016
"RT @Patriot_MM: #Brussels raids: #ParisAttacks) suspect Abdeslam 'arrested' - https://t.co/3lEBJAqO8x

Didn't the #Crusaders ""hang, draw &amp; …",Fri Mar 18 17:37:11 +0000 2016
RT @OregonPitCrew: GET UP. IT'S GAMEDAY! #GoDucks https://t.co/L7EYFGNwiC,Fri Mar 18 17:38:16 +0000 2016
Got #OregonState live at +7.5,Fri Mar 18 17:38:50 +0000 2016
@OregonMBB will forever be my #1! But so excited that @OregonStateMBB is reppin' our great state as well! #GoDucks #GoBeavs #MarchMadness,Fri Mar 18 17:39:06 +0000 2016
"RT @Patriot_MM: #Brussels raids: #ParisAttacks) suspect Abdeslam 'arrested' - https://t.co/3lEBJAqO8x

Didn't the #Crusaders ""hang, draw &amp; …",Fri Mar 18 17:39:09 +0000 2016
#DucksFam #Ducks Anaheim Mighty Ducks Guy Hebert Wild Wing Jersey XXL:  $225.00End Date: Friday... https://t.co/NdooqTR20D #NHLDucks #NHL,Fri Mar 18 17:39:33 +0000 2016
"RT @THEMMEXCHANGE: #Oregon just made $3.48 million in marijuana tax revenue 

https://t.co/bZWEJhiBYj  #marijuana  #cannabis #MME #OR https…",Fri Mar 18 17:39:33 +0000 2016
RT @OregonPitCrew: GET UP. IT'S GAMEDAY! #GoDucks https://t.co/L7EYFGNwiC,Fri Mar 18 17:39:35 +0000 2016
RT @GoDucks: It's here. #GoDucks #MarchMadness https://t.co/VfVQjHv78o,Fri Mar 18 17:39:50 +0000 2016
With the orange and crimson in the crowd looks like getting ready for #Bedlam but #OregonState not #OkState https://t.co/5zcXZEAWr2,Fri Mar 18 17:39:50 +0000 2016
Tonite at 7:27PM on #WEEI 1440AM in Worcester &amp; streaming here: https://t.co/tmDXmtmCNy it's  #HolyCross vs #Oregon in the NCAA tournament!,Fri Mar 18 17:39:51 +0000 2016
RT @wallyball: Coming up at 1 watch Inside #MarchMadness on TNT w me @matt_winer @SethDavisHoops Ron Hunter @jaimemaggio!! #OregonStatevsVC…,Fri Mar 18 17:39:58 +0000 2016
Swing and a miss for Bill Simmons' attempted #MarchMadness troll job of #Oregon. https://t.co/QSRCW5Wazk https://t.co/v7KKNOgwL1,Fri Mar 18 17:40:52 +0000 2016
RT @jaimemaggio: #OregonSt's Tres Tinkle foot inj will force him to watch from sidelines as Beavers face #VCU in OKC @MarchMadnessTV https:…,Fri Mar 18 17:40:56 +0000 2016
