text,time
RT @OU_MBBall: Buddy! Wow! Fallaway 3 for a 10-5 #Sooners lead. Now Ducks turn it over for second straight time. 17:00,Sat Mar 26 22:15:01 +0000 2016
WeedFeed : #Oregon Adults Claim Highest #Cannabis Consumption Rate in the #UnitedStates - … https://t.co/2ozzUsoRpq) https://t.co/jxzwCfzief,Sat Mar 26 22:15:01 +0000 2016
RT @WavyNick: This game might finish in the hundreds #OregonvsOklahoma #Elite8,Sat Mar 26 22:15:02 +0000 2016
RT @AutzenStudents: RT if #GoDucks &gt; #BoomerSooner.,Sat Mar 26 22:15:03 +0000 2016
RT @DeanBlevins: #Sooners scored every possession until 10-5 at 16:40. @NEWS9,Sat Mar 26 22:15:05 +0000 2016
"I'm here for the Buddy Show. So fun!

#Sooners #Elite8 #MarchMadness",Sat Mar 26 22:15:07 +0000 2016
#BuddyBuckets,Sat Mar 26 22:15:11 +0000 2016
High scoring game so far. This one is going to be fun! #Elite8 #Sooners #Ducks #NCAATournament https://t.co/43sPVdtQDz,Sat Mar 26 22:15:10 +0000 2016
Buddy to the world ....#Oklahoma,Sat Mar 26 22:15:12 +0000 2016
Buddy is the best player in college basketball #Sooners,Sat Mar 26 22:15:13 +0000 2016
#BuddyHield you are INSANE!!! what a stud! #Sooners #Elite8 #MarchMadness,Sat Mar 26 22:15:13 +0000 2016
RT @AutzenStudents: RT if #GoDucks &gt; #BoomerSooner.,Sat Mar 26 22:15:15 +0000 2016
"Oregon - 5 Out Zone Offense - FastModel Sports https://t.co/oVGndvOiqI by @CoachKosel

#Elite8 #GoDucks #XsOs https://t.co/oh5PvE2IrM",Sat Mar 26 22:15:15 +0000 2016
Let's go Sooners!  #BuddyBuckets #MarchMadness,Sat Mar 26 22:15:16 +0000 2016
RT @OregonMBB: The Ducks and Sooners are underway in the Elite Eight! #GoDucks,Sat Mar 26 22:15:17 +0000 2016
Let's go Ducks!! #GoDucks,Sat Mar 26 22:15:18 +0000 2016
RT @OU_MBBall: Buddy! Wow! Fallaway 3 for a 10-5 #Sooners lead. Now Ducks turn it over for second straight time. 17:00,Sat Mar 26 22:15:20 +0000 2016
Buddy Hield... Is just too much #Sooners,Sat Mar 26 22:15:20 +0000 2016
🏀💜 Pretty sweet hearing my former @Fox8New-sy @ALaForce talk about the #kstate connection in this #OU-#Oregon game. #Elite8,Sat Mar 26 22:15:20 +0000 2016
RT @GoDucks: Get the brooms out because @OregonSB just swept Stanford at #TheJane #WinDucksWin #GoDucks https://t.co/FfxsL1nKG4,Sat Mar 26 22:15:21 +0000 2016
My girl @AHausBoss reppin' #Ducks with me! https://t.co/FCLEc0B3mQ,Sat Mar 26 22:15:21 +0000 2016
The boys are looking good in crimson! #Elite8 #Sooners,Sat Mar 26 22:15:22 +0000 2016
RT @SwooshMcDuck: The Road To The Final Four #GoDucks https://t.co/S42E8INBBw,Sat Mar 26 22:15:23 +0000 2016
"Let's go, #Oregon! Represent the #Pac12! #OUvsUO",Sat Mar 26 22:15:24 +0000 2016
"Let's go, Buddy! #Sooners 🏀🏀",Sat Mar 26 22:15:25 +0000 2016
Ok boys @OregonMBB settle down. This is big boy basketball. #GoDucks #MarchMadness,Sat Mar 26 22:15:25 +0000 2016
Who else is watching the Buddy show? #Elite8 #OU #NCAAtournament,Sat Mar 26 22:15:27 +0000 2016
RT @OU_MBBall: Last instructions for the #Sooners from @LonKruger https://t.co/HocPUatE45,Sat Mar 26 22:15:27 +0000 2016
RT @_73era: I got Oklahoma🏀 #Sooners,Sat Mar 26 22:15:29 +0000 2016
"RT @OU_MBBall: HERE. WE. GO.

Underway in Anaheim! Spangler wins the tip for #Sooners. #Elite8",Sat Mar 26 22:15:29 +0000 2016
Que pintaza tiene Buddy Hield #oregon #Oklahoma #Elite8 #MarchMadness,Sat Mar 26 22:15:29 +0000 2016
RT @OregonMBB: The Ducks and Sooners are underway in the Elite Eight! #GoDucks,Sat Mar 26 22:15:29 +0000 2016
Beat the Ducks!!! #Sooners #Elite8 #BuddyBuckets,Sat Mar 26 22:15:30 +0000 2016
RT @GoDucks: LIVE on #Periscope: #GoDucks starters for the #Elite8 game against Oklahoma. #MarchMadness https://t.co/02oWK09GKm,Sat Mar 26 22:15:31 +0000 2016
#OU #BoomerSooner,Sat Mar 26 22:15:32 +0000 2016
#GoDucks 💚💛💚💛💚 https://t.co/zpH4c6gNjA,Sat Mar 26 22:15:34 +0000 2016
Quite frankly I am too nervous to tweet. #Sooners #Elite8,Sat Mar 26 22:15:34 +0000 2016
Let's go Sooners🏀!!!! #BuddyBuckets #BeatTheDucks,Sat Mar 26 22:15:36 +0000 2016
