text,time
"RT @VCU_Hoops: Time for March Madness, folks. #LetsGoVCU https://t.co/r7j5qXJ0k9",Fri Mar 18 17:33:29 +0000 2016
RT @VCUathletics: Game. On. #LetsGoVCU,Fri Mar 18 17:33:31 +0000 2016
Vegas Wiseguys Friday 2016 NCAA Tourney Heavy Action Play on OREGON STATE+4 1/2...(10:33a)PST...#Beavers...#MarchMadness,Fri Mar 18 17:33:31 +0000 2016
Let's go Beavs!!! @OregonStateMBB!!! #GoBeavs #MarchMadness #BeatVCU,Fri Mar 18 17:33:33 +0000 2016
LET'S GO #VCU #GORAMS,Fri Mar 18 17:33:34 +0000 2016
RT @VCURamNation: Almost tip time in OKC. #LetsGoVCU https://t.co/Vel32eiQCc,Fri Mar 18 17:33:38 +0000 2016
#LetsGoVCU 🐑🐑🐑,Fri Mar 18 17:33:43 +0000 2016
"It’s early, but I think JeQuan Lewis is going to be a difference maker. He has a 3 and some tremendous work in transition. #LetsGoVCU",Fri Mar 18 17:33:43 +0000 2016
Lets go #VCU!,Fri Mar 18 17:33:44 +0000 2016
"RT @VCUathletics: How @VCU_Hoops player Korey Billbury feels about playing 1st NCAA tournament game in his home state...

#LetsGoVCU https:…",Fri Mar 18 17:33:44 +0000 2016
Lewis. EARLY. #LetsGoVCU,Fri Mar 18 17:33:46 +0000 2016
Let's go #VCU #Havoc. Beat #OregonState!! #MarchMadness,Fri Mar 18 17:33:53 +0000 2016
RT @VCUathletics: Game. On. #LetsGoVCU,Fri Mar 18 17:33:54 +0000 2016
"RT @VCUathletics: How @VCU_Hoops player Korey Billbury feels about playing 1st NCAA tournament game in his home state...

#LetsGoVCU https:…",Fri Mar 18 17:34:01 +0000 2016
"Remember the OSU team led by Eric Knox oh and that Payton kid in 90, amazing backcourt.  Rooting for them today #GoBeavs",Fri Mar 18 17:34:04 +0000 2016
RT @VCU_Hoops: Lewis! And we're off and running. #LetsGoVCU,Fri Mar 18 17:34:05 +0000 2016
"RT @VCU: Starting strong!
#LetsGoVCU",Fri Mar 18 17:34:06 +0000 2016
"RT @VCU: Starting strong!
#LetsGoVCU",Fri Mar 18 17:34:07 +0000 2016
RT @VCU: The road starts here! #LetsGoVCU,Fri Mar 18 17:34:10 +0000 2016
"RT @VCU: Starting strong!
#LetsGoVCU",Fri Mar 18 17:34:11 +0000 2016
RT @OregonStateMBB: #GoBeavs https://t.co/h0joStuS8a,Fri Mar 18 17:34:13 +0000 2016
"RT @MarkYlen: Stephen Thompson II family Victoria,2, Oscar Meza III, Dora Tovar, Oscar Meza II and Valentina  Meza. #GoBeavs https://t.co/O…",Fri Mar 18 17:34:16 +0000 2016
RT @LARamsCheer: Former #Rams cheerleader &amp; L.A. actress Amy Pennell spoke on the @heidiandfrank Show @955KLOS this morning! https://t.co/U…,Fri Mar 18 17:35:27 +0000 2016
And we are underway. Let the Big Dance begin! #GoBeavs #MarchMadness,Fri Mar 18 17:35:32 +0000 2016
"RT @VCU: Starting strong!
#LetsGoVCU",Fri Mar 18 17:35:39 +0000 2016
VCU is busting out the pressure. I like it. Beavers’ bench is shorter today and you don’t want their shooters settling in. #LetsGoVCU,Fri Mar 18 17:35:39 +0000 2016
I'm going to tell my kids some day I saw Gary Payton play in-person! #GoBeavs,Fri Mar 18 17:35:44 +0000 2016
"RT @VCU: Starting strong!
#LetsGoVCU",Fri Mar 18 17:35:54 +0000 2016
none of kids on #OregonState was alive last time they played in #MarchMadness back in 90,Fri Mar 18 17:35:55 +0000 2016
@m#VCU #MarchMadness   @VCU_Hoops https://t.co/WM8vbNqR6L,Fri Mar 18 17:35:57 +0000 2016
"RT @VCU: Starting strong!
#LetsGoVCU",Fri Mar 18 17:36:01 +0000 2016
RT @VCU_Hoops: Lewis! And we're off and running. #LetsGoVCU,Fri Mar 18 17:36:02 +0000 2016
RT @MegJinsunmi: LET'S GO #VCU #GORAMS,Fri Mar 18 17:36:03 +0000 2016
Good start for VCU including a JeQuan 3 Ball and Mo going inside. 5-2 Rams. #LetsGoVCU,Fri Mar 18 17:36:13 +0000 2016
RT @CainMcCoy: #LetsGoVCU,Fri Mar 18 17:36:14 +0000 2016
RT @Judaholla: Let's Go #VCU,Fri Mar 18 17:36:17 +0000 2016
@OregonStateMBB @OregonStateWBB #GoBeavs https://t.co/0G27BbHOyF,Fri Mar 18 17:36:25 +0000 2016
