text,time
"Macy's Retail #HR #Job: VP, Health &amp; Well-being (#Cincinnati, OH) https://t.co/jQtP8d5mgF #Jobs #Hiring #CareerArc",Fri Mar 18 17:35:34 +0000 2016
"With last night's win over the Nuggets, the #Hawks have moved into the 3rd spot of the Eastern Conference standings https://t.co/9vBgassD3I",Fri Mar 18 17:35:41 +0000 2016
"Can you recommend anyone for this #Retail #job? https://t.co/DsVdMqZBFc #Cincinnati, OH #Hiring #CareerArc",Fri Mar 18 17:35:45 +0000 2016
Support this team #Cincinnati !!!!! https://t.co/QmLi4k59JN,Fri Mar 18 17:35:49 +0000 2016
"Can you recommend anyone for this #job? Operations and Implementation Liaison - https://t.co/NakRuQwmty #Cincinnati, OH #Purchasing #Hiring",Fri Mar 18 17:36:07 +0000 2016
#Cincinnati #Reds Cincinnati Reds Travel Coffee Tumbler https://t.co/EBwzvTlHYp #MLB #Baseball,Fri Mar 18 17:36:39 +0000 2016
RT @BeforeFamePics: Jameer Nelson and Delonte West (#StJosephs) #MarchMadness https://t.co/frwajPklBo,Fri Mar 18 17:36:51 +0000 2016
"Want to work in #Cincinnati, Ohio? View our latest opening: https://t.co/4Ix84UZ55r #Art #Job #Jobs #Hiring https://t.co/FngpzWHiXh",Fri Mar 18 17:36:52 +0000 2016
RT @pdxwinterhawks: Key contest vs. @chiefshockey for your #Hawks tonight - a win would clinch seventh straight playoff spot &amp; guarantee th…,Fri Mar 18 17:37:45 +0000 2016
"Associate Director, Quality - Cincinnati, OH, 45201, USA #careers #Cincinnati pls RT: 1.Responsible for the… https://t.co/JQOZBvICkv",Fri Mar 18 17:38:12 +0000 2016
RT @BeforeFamePics: Jameer Nelson and Delonte West (#StJosephs) #MarchMadness https://t.co/frwajPklBo,Fri Mar 18 17:38:23 +0000 2016
#USHL: #Hawks Rally to Remarkable Win @USHL https://t.co/ISk3Gx6Tla,Fri Mar 18 17:38:39 +0000 2016
"❤#NBA #AtlantaHawks Atlanta Hawks 4.25"" X 2"" NBA Team Name Patch #Hawks #Sports https://t.co/gXfG3PMsJM",Fri Mar 18 17:39:06 +0000 2016
RT @pdxwinterhawks: Key contest vs. @chiefshockey for your #Hawks tonight - a win would clinch seventh straight playoff spot &amp; guarantee th…,Fri Mar 18 17:41:01 +0000 2016
RT @pdxwinterhawks: Game Day! The #Hawks host @chiefshockey at 7 pm in @ModaCenter in @HRBlock Dash For Cash! https://t.co/2KBUPXEl8X https…,Fri Mar 18 17:41:20 +0000 2016
"@TheRakesEnd  We can't wait to play at Rake's End, check us out #Cincinnati! #ohio #ohigo https://t.co/WLJ4yEgTkN",Fri Mar 18 17:41:33 +0000 2016
"Scientist - Biologics - Cincinnati, OH, 45201, USA #jobs #Cincinnati pls RT https://t.co/KD74xXFBkb",Fri Mar 18 17:41:40 +0000 2016
"Can you recommend anyone for this #job? Industrial Sewing - https://t.co/SfpT50NfCu #Cincinnati, OH #SkilledTrade #Hiring",Fri Mar 18 17:41:51 +0000 2016
@JoeGiglioSports Let's go SJU #Hawks #ClassOf02,Fri Mar 18 17:42:05 +0000 2016
"Lowe's Stores: Assembler Store Seasonal Employee (#Cincinnati, OH) https://t.co/CkAe5dqRCX #CustomerService #Job #Jobs #Hiring",Fri Mar 18 17:42:17 +0000 2016
"RT @atlsportsscoop: With last night's win over the Nuggets, the #Hawks have moved into the 3rd spot of the Eastern Conference standings htt…",Fri Mar 18 17:42:20 +0000 2016
@Reds @Corky_Miller I love Corky!   #redsnation #Reds #Cincinnati,Fri Mar 18 17:42:34 +0000 2016
"Director, Validation - Cincinnati, OH, 45201, USA #jobs #Cincinnati pls RT https://t.co/FzdzorbXpD",Fri Mar 18 17:42:36 +0000 2016
