text,time
LET'S GO #Sooners!! #RoadToHouston #MarchMadness #Sweet16,Thu Mar 24 23:38:35 +0000 2016
RT @AggieMensHoops: The @HondaCenter is turning maroon 👍 #Sweet16 #12thMan https://t.co/apSSxnBwgQ,Thu Mar 24 23:38:37 +0000 2016
"RT @AggieMensHoops: Final stretch before game time, tune in at 6:37 on TBS #12thMan #AggieHoops #Sweet16 https://t.co/PVeu85njvd",Thu Mar 24 23:38:41 +0000 2016
Check out New Tomica MAZDA Roadster MX-5 ND 1:57  First Special Spec Japan Limited ! #Tomica https://t.co/PQUMtpqA6z via @eBay #Oklahoma,Thu Mar 24 23:38:45 +0000 2016
BOOMER SOONER🏀🏀🏀#sweetsixteen #OU #Sooners #marchmadness https://t.co/0iiGoTj30b,Thu Mar 24 23:38:47 +0000 2016
"RT @RabbleTV: Hear alt audio, have your questions answered and make fun of the TBS crew here. #OUvsTAMU #Sooners #Aggies  https://t.co/4qO0…",Thu Mar 24 23:38:49 +0000 2016
"RT @OU_MBBall: #Sooners starting 5.
Time to become Elite! https://t.co/ztKvcbKWdn",Thu Mar 24 23:38:49 +0000 2016
"RT @SPORTalkOU: RT Oklahoma #Sooners 

LIKE Texas A&amp;M #Aggies 

Join us on the app SPORTalk and discuss the game! https://t.co/Jydi5domJU",Thu Mar 24 23:38:55 +0000 2016
"After last week, anything Charles Barkley says about #TAMU tonight is irrelevant and should be taken with a grain of salt",Thu Mar 24 23:38:55 +0000 2016
Here. We. Go! #Sooners,Thu Mar 24 23:38:59 +0000 2016
.@GeorgeJanca squeezes in a run with a bunt... A&amp;M leads 2-0 in the bottom of the second. #12thMan,Thu Mar 24 23:38:59 +0000 2016
Almost time for tip-off. Here’s my breakdown of Texas A&amp;M-Oklahoma. #Aggies #Sooners https://t.co/Kbs3rd1rQn,Thu Mar 24 23:39:00 +0000 2016
Top 6 #Oklahoma City #CPAs for Small Businesses (Screencast) https://t.co/5OugiEwMIl https://t.co/0ZP7ixWGPe,Thu Mar 24 23:39:00 +0000 2016
Top 6 #Oklahoma City #CPAs for Small Businesses (Screencast) https://t.co/djs0lgrUng https://t.co/UIYBCl5GQp,Thu Mar 24 23:39:01 +0000 2016
Top 6 #Oklahoma City #CPAs for Small Businesses (Screencast) https://t.co/4lSLFBuW48 https://t.co/aDXToUui5E,Thu Mar 24 23:39:01 +0000 2016
Top 6 #Oklahoma City #CPAs for Small Businesses (Screencast) https://t.co/I2LyyaN5cz https://t.co/2tF07T1IjO,Thu Mar 24 23:39:02 +0000 2016
#Oklahoma #OU #Sweet16 #MoeschMadness #Sooners ❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️,Thu Mar 24 23:39:04 +0000 2016
RT @Aggie_Baseball: .@GeorgeJanca squeezes in a run with a bunt... A&amp;M leads 2-0 in the bottom of the second. #12thMan,Thu Mar 24 23:39:05 +0000 2016
RT @Aggie_Baseball: .@GeorgeJanca squeezes in a run with a bunt... A&amp;M leads 2-0 in the bottom of the second. #12thMan,Thu Mar 24 23:39:05 +0000 2016
"My picks for tonight:

#Villanova
#Oklahoma 
#Kansas 
#Duke https://t.co/ekoJfWWyCd",Thu Mar 24 23:39:05 +0000 2016
"RT @justinmhite: Can’t get a picture of it but #Sooners forward Ryan Spangler’s mom LeAnne has a sign that says “Rebound, Ry Ry, Rebound.” …",Thu Mar 24 23:39:06 +0000 2016
RT @Aggie_Baseball: .@GeorgeJanca squeezes in a run with a bunt... A&amp;M leads 2-0 in the bottom of the second. #12thMan,Thu Mar 24 23:39:12 +0000 2016
#BuddyBuckets  https://t.co/uBQvRvqgEG,Thu Mar 24 23:39:15 +0000 2016
"Hey Texas A&amp;M, you managed to have a historic comeback last round. Have any energy left against Buddy, #Sooners? https://t.co/GnbRyvqhSe",Thu Mar 24 23:39:16 +0000 2016
"RT @AggieMensHoops: Final stretch before game time, tune in at 6:37 on TBS #12thMan #AggieHoops #Sweet16 https://t.co/PVeu85njvd",Thu Mar 24 23:39:17 +0000 2016
"#Sooners 3-0 when I wear a suit. Wearing a suit again tonight. (Not in Cali though, I just like to look good)",Thu Mar 24 23:39:20 +0000 2016
GoogleExpertUK : In #Oklahoma you can be arrested for making ugly faces at a dog. https://t.co/DkVxsRAHKz (via Twi… https://t.co/etjQ6ZWAlz,Thu Mar 24 23:39:22 +0000 2016
#BuddyBuckets,Thu Mar 24 23:39:22 +0000 2016
"RT @Spark_Sports_: Hey Texas A&amp;M, you managed to have a historic comeback last round. Have any energy left against Buddy, #Sooners? https:/…",Thu Mar 24 23:39:25 +0000 2016
Time for the Buddy show #BuddyBuckets,Thu Mar 24 23:39:30 +0000 2016
Here. We. Go! #Sooners #Sweet16 #MarchMadness,Thu Mar 24 23:39:31 +0000 2016
RT @Aggie_Baseball: .@GeorgeJanca squeezes in a run with a bunt... A&amp;M leads 2-0 in the bottom of the second. #12thMan,Thu Mar 24 23:39:32 +0000 2016
"RT @Spark_Sports_: Hey Texas A&amp;M, you managed to have a historic comeback last round. Have any energy left against Buddy, #Sooners? https:/…",Thu Mar 24 23:39:32 +0000 2016
"RT @OU_MBBall: #Sooners starting 5.
Time to become Elite! https://t.co/ztKvcbKWdn",Thu Mar 24 23:39:34 +0000 2016
"Go #Sooners !! (@ Honda Center for Texas A&amp;M Aggies vs Oklahoma Sooners in Anaheim, CA) https://t.co/fdLPRqb2kA https://t.co/jHdAlOBVJM",Thu Mar 24 23:39:35 +0000 2016
#Sooners and #GigEm getting ready to tip. Winner advances to Elite Eight to face winner of Duke/Oregon. @OUNightly,Thu Mar 24 23:39:40 +0000 2016
RT @Aggie_Baseball: .@GeorgeJanca squeezes in a run with a bunt... A&amp;M leads 2-0 in the bottom of the second. #12thMan,Thu Mar 24 23:39:40 +0000 2016
Time for my personal pick to win it all: Oklahoma. #TAMUvsOU #MarchMadness,Thu Mar 24 23:39:43 +0000 2016
When your friend FaceTimes from Anaheim and rubs it in my face @RadewahnDakota #Gigem #BTHOou,Thu Mar 24 23:39:44 +0000 2016
Let's go #AggieHoops #GigEm,Thu Mar 24 23:39:45 +0000 2016
"RT @OU_MBBall: #Sooners starting 5.
Time to become Elite! https://t.co/ztKvcbKWdn",Thu Mar 24 23:39:54 +0000 2016
The 2nd seeded Sooners come into tonight's action having defeated CSU-Bakersfield 82-68 in the first round before an 85-81 win over VCU. #OU,Thu Mar 24 23:40:05 +0000 2016
I promise I'll be a better person if we make it to the elite 8. #Gigem,Thu Mar 24 23:40:07 +0000 2016
"#TAMU #Aggies #FightSong The Aggie War Hymn #NCAA
https://t.co/g7pxg06FdH",Thu Mar 24 23:40:11 +0000 2016
"#Sooners come into this game 2nd in the country in three-point shooting percentage.

Texas A&amp;M is 172nd.",Thu Mar 24 23:40:14 +0000 2016
"RT @OU_MBBall: #Sooners starting 5.
Time to become Elite! https://t.co/ztKvcbKWdn",Thu Mar 24 23:40:15 +0000 2016
Billy Kennedy said limiting the #Sooners play beyond the arc will be a top priority. OU shoots 42.5% from 3pt land https://t.co/2MKDFckuYj,Thu Mar 24 23:40:17 +0000 2016
Let's go #OU #Boomer,Thu Mar 24 23:40:21 +0000 2016
#BoomerSooner #TAMUvsOU #Sweet16 #MarchMadness,Thu Mar 24 23:40:24 +0000 2016
"RT @OU_MBBall: We told you about that 242 thing...

Captivating Our Nation 🇺🇸 
Carrying His 🇧🇸 
#BuddyBuckets 
#MarchMadness
https://t.co/P…",Thu Mar 24 23:40:24 +0000 2016
