text,time
"Sales Associate position is open for apply in #GreenBay, #WI https://t.co/yntK2BDbgz #jobs #hiring",Fri Mar 18 17:34:13 +0000 2016
"Pharmacy Technician - CVS Health: (#GreenBay, WI) https://t.co/mIPtw09xYP #Healthcare #Job #Jobs #Hiring",Fri Mar 18 17:35:33 +0000 2016
"RT @AggieMTEN: .@arthurrinder &amp; @JacksonWithrow7 win on a break point 6-2 on court 1️⃣. 
🎾 #12thMan https://t.co/BWWq8IkIlZ",Fri Mar 18 17:35:34 +0000 2016
"@JustinTuck @SteveSmithII @NoPlayDre I'm w| Wisconsin/Pittsburgh: #Lakewood's #standings, #TAMU's 5-2,&amp; Mavs'/Warriors' Singleback Plays.",Fri Mar 18 17:35:51 +0000 2016
"RT @AggieMensHoops: It's #GameDay, pres. by @memorialhermann
🏀 vs Green Bay
🕗 6:20pm
📺 @TBS
💻 https://t.co/w3PsqF2mFo
#12thMan https://t.co…",Fri Mar 18 17:35:54 +0000 2016
#GreenBayPackers #Packers #GoPackGo Oddsmakers Don't Care About Packers' Inactivity #GBPackers #GreenBay https://t.co/DndDGnPsLh,Fri Mar 18 17:36:02 +0000 2016
RT @AggieMensHoops: Game day is here. Look back at our coverage and follow along all weekend long at https://t.co/x5QRnEO8ku #12thMan https…,Fri Mar 18 17:36:22 +0000 2016
"RT @AggieMensHoops: This is our time
A&amp;M vs Green Bay / 6:20pm / TBS
#12thMan #AggieHoops #MarchMadness https://t.co/6Z3sucDphq",Fri Mar 18 17:36:29 +0000 2016
"RT @AggieMTEN: .@arthurrinder &amp; @JacksonWithrow7 win on a break point 6-2 on court 1️⃣. 
🎾 #12thMan https://t.co/BWWq8IkIlZ",Fri Mar 18 17:37:07 +0000 2016
"RT @Aggie_Baseball: It's #GameDay, pres. by @memorialhermann
⚾ vs Auburn
🕡 6:30pm
📺 @SECNetwork+
💻 https://t.co/XJhObJxLZ5
#12thMan https:/…",Fri Mar 18 17:37:14 +0000 2016
"RT @TAMU_Sports: Seems like someone at AT&amp;T doesn't like TU either. On another note, I just made a new best friend. #GigEm #12thMan https:/…",Fri Mar 18 17:37:52 +0000 2016
"RT @AggieMensHoops: This is our time
A&amp;M vs Green Bay / 6:20pm / TBS
#12thMan #AggieHoops #MarchMadness https://t.co/6Z3sucDphq",Fri Mar 18 17:38:32 +0000 2016
"RT @AggieMensHoops: It's #GameDay, pres. by @memorialhermann
🏀 vs Green Bay
🕗 6:20pm
📺 @TBS
💻 https://t.co/w3PsqF2mFo
#12thMan https://t.co…",Fri Mar 18 17:39:48 +0000 2016
@AaronRodgers12 get with the program! #RP40,Fri Mar 18 17:39:50 +0000 2016
Here we go! #MarchMadness #OSUvsVCU #OUvsCBU #TAMUvsGB #UTvsUNI https://t.co/vIszY8wVKg,Fri Mar 18 17:39:55 +0000 2016
"RT @AggieMTEN: .@arthurrinder &amp; @JacksonWithrow7 win on a break point 6-2 on court 1️⃣. 
🎾 #12thMan https://t.co/BWWq8IkIlZ",Fri Mar 18 17:39:56 +0000 2016
"RT @AggieMensHoops: This is our time
A&amp;M vs Green Bay / 6:20pm / TBS
#12thMan #AggieHoops #MarchMadness https://t.co/6Z3sucDphq",Fri Mar 18 17:40:03 +0000 2016
RT @AggieMensHoops: Game day is here. Look back at our coverage and follow along all weekend long at https://t.co/x5QRnEO8ku #12thMan https…,Fri Mar 18 17:40:25 +0000 2016
"The Herald Bulletin UW-Green Bay Phoenix ready for March Madness WBAY Oklahoma City, OK –… https://t.co/CSuTVPiinM #GreenBay #Wisconsin",Fri Mar 18 17:40:32 +0000 2016
https://t.co/VXsSZYMfBq Over 2000 without power in Green Bay https://t.co/VXsSZYMfBq Wisconsin… https://t.co/EUNwQk36NA #GreenBay #Wisconsin,Fri Mar 18 17:40:33 +0000 2016
"RT @AggieMensHoops: This is our time
A&amp;M vs Green Bay / 6:20pm / TBS
#12thMan #AggieHoops #MarchMadness https://t.co/6Z3sucDphq",Fri Mar 18 17:41:44 +0000 2016
Aaron Rodgers #12 #GreenBay #Packers T-Shirt Youth Small(8) https://t.co/warKSMhoDT #Sports #Buzz https://t.co/zwsh0IDTHe,Fri Mar 18 17:43:18 +0000 2016
"Accountemps: Accounting Clerk (#GreenBay, WI) https://t.co/n5gM0rZzdd #Accounting #Accountemps #Job #Jobs #Hiring",Fri Mar 18 17:44:27 +0000 2016
