text,time
RT @UNC_Basketball: GAMEDAY! Joel Berry II wants to hear all the Tar Heels at PNC Arena tonight. #HeelsLockIn … https://t.co/G3sIeh96pw htt…,Sat Mar 19 16:22:45 +0000 2016
RT @UNC_Basketball: GAMEDAY! Joel Berry II wants to hear all the Tar Heels at PNC Arena tonight. #HeelsLockIn … https://t.co/G3sIeh96pw htt…,Sat Mar 19 16:22:48 +0000 2016
RT @UNC_Basketball: GAMEDAY! Joel Berry II wants to hear all the Tar Heels at PNC Arena tonight. #HeelsLockIn … https://t.co/G3sIeh96pw htt…,Sat Mar 19 16:23:01 +0000 2016
RT @UNC_Basketball: GAMEDAY! Joel Berry II wants to hear all the Tar Heels at PNC Arena tonight. #HeelsLockIn … https://t.co/G3sIeh96pw htt…,Sat Mar 19 16:23:06 +0000 2016
RT @UNC_Basketball: Previewing Providence: https://t.co/QLBtJJlr9K #UNCBBall #HeelsLockIn https://t.co/EORsODE4g5,Sat Mar 19 16:23:10 +0000 2016
"#Providence, RI #Sales #Job: Small Business Specialist at Citizens Bank https://t.co/TrgIR4qAFN #cfgjobs #Jobs #Hiring #CareerArc",Sat Mar 19 16:23:13 +0000 2016
RT @UNC_Basketball: GAMEDAY! Joel Berry II wants to hear all the Tar Heels at PNC Arena tonight. #HeelsLockIn … https://t.co/G3sIeh96pw htt…,Sat Mar 19 16:23:21 +0000 2016
RT @UNC_Basketball: GAMEDAY! Joel Berry II wants to hear all the Tar Heels at PNC Arena tonight. #HeelsLockIn … https://t.co/G3sIeh96pw htt…,Sat Mar 19 16:23:32 +0000 2016
RT @UNC_Basketball: GAMEDAY! Joel Berry II wants to hear all the Tar Heels at PNC Arena tonight. #HeelsLockIn … https://t.co/G3sIeh96pw htt…,Sat Mar 19 16:23:44 +0000 2016
RT @EmpowerNU: Thank the @NUDoghouse for putting #Providence out of their misery.  99 bottle countdown got all the way to 1   #GoNU https:/…,Sat Mar 19 16:23:45 +0000 2016
"RT @PCBobDriscoll: GAMEDAY in FRIARTOWN, but don't ever forget, EVERYDAY  Is GAMEDAY In FRIARTOWN. #gofriars",Sat Mar 19 16:23:57 +0000 2016
RT @EmpowerNU: Thank the @NUDoghouse for putting #Providence out of their misery.  99 bottle countdown got all the way to 1   #GoNU https:/…,Sat Mar 19 16:24:00 +0000 2016
#AsambleaUniversitaria #UNC en directo https://t.co/mg7T0QoWXC vía @YouTube,Sat Mar 19 16:24:07 +0000 2016
RT @UNC_Basketball: GAMEDAY! Joel Berry II wants to hear all the Tar Heels at PNC Arena tonight. #HeelsLockIn … https://t.co/G3sIeh96pw htt…,Sat Mar 19 16:24:24 +0000 2016
RT @UNC_Basketball: GAMEDAY! Joel Berry II wants to hear all the Tar Heels at PNC Arena tonight. #HeelsLockIn … https://t.co/G3sIeh96pw htt…,Sat Mar 19 16:24:39 +0000 2016
RT @UNC_Basketball: Previewing Providence: https://t.co/QLBtJJlr9K #UNCBBall #HeelsLockIn https://t.co/EORsODE4g5,Sat Mar 19 16:24:50 +0000 2016
RT @UNC_Basketball: GAMEDAY! Joel Berry II wants to hear all the Tar Heels at PNC Arena tonight. #HeelsLockIn … https://t.co/G3sIeh96pw htt…,Sat Mar 19 16:25:21 +0000 2016
RT @UNC_Basketball: GAMEDAY! Joel Berry II wants to hear all the Tar Heels at PNC Arena tonight. #HeelsLockIn … https://t.co/G3sIeh96pw htt…,Sat Mar 19 16:25:28 +0000 2016
RT @UNC_Basketball: GAMEDAY! Joel Berry II wants to hear all the Tar Heels at PNC Arena tonight. #HeelsLockIn … https://t.co/G3sIeh96pw htt…,Sat Mar 19 16:25:29 +0000 2016
RT @gobdecordoba: Internas de Bower participaron de un proyecto artístico de la #UNC Más información en: https://t.co/XJBlk9bcA7,Sat Mar 19 16:25:51 +0000 2016
RT @UNC_Basketball: Previewing Providence: https://t.co/QLBtJJlr9K #UNCBBall #HeelsLockIn https://t.co/EORsODE4g5,Sat Mar 19 16:25:56 +0000 2016
