text,time
"RT @AggieMensHoops: It's #GameDay, pres. by @memorialhermann
🏀 vs UNI
🕗 6:45pm
📺 truTV
💻 https://t.co/w3PsqF2mFo
#12thMan #AggieHoops https…",Sun Mar 20 15:30:50 +0000 2016
Good luck to the #Hawkeyes and the #UNIPanthers in their #MarchMadness games today! Make Iowa proud!,Sun Mar 20 15:30:53 +0000 2016
"Friday night, #UNI showed us again why #NCAABasketball never should adopt the absurd #NBA timeout rule  https://t.co/Hhdbtyo3Vq",Sun Mar 20 15:31:07 +0000 2016
"RT @AggieMensHoops: It's #GameDay, pres. by @memorialhermann
🏀 vs UNI
🕗 6:45pm
📺 truTV
💻 https://t.co/w3PsqF2mFo
#12thMan #AggieHoops https…",Sun Mar 20 15:31:11 +0000 2016
"RT @AggieMensHoops: It's #GameDay, pres. by @memorialhermann
🏀 vs UNI
🕗 6:45pm
📺 truTV
💻 https://t.co/w3PsqF2mFo
#12thMan #AggieHoops https…",Sun Mar 20 15:31:27 +0000 2016
"RT @AggieMensHoops: It's #GameDay, pres. by @memorialhermann
🏀 vs UNI
🕗 6:45pm
📺 truTV
💻 https://t.co/w3PsqF2mFo
#12thMan #AggieHoops https…",Sun Mar 20 15:31:32 +0000 2016
RT @CarPanthersNews: 25 more Sundays until #Panthers football returns!!! https://t.co/gg4Y9HbPQq,Sun Mar 20 15:31:33 +0000 2016
#SuperBowl50 TIX 🏈https://t.co/OCawDiE0mt 🏈- Denver #Broncos vs. Carolina #Panthers. #Tickets #Ticket #NFL… https://t.co/8JuBziaYsq,Sun Mar 20 15:31:35 +0000 2016
@JTrotter_54 Honorary Alumnus today in Brooklyn! Go Lumberjacks! #MarchMadness #SFA #NCAATOURNAMENT #BeatND https://t.co/VXcesOEoG9,Sun Mar 20 15:31:36 +0000 2016
"RT @AggieMensHoops: It's #GameDay, pres. by @memorialhermann
🏀 vs UNI
🕗 6:45pm
📺 truTV
💻 https://t.co/w3PsqF2mFo
#12thMan #AggieHoops https…",Sun Mar 20 15:31:39 +0000 2016
RT @PantherPepCrew: It's game day! Who's next? #BeatTexasAandM #UNIFight #MarchMadness #WADY https://t.co/wOAipwBwOg,Sun Mar 20 15:31:39 +0000 2016
"All That 6'5"" - 250 lb Chiseled #Chocolate ... #CamNewton #KeepPounding #PantherNation https://t.co/y2LzP0zjY8",Sun Mar 20 15:31:42 +0000 2016
"RT @AggieMensHoops: It's #GameDay, pres. by @memorialhermann
🏀 vs UNI
🕗 6:45pm
📺 truTV
💻 https://t.co/w3PsqF2mFo
#12thMan #AggieHoops https…",Sun Mar 20 15:31:46 +0000 2016
RT @CarPanthersNews: 25 more Sundays until #Panthers football returns!!! https://t.co/gg4Y9HbPQq,Sun Mar 20 15:31:46 +0000 2016
RT @Panthers: The first day of Spring means we're one season closer to #Panthers football https://t.co/a5VMtcPhRC,Sun Mar 20 15:31:47 +0000 2016
"Domingo de Ramos ♡
¡¡Bendito El que viene en el Nombre del Señor!!
#SFA https://t.co/NVhZ0ofaOb",Sun Mar 20 15:31:50 +0000 2016
"RT @AggieMensHoops: It's #GameDay, pres. by @memorialhermann
🏀 vs UNI
🕗 6:45pm
📺 truTV
💻 https://t.co/w3PsqF2mFo
#12thMan #AggieHoops https…",Sun Mar 20 15:31:54 +0000 2016
"RT @AggieMensHoops: It's #GameDay, pres. by @memorialhermann
🏀 vs UNI
🕗 6:45pm
📺 truTV
💻 https://t.co/w3PsqF2mFo
#12thMan #AggieHoops https…",Sun Mar 20 15:32:02 +0000 2016
"RT @AggieMensHoops: It's #GameDay, pres. by @memorialhermann
🏀 vs UNI
🕗 6:45pm
📺 truTV
💻 https://t.co/w3PsqF2mFo
#12thMan #AggieHoops https…",Sun Mar 20 15:32:06 +0000 2016
RT @Panthers: The first day of Spring means we're one season closer to #Panthers football https://t.co/a5VMtcPhRC,Sun Mar 20 15:32:13 +0000 2016
"RT @AggieMensHoops: It's #GameDay, pres. by @memorialhermann
🏀 vs UNI
🕗 6:45pm
📺 truTV
💻 https://t.co/w3PsqF2mFo
#12thMan #AggieHoops https…",Sun Mar 20 15:32:15 +0000 2016
"RT @tsnmike: Friday night, #UNI showed us again why #NCAABasketball never should adopt the absurd #NBA timeout rule  https://t.co/Hhdbtyo3Vq",Sun Mar 20 15:32:17 +0000 2016
"RT @AggieMensHoops: It's #GameDay, pres. by @memorialhermann
🏀 vs UNI
🕗 6:45pm
📺 truTV
💻 https://t.co/w3PsqF2mFo
#12thMan #AggieHoops https…",Sun Mar 20 15:32:18 +0000 2016
"RT @AggieMensHoops: It's #GameDay, pres. by @memorialhermann
🏀 vs UNI
🕗 6:45pm
📺 truTV
💻 https://t.co/w3PsqF2mFo
#12thMan #AggieHoops https…",Sun Mar 20 15:32:24 +0000 2016
RT @Panthers: The first day of Spring means we're one season closer to #Panthers football https://t.co/a5VMtcPhRC,Sun Mar 20 15:32:47 +0000 2016
"RT @AggieMensHoops: It's #GameDay, pres. by @memorialhermann
🏀 vs UNI
🕗 6:45pm
📺 truTV
💻 https://t.co/w3PsqF2mFo
#12thMan #AggieHoops https…",Sun Mar 20 15:32:49 +0000 2016
RT @CarPanthersNews: 25 more Sundays until #Panthers football returns!!! https://t.co/gg4Y9HbPQq,Sun Mar 20 15:32:56 +0000 2016
RT @CarPanthersNews: 25 more Sundays until #Panthers football returns!!! https://t.co/gg4Y9HbPQq,Sun Mar 20 15:32:57 +0000 2016
RT @PantherPepCrew: It's game day! Who's next? #BeatTexasAandM #UNIFight #MarchMadness #WADY https://t.co/wOAipwBwOg,Sun Mar 20 15:32:59 +0000 2016
"RT @AggieMensHoops: It's #GameDay, pres. by @memorialhermann
🏀 vs UNI
🕗 6:45pm
📺 truTV
💻 https://t.co/w3PsqF2mFo
#12thMan #AggieHoops https…",Sun Mar 20 15:33:01 +0000 2016
