text,time
RT @UVAMensHoops: Ready for Butler. #MarchMadness #GoHoos https://t.co/CGc3GobLXh,Sat Mar 19 16:22:46 +0000 2016
Warm ups have begun at SEC's for @ugagymnastics #AllIn #AllTheTime #GoDawgs https://t.co/oirZxYFd9u,Sat Mar 19 16:22:57 +0000 2016
RT @UVAMensHoops: Ready for Butler. #MarchMadness #GoHoos https://t.co/CGc3GobLXh,Sat Mar 19 16:22:59 +0000 2016
TIX https://t.co/amtk8vxLch L Cleveland #Cavaliers Vs Milwaukee Bucks #Ticket For Sale https://t.co/MI8MOjrzXH #Tickets #Deal,Sat Mar 19 16:23:09 +0000 2016
RT @UVAMensHoops: Ready for Butler. #MarchMadness #GoHoos https://t.co/CGc3GobLXh,Sat Mar 19 16:23:22 +0000 2016
RT @UVAMensHoops: Ready for Butler. #MarchMadness #GoHoos https://t.co/CGc3GobLXh,Sat Mar 19 16:23:22 +0000 2016
Can't wait for him to get to Athens! #GoDawgs https://t.co/TJxaHQ95qK,Sat Mar 19 16:23:23 +0000 2016
RT @UVAMensHoops: Ready for Butler. #MarchMadness #GoHoos https://t.co/CGc3GobLXh,Sat Mar 19 16:23:24 +0000 2016
RT @DavidWoods007: From Dawg to Dawgs. #Butler #MarchMadness  https://t.co/OJ827rWYf3,Sat Mar 19 16:23:41 +0000 2016
RT @toofvrgone: Blessed &amp; excited to announce my commitment to run track for The University of Georgia🙏🙌#GoDawgs 🐶 #CommitToTheG 🐾💪 https:/…,Sat Mar 19 16:23:44 +0000 2016
"Time to get nervous, Dukies..you'll probably win, but if you don't you have years of humiliation to look forward to #Bulldogs #YALEvsDUKE",Sat Mar 19 16:23:53 +0000 2016
"#NBA Cleveland #Cavaliers vs. Dallas Mavericks - March 16, 2016 https://t.co/n0CeZtbIjx https://t.co/n3sKU6v79p",Sat Mar 19 16:23:57 +0000 2016
Working on the weekend. Ready for tonight's @IndianaMBB vs #Kentucky  game! #BeatKentucky #GoHoosiers 💪🏻🏀 #MarchMadness,Sat Mar 19 16:24:04 +0000 2016
RT @UVAMensLacrosse: PREVIEW: UVA heads to No. 2 @NDlacrosse in a return to ACC play #GoHoos https://t.co/NhG2wIsQOI https://t.co/ZOhIvAJarU,Sat Mar 19 16:24:06 +0000 2016
RT @ugaFBnation: Who's ready to #Cinco @TerryGodwin_4 back in action! Big Things This Yr! #GoDawgs #Dawgnation @skinnyqb10 https://t.co/fw6…,Sat Mar 19 16:24:14 +0000 2016
Good luck to @UGASoftball today in Columbia. We'll take care of the field while y'all are gone. #GoDawgs #beatcarolina #SEC,Sat Mar 19 16:24:14 +0000 2016
"RT @SelectRegistry: An aerial of the stunning @beliveauestate in Blacksburg, #Virginia https://t.co/BhPDMdQ5oT https://t.co/UTRckgQjFl",Sat Mar 19 16:24:17 +0000 2016
"sporting #Butler blue today for the game against UVA. ngl, I’m nervous, but the Dawgs have done it before and they can do it again!",Sat Mar 19 16:24:19 +0000 2016
@theugadawg I love the intensity! So pumped for next season. #GoDawgs,Sat Mar 19 16:24:22 +0000 2016
"#Sales #Job alert: Facility Service Sales... | UniFirst Corporation | #Butler, PA https://t.co/Co6A1KKoZm #B2B https://t.co/cJpwH3X3W4",Sat Mar 19 16:24:29 +0000 2016
RT @190_Club: Good luck to @UGASoftball today in Columbia. We'll take care of the field while y'all are gone. #GoDawgs #beatcarolina #SEC,Sat Mar 19 16:24:39 +0000 2016
RT @UVAMensHoops: Ready for Butler. #MarchMadness #GoHoos https://t.co/CGc3GobLXh,Sat Mar 19 16:24:48 +0000 2016
"RT @44LivesOn: Tune in on TBS 📺 #ALLGOD ""@ButlerAthletics: #GameDay #MarchMadness #GoDawgs https://t.co/C1mrejYvyF",Sat Mar 19 16:24:56 +0000 2016
Let's make it happen again today!!! #Butler #MarchMadness  https://t.co/jMkXU80LfD,Sat Mar 19 16:24:58 +0000 2016
RT @190_Club: Good luck to @UGASoftball today in Columbia. We'll take care of the field while y'all are gone. #GoDawgs #beatcarolina #SEC,Sat Mar 19 16:25:04 +0000 2016
RT @190_Club: Good luck to @UGASoftball today in Columbia. We'll take care of the field while y'all are gone. #GoDawgs #beatcarolina #SEC,Sat Mar 19 16:25:07 +0000 2016
RT @UVAMensHoops: Ready for Butler. #MarchMadness #GoHoos https://t.co/CGc3GobLXh,Sat Mar 19 16:25:08 +0000 2016
RT @T_attika: #USA ; #Virginia : VA roundtable studies successes to combat veteran homelessness - https://t.co/1KEEBjiHyx https://t.co/ndDa…,Sat Mar 19 16:25:26 +0000 2016
RT @UVAMensHoops: Ready for Butler. #MarchMadness #GoHoos https://t.co/CGc3GobLXh,Sat Mar 19 16:25:27 +0000 2016
RT @DreadTheTerror: So it begins! We will be playing our #HeroesOfTheDorm match at 1PM PST! Good luck to all the teams today! #GoDawgs #UW …,Sat Mar 19 16:25:44 +0000 2016
Round 2! #wahoowa #UVA #BeatButler @UVAMensHoops,Sat Mar 19 16:25:54 +0000 2016
"Cleveland #Cavaliers Cleveland Cavaliers have Terry Talkin' Kyrie Irving, LeBron James and point guards...  Click&gt; https://t.co/2gBZrXx6HI",Sat Mar 19 16:25:56 +0000 2016
RT @UVAMensHoops: Ready for Butler. #MarchMadness #GoHoos https://t.co/CGc3GobLXh,Sat Mar 19 16:26:16 +0000 2016
RT @UVAMensHoops: Ready for Butler. #MarchMadness #GoHoos https://t.co/CGc3GobLXh,Sat Mar 19 16:26:21 +0000 2016
RT @UVAMensHoops: Ready for Butler. #MarchMadness #GoHoos https://t.co/CGc3GobLXh,Sat Mar 19 16:26:48 +0000 2016
RT @190_Club: Good luck to @UGASoftball today in Columbia. We'll take care of the field while y'all are gone. #GoDawgs #beatcarolina #SEC,Sat Mar 19 16:27:08 +0000 2016
#Health #Solution Why Hoodia Gordonii Absolute Is A Great Weight Loss Supplement… https://t.co/N5j9GX02DD #Cavaliers #FitBit,Sat Mar 19 16:27:09 +0000 2016
RT @All_in_LC: Best of luck to Bulldog Baseball (at Pikeville) and Softball (home vs Perry Central) today. #GoDawgs #AllinLC,Sat Mar 19 16:27:38 +0000 2016
RT @BrewStuds: The #craftbeer boom: A look at #Virginia’s fast growing industry https://t.co/M4zLOikGgb #beer #business #markets https://t.…,Sat Mar 19 16:27:48 +0000 2016
RT @StateStatus_VA: https://t.co/IfgMVPhDu2 Virginia man pleads guilty to attempting to join Islamic State #VA #Virginia https://t.co/44x3k…,Sat Mar 19 16:27:49 +0000 2016
RT @UVAMensHoops: Ready for Butler. #MarchMadness #GoHoos https://t.co/CGc3GobLXh,Sat Mar 19 16:27:55 +0000 2016
RT @UVAMensHoops: Ready for Butler. #MarchMadness #GoHoos https://t.co/CGc3GobLXh,Sat Mar 19 16:27:59 +0000 2016
RT @UVAMensHoops: Ready for Butler. #MarchMadness #GoHoos https://t.co/CGc3GobLXh,Sat Mar 19 16:28:03 +0000 2016
"Also taking #Butler TT Under 61.5 because #Virginia 's defense is so good.
#sportsbetting #MarchMadness #Cavaliers",Sat Mar 19 16:28:04 +0000 2016
RT @UVAMensHoops: Ready for Butler. #MarchMadness #GoHoos https://t.co/CGc3GobLXh,Sat Mar 19 16:28:32 +0000 2016
RT @BassinDawg: @ugafanzone Jacob Eason going up against his dad's Alma mater! #GoDawgs https://t.co/v6a1gtBPzE,Sat Mar 19 16:28:46 +0000 2016
RT @UVAMensHoops: Another great feature about Malcolm. #GoHoos  https://t.co/xuiHNVrFWI,Sat Mar 19 16:28:55 +0000 2016
#Maryland #Vermont #NewHampshire #Rhodeisland #NewYork #Buffalo #Albany #Michigan #Iowa #Utah #Virginia #Richmond https://t.co/o4NGeWrLbW,Sat Mar 19 16:29:25 +0000 2016
RT @Hunkerdown_UGA: Warm ups have begun at SEC's for @ugagymnastics #AllIn #AllTheTime #GoDawgs https://t.co/oirZxYFd9u,Sat Mar 19 16:29:27 +0000 2016
TIX https://t.co/amtk8vxLch Cleveland #Cavaliers Vs Milwaukee Bucks #Ticket For Sale https://t.co/vboiAMGPdt #Tickets #Deal,Sat Mar 19 16:29:46 +0000 2016
TIX https://t.co/amtk8vxLch Cleveland #Cavaliers Vs Milwaukee Bucks #Tickets… https://t.co/RSTvT5Ty2N #Ticket #Sale https://t.co/gaxq5bcuvy,Sat Mar 19 16:29:46 +0000 2016
"@cavs 
#LebronJames #KingJames #Cle #Cleveland #Cavs #CavsNation #Ohio #Ctown #Cavaliers #… https://t.co/Lu1Dj6AM15 https://t.co/1A9SgwFUZN",Sat Mar 19 16:29:57 +0000 2016
RT @UVAMensHoops: Ready for Butler. #MarchMadness #GoHoos https://t.co/CGc3GobLXh,Sat Mar 19 16:30:14 +0000 2016
RT @UVAMensHoops: Ready for Butler. #MarchMadness #GoHoos https://t.co/CGc3GobLXh,Sat Mar 19 16:30:20 +0000 2016
@lilscoot_002 Proud of ya lil bra keep grinding 💯 My favorite team #GoDawgs #UGA,Sat Mar 19 16:30:30 +0000 2016
"Sucks when your historic run lasted 1 day, 4 hours, and 59 minutes... #Basketball #MM #Bulldogs https://t.co/RfjnT0tVb0",Sat Mar 19 21:37:52 +0000 2016
RT @ButlerMBB: Great fans sending us off in style. #GoDawgs https://t.co/H28Oc2MR9D,Sat Mar 19 21:37:58 +0000 2016
"Cheering on @ButlerMBB from Bowling Green, KY! #GoDawgs #SurviveAndAdvance",Sat Mar 19 21:38:08 +0000 2016
"RT @UWSoftball: Good morning, Husky fans. Today is our first @pac12 game and we hope to see you there! #UWvsUO #GoDawgs https://t.co/Wtqwp5…",Sat Mar 19 21:38:09 +0000 2016
"#Virginia #Woolf and her #father, sir #Leslie #Stephen ! @PHKG_ https://t.co/hw9rMlzDxx",Sat Mar 19 21:38:14 +0000 2016
"Sucks when your historic run lasted 1 day, 4 hours, and 59 minutes... #Basketball #MM #Bulldogs https://t.co/SimwGsPsDu",Sat Mar 19 21:38:34 +0000 2016
RT @WahooCentral: Slam. Dunk. Saturday. #GoHoos #MarchMadness https://t.co/OC6g8vVgij,Sat Mar 19 21:38:40 +0000 2016
Rocking my #Butler gear!,Sat Mar 19 21:38:55 +0000 2016
Feelin the win tonight from the Caribbean. #GoDawgs @ Saint Barthélemy https://t.co/s7aBrgzDQA,Sat Mar 19 21:39:06 +0000 2016
#Cavaliers #NBA Cleveland Cavaliers 2015-2016 The Sword YEARBOOK Lebron James Kyrie Irving Love https://t.co/Tttruj9Hi9 #Collectibles #Deals,Sat Mar 19 21:39:08 +0000 2016
#Basketball #Buzz LeBron James Cleveland #Cavaliers Christmas Jersey Adidas #NBA XXL New Rare #23 https://t.co/2dJ6tTdher #Deal #Bargain,Sat Mar 19 21:39:09 +0000 2016
#Sports #Goods LeBron James Cleveland #Cavaliers Christmas Jersey Adidas #NBA XXL New Rare #23 https://t.co/8sXMFjbnez #Forsale #onsale,Sat Mar 19 21:39:10 +0000 2016
#Cards #Card 2003-04 Bowman LeBron James Cleveland #Cavaliers #123 RC Card GEM MINT https://t.co/Urnllzkprf #NBA #Basketball,Sat Mar 19 21:39:12 +0000 2016
#Oxford HS (AL) 2017 LB K.J. Britt (@K_Britt10) receives offer from the #Georgia #Bulldogs https://t.co/woPrRsKm7H,Sat Mar 19 21:39:21 +0000 2016
"We made it to JPJ South and brought a new friend, the #NearSightedTaco! Thanks @Fathead! #GoHoos https://t.co/zscNXF1vUn",Sat Mar 19 21:39:39 +0000 2016
"Ugh, just went to a major online distributor &amp; found out I can't ship hard cider to #Virginia. After I filled my cart with great ciders. :/",Sat Mar 19 21:39:45 +0000 2016
RT @190_Club: Good luck to @UGASoftball today in Columbia. We'll take care of the field while y'all are gone. #GoDawgs #beatcarolina #SEC,Sat Mar 19 21:39:59 +0000 2016
