text,time
Philly bound !!! #GoHeels #HeelsLockIn https://t.co/yW2KZF3fPu,Sun Mar 27 20:52:04 +0000 2016
RT @UNC_Basketball: #HeelsLockIn #Elite8 https://t.co/oZYvVT4UNc,Sun Mar 27 20:52:14 +0000 2016
Fueling up for the #elite8 matchup. 4 hours until tip. #HeelsLockIn #GoHeels https://t.co/vqBrauybbo https://t.co/YdkaI3aDTu,Sun Mar 27 20:52:22 +0000 2016
RT @UNC_Basketball: Fueling up for the #elite8 matchup. 4 hours until tip. #HeelsLockIn #GoHeels https://t.co/vqBrauybbo https://t.co/YdkaI…,Sun Mar 27 20:52:28 +0000 2016
RT @UNC_Basketball: #HeelsLockIn #Elite8 https://t.co/oZYvVT4UNc,Sun Mar 27 20:52:28 +0000 2016
RT @UNC_Basketball: #HeelsLockIn #Elite8 https://t.co/oZYvVT4UNc,Sun Mar 27 20:52:29 +0000 2016
RT @UNC_Basketball: #HeelsLockIn #Elite8 https://t.co/oZYvVT4UNc,Sun Mar 27 20:52:31 +0000 2016
RT @UNC_Basketball: Fueling up for the #elite8 matchup. 4 hours until tip. #HeelsLockIn #GoHeels https://t.co/vqBrauybbo https://t.co/YdkaI…,Sun Mar 27 20:52:31 +0000 2016
RT @UNC_Basketball: Fueling up for the #elite8 matchup. 4 hours until tip. #HeelsLockIn #GoHeels https://t.co/vqBrauybbo https://t.co/YdkaI…,Sun Mar 27 20:52:32 +0000 2016
A trip to the #FinalFour is on the line tonight. #UNCBBall #HeelsLockIn,Sun Mar 27 20:52:36 +0000 2016
RT @UNC_Basketball: #HeelsLockIn #Elite8 https://t.co/oZYvVT4UNc,Sun Mar 27 20:52:38 +0000 2016
RT @OBJ_3: Is my team still in the tourney #UNC?,Sun Mar 27 20:52:38 +0000 2016
RT @UNC_Basketball: Fueling up for the #elite8 matchup. 4 hours until tip. #HeelsLockIn #GoHeels https://t.co/vqBrauybbo https://t.co/YdkaI…,Sun Mar 27 20:52:42 +0000 2016
RT @OBJ_3: Is my team still in the tourney #UNC?,Sun Mar 27 20:52:42 +0000 2016
RT @UNC_Basketball: Fueling up for the #elite8 matchup. 4 hours until tip. #HeelsLockIn #GoHeels https://t.co/vqBrauybbo https://t.co/YdkaI…,Sun Mar 27 20:52:42 +0000 2016
"@GottliebShow #UCLA #Okstate #UConn #UNC LMAO, didnt Ok St lose 10 games??? Dude you can't be serious..you're  a serious homer bro",Sun Mar 27 20:52:42 +0000 2016
