text,time
RT @vmpcott: WATCH: Debunking anti-Cruz myths (video) https://t.co/JpZ5XIEwjV  #UTAHPRIMARY  #ARIZONAPRIMARY  #UTPRIMARY  #AZPRIMARY  #Utah…,Sat Mar 19 16:22:47 +0000 2016
RT @BenWinslow: NEW: Federal judge DISMISSES #Utah lawsuit against @tedcruz over whether he's eligible to run for president. @fox13now #utp…,Sat Mar 19 16:23:05 +0000 2016
"RT @DFAaction: #Idaho #Arizona #Utah make sure you know where to vote on Tues. March 22 https://t.co/68nffYZga5 #FeelTheBern #UniteBlue 
#N…",Sat Mar 19 16:23:15 +0000 2016
"RT @DFAaction: #Idaho #Arizona #Utah make sure you know where to vote on Tues. March 22 https://t.co/68nffYZga5 #FeelTheBern #UniteBlue 
#N…",Sat Mar 19 16:23:17 +0000 2016
"RT @SLTtotheEbo: I didn't even know I like #Utah until they showed up in the 1,000's for the @BernieSanders rally! #goUtah #StillSanders #F…",Sat Mar 19 16:23:23 +0000 2016
"RT @ProgressivGreen: Need some Bernie in your life? Watch him speak LIVE in #Utah: https://t.co/nB7HnP0qzF

#UTCaucus #IDCaucus #AZPrimary …",Sat Mar 19 16:23:28 +0000 2016
#Arizona #Utah #Phoenix #Tucson  https://t.co/F2YlZVWNn6,Sat Mar 19 16:23:28 +0000 2016
RT @BYUSportsNation: Good luck today to our good friends @ZagMBB. All of #BYUSN is cheering for you. #BYU #GoZags https://t.co/PDEIwTnkIY,Sat Mar 19 16:23:28 +0000 2016
"RT @DFAaction: #Idaho #Arizona #Utah make sure you know where to vote on Tues. March 22 https://t.co/68nffYZga5 #FeelTheBern #UniteBlue 
#N…",Sat Mar 19 16:23:34 +0000 2016
"RT @ed_hooley: TED CRUZ SNAKE HANDLER, LAYING ON HANDS, SPEAKING IN TOUNGES https://t.co/YpiL2BP8qD #AZPrimary #UTPrimary #Utah https://t.c…",Sat Mar 19 16:23:41 +0000 2016
"RT @KLSouth: MT @WDFx2EU: To all #Utah #Mormon - Remember: 2 Nephi 9:34 ""Wo unto the liar, for he shall be thrust down to hell."" https://t.…",Sat Mar 19 16:23:44 +0000 2016
"RT @DeeHuckins: Find a #Rally for #Bernie #AZ #WA #Idaho #Utah
#CA #California  https://t.co/rtK8JWcNS7",Sat Mar 19 16:24:07 +0000 2016
"RT @spandakolis22: #BernieRally #Utah 14,000 made in. Several thousands listened outside the gates #TheWestIsYetToCome #FeelTheBern https:/…",Sat Mar 19 16:24:28 +0000 2016
RT @dixiefortrump: Amazing family is showing our country strong leadership!They are still marching forward! #ArizonaPrimary #UtahCaucus htt…,Sat Mar 19 16:24:34 +0000 2016
