text,time
RT @Emilnem: #Villanova's Arcidiacono hits a 👌 to end the half. #Wildcats up 26-40. https://t.co/sohjrZEftX,Fri Mar 18 17:33:28 +0000 2016
RT @SPORTalkNova: RETWEET if you're rooting for Villanova in their #NCAATOURNAMENT opener vs UNC Asheville #NovaNation #LetsMarchNova https…,Fri Mar 18 17:33:33 +0000 2016
Ryan Arcidiacono is real asf. Draining a buzzer-beater.⚡️👌🏾#Villanova,Fri Mar 18 17:33:48 +0000 2016
RT @jcorrado19: That #Villanova run got me like https://t.co/nkMxZ0EvhH,Fri Mar 18 17:33:58 +0000 2016
RT @ashevilledogs: Cheering on our Cinderella @UNCAbasketball #MarchMadness #OurTownOurTeam https://t.co/aFnDxt2AQK,Fri Mar 18 17:33:59 +0000 2016
RT @JillJelnickWRCB: Just arrived in Starkville! Now time to get ready for the game! Tip-off at 2:30 #LadyMocs vs. #Bulldogs 1st round NCAA…,Fri Mar 18 17:34:00 +0000 2016
"#Villanova leads #UNCA, 40-26, at the half.

Can the #Bulldogs pull off the upset? #MarchMadness https://t.co/NTo8zg9fRf",Fri Mar 18 17:34:08 +0000 2016
"RT @BobGrotz: Dwayne Sutton with 7 points for UNC Asheville...Had 25 points in his previous game.
#Nova #Bulldogs",Fri Mar 18 17:34:10 +0000 2016
RT @FOX29philly: Nova 40 UNC Asheville 26 at the half. Great start #NovaNation #LetsMarchNova https://t.co/WElDQi9CWA,Fri Mar 18 17:34:10 +0000 2016
RT @FOX29philly: Nova 40 UNC Asheville 26 at the half. Great start #NovaNation #LetsMarchNova https://t.co/WElDQi9CWA,Fri Mar 18 17:35:27 +0000 2016
RT @77MASH: #Cinderella https://t.co/GEmf9Ih6sG,Fri Mar 18 17:35:38 +0000 2016
RT @stacyjuba: Costumes arent just for Halloween.... https://t.co/wBOvfsEY3C  #Cinderella #Chick Lit #Kindle https://t.co/3xUx05ANHG,Fri Mar 18 17:35:40 +0000 2016
RT @jcorrado19: That #Villanova run got me like https://t.co/nkMxZ0EvhH,Fri Mar 18 17:35:49 +0000 2016
"RT @SPORTalkNova: 3's by Brunson and Archi, at the buzzer, gives Nova a 40-26 lead at halftime #NovaNation #MarchMadness https://t.co/bool4…",Fri Mar 18 17:35:50 +0000 2016
"Happen to be at UNC Asheville where am watching at the UNCA viewing part, and it be amazing if they somehow upset #Villanova. #MarchMadness",Fri Mar 18 17:35:51 +0000 2016
RT @NovaMBB: Arch with a 3 as the horn sounds! Wildcats lead 40-26 pending an official review. #LetsMarchNova,Fri Mar 18 17:35:52 +0000 2016
RT @VUCoachJWright: Game Day 12:40 PM @truTV #LetsMarchNova #MarchMadness https://t.co/skD6zKGqw4,Fri Mar 18 17:35:57 +0000 2016
#LetsMarchNova Cheering on from here in Denver thanks to @XFINITY live-streaming! https://t.co/2WnJRVphAI,Fri Mar 18 17:35:58 +0000 2016
"RT @77MASH: #HappyBirthdayJeffLaBar - March 18, 1963 - #Cinderella https://t.co/67rQJbYdme",Fri Mar 18 17:35:59 +0000 2016
"#LetsMarchNova #gocats💙 @KeithJones @NovaMBB #NovaNation 
Feel the Love from Philly! https://t.co/5xKXFMnWBu",Fri Mar 18 17:36:00 +0000 2016
RT @stacyjuba: Costumes arent just for Halloween.... https://t.co/wBOvfsEY3C  #Cinderella #Chick Lit #Kindle https://t.co/3xUx05ANHG,Fri Mar 18 17:36:11 +0000 2016
"RT @JeffSkversky: What a Day!

•12:40pm: #Villanova vs UNC Asheville

•3:10pm: #Temple vs Iowa
 
•9:57pm: #St. Joe's vs Cincinnati https://…",Fri Mar 18 17:36:14 +0000 2016
RT @SPORTalkNova: RETWEET if you're excited by Nova's 15-4 run to close the half #NovaNation #MarchMadness https://t.co/SnkIMdyNKX,Fri Mar 18 17:36:15 +0000 2016
"#NCAATOURNAMENT #Villanova 40, #UNCAshville 26 &gt; Finished under 1st-H o/u by a point. O/U was 67",Fri Mar 18 17:36:21 +0000 2016
RT @stacyjuba: Costumes arent just for Halloween.... https://t.co/wBOvfsEY3C  #Cinderella #Chick Lit #Kindle https://t.co/3xUx05ANHG,Fri Mar 18 17:36:24 +0000 2016
"RT @SPORTalkNova: 3's by Brunson and Archi, at the buzzer, gives Nova a 40-26 lead at halftime #NovaNation #MarchMadness https://t.co/bool4…",Fri Mar 18 17:36:25 +0000 2016
RT @SPORTalkNova: RETWEET if you're excited by Nova's 15-4 run to close the half #NovaNation #MarchMadness https://t.co/SnkIMdyNKX,Fri Mar 18 17:36:29 +0000 2016
"RT @77MASH: #HappyBirthdayJeffLaBar - March 18, 1963 - #Cinderella https://t.co/67rQJbYdme",Fri Mar 18 17:36:29 +0000 2016
"RT @NovaAthletics: Halftime: @NovaMBB leads @UNCAbasketball, 40-26! #LetsMarchNova #MarchMadness https://t.co/zdEZtrPYVz",Fri Mar 18 17:36:33 +0000 2016
RT @Jule_Brown12: #NovaNation,Fri Mar 18 17:36:34 +0000 2016
"RT @SPORTalkNova: 3's by Brunson and Archi, at the buzzer, gives Nova a 40-26 lead at halftime #NovaNation #MarchMadness https://t.co/bool4…",Fri Mar 18 17:36:35 +0000 2016
C'mon Dayton Flyers!!! Let's get it together and make another #Cinderella run. Go UD! #GoFlyers #TrueTeam,Fri Mar 18 17:36:59 +0000 2016
RT @SPORTalkNova: RETWEET if you're rooting for Villanova in their #NCAATOURNAMENT opener vs UNC Asheville #NovaNation #LetsMarchNova https…,Fri Mar 18 17:37:02 +0000 2016
#FF River Arts District Rock-Star: #Asheville #Art @RADartists,Fri Mar 18 17:37:05 +0000 2016
Cheering for Kenny George wherever he is #UNCAsheville #MarchMadness https://t.co/DV1gI9XMcG,Fri Mar 18 17:37:26 +0000 2016
