text,time
RT @VUCoachJWright: Game Day 12:10 PM on @CBSSports #LetsMarchNova https://t.co/nWhIbkbFaq,Sun Mar 20 15:31:00 +0000 2016
RT @Pappenjazz: WhatWasThat SPIN About @realDonaldTrump BeingUnable2Reach 50%? #Wisconsin #Arizona #UtahCaucus #NDA2016 #AS2016  https://t.…,Sun Mar 20 15:31:07 +0000 2016
Don't forget tonight's Viewing Party at GSC with @XU_Xtreme_Fans &amp; @Ryans_Pub. $5 Burgers and $3 Onion Ring or Fries Baskets #GoX #LetsMarch,Sun Mar 20 15:31:40 +0000 2016
Time to go get it X!!! #LetsGoX #MarchMadness  https://t.co/1GqYmKJldq,Sun Mar 20 15:31:47 +0000 2016
#Badgers struggled w/Purdue's size. Xavier isn't as big but Musketeers will have edge over UW. Interesting battle.,Sun Mar 20 15:31:54 +0000 2016
RT @SPORTalkNova: RETWEET if you're rooting for Villanova to beat Iowa #NovaNation #LetsMarchNova #MarchMadness https://t.co/ExxsWV40cI,Sun Mar 20 15:32:02 +0000 2016
RT @SPORTalkNova: RETWEET if you're rooting for Villanova to beat Iowa #NovaNation #LetsMarchNova #MarchMadness https://t.co/ExxsWV40cI,Sun Mar 20 15:32:15 +0000 2016
[SB Nation: Bucky's 5th Quarter] 3tto: The transformation of Wisconsin forward Vitto Brown https://t.co/ODAq1UInaA #Badgers,Sun Mar 20 15:32:15 +0000 2016
RT @NovaBBallMemes: GAME. DAY.  Time to get the 🐵 off ours backs. Nova. Iowa. 12:10. A trip to the #Sweet16 on the line. #LetsMarchNova htt…,Sun Mar 20 15:32:22 +0000 2016
"RT @NovaMBB: Wildcats have arrived at the @barclayscenter. 

#LetsMarchNova 
#MarchMadness https://t.co/LpGRS4iIqV",Sun Mar 20 15:32:23 +0000 2016
RT @SPORTalkNova: RETWEET if you're rooting for Villanova to beat Iowa #NovaNation #LetsMarchNova #MarchMadness https://t.co/ExxsWV40cI,Sun Mar 20 15:32:37 +0000 2016
RT @NovaBBallMemes: GAME. DAY.  Time to get the 🐵 off ours backs. Nova. Iowa. 12:10. A trip to the #Sweet16 on the line. #LetsMarchNova htt…,Sun Mar 20 15:32:39 +0000 2016
It's #GameDay on #Wisconsin @Reuvers23 #GoX @jon_reuvers https://t.co/F6D3hFbNWE,Sun Mar 20 15:32:52 +0000 2016
"#TheMillers Under 15s are also 3-0 up now against #LewishamYouth in a dominant performance here at #Badgers!
#COYM",Sun Mar 20 15:33:00 +0000 2016
Get the dub! @NovaMBB #LetsMarchNova #MarchMadness,Sun Mar 20 15:33:38 +0000 2016
RT @WISN_Watson: UPDATE: @NIGEL_HAYES isn't giving up on his crush @msleamichele quite yet. #Badgers @BadgerMBB https://t.co/ASw8D5HvgK,Sun Mar 20 15:33:43 +0000 2016
"Let's go Nova! Let's end the stupid ""can't get out of the 1st wknd"" narrative once and for all! @NovaMBB #NovaNation #NovaMBB #LetsMarchNova",Sun Mar 20 15:33:46 +0000 2016
RT @VUCoachJWright: Game Day 12:10 PM on @CBSSports #LetsMarchNova https://t.co/nWhIbkbFaq,Sun Mar 20 15:33:49 +0000 2016
