text,time
RT @GFCoyle: Teyvon Myers had to leave Brooklyn to succeed. Now he's back to chase an NCAA title https://t.co/Yt3FqkC6qq #WVU https://t.co/…,Fri Mar 18 17:33:28 +0000 2016
"RT @PMJ_Sports: #NCAA #Basketball #SportsBetting 
#NCAATournament 
#StephenFAustin v #WestVirginia 
betting position now available",Fri Mar 18 17:35:46 +0000 2016
RT @SFA_MBB: Let the Madness begin! SFA takes on West Virginia at 6:10 CT on CBS tonight. #AxeEm #MarchMadness https://t.co/tIhl5Lg9yI,Fri Mar 18 17:35:51 +0000 2016
"End of Third Quarter: West Virginia 49, Princeton 46 #HailWV #ncaaW https://t.co/mUEYNczaMJ",Fri Mar 18 17:36:53 +0000 2016
"RT @WVUWBB: End of Third Quarter: West Virginia 49, Princeton 46 #HailWV #ncaaW https://t.co/mUEYNczaMJ",Fri Mar 18 17:37:04 +0000 2016
@steveaustinBSR can the Stephen F. Austin Lumberjacks count on your support today? #AxeEm #AxetheMountaineers #MarchMadness,Fri Mar 18 17:37:25 +0000 2016
"RT @WVUWBB: End of Third Quarter: West Virginia 49, Princeton 46 #HailWV #ncaaW https://t.co/mUEYNczaMJ",Fri Mar 18 17:38:05 +0000 2016
"RT @WVUWBB: End of Third Quarter: West Virginia 49, Princeton 46 #HailWV #ncaaW https://t.co/mUEYNczaMJ",Fri Mar 18 17:38:05 +0000 2016
End of the 3rd.  49-46. #WVU #NCAATOURNAMENT https://t.co/ku3ttwVeRm,Fri Mar 18 17:38:27 +0000 2016
"[ESPN Video] A. Tarakchian made layup off the opening tip.: 
Q1 (9:58) PRIN Annie Tarakchian made Layup. https://t.co/68qOnGFpDa #WVU",Fri Mar 18 17:38:59 +0000 2016
"[ESPN Video] B. Holmes made Three Point Jumper.: 
Q2 (1:49) WVU Bria Holmes made Three Point Jumper. https://t.co/Wapt8CkezX #WVU",Fri Mar 18 17:38:59 +0000 2016
"[ESPN Video] A. Wheatley made layup to get off to a fast start.: 
Q1 (6:55) PRIN Alex Wheatley made Layup. https://t.co/z8PpFkgl2J #WVU",Fri Mar 18 17:38:59 +0000 2016
"#WVU RT "" End of Third Quarter: West Virginia 49, Princeton 46 #HailWV #ncaaW… "" #SportsRoadhouse https://t.co/TGpilLt1PJ",Fri Mar 18 17:39:03 +0000 2016
RT @Corey_Bender: 3-star CB Randall Haynie breaks down his top 5 w/ Scout: https://t.co/TQUrBxBX2m #GoBlue #Badgers #WVU #Vandy #Duke https…,Fri Mar 18 17:39:23 +0000 2016
RT @SFA_MBB: Let the Madness begin! SFA takes on West Virginia at 6:10 CT on CBS tonight. #AxeEm #MarchMadness https://t.co/tIhl5Lg9yI,Fri Mar 18 17:39:25 +0000 2016
The fourth quarter is underway! #HailWV #ncaaW,Fri Mar 18 17:39:35 +0000 2016
"Gameday RT: Food, spare time and other recommendations for #WVU fans heading to Brooklyn.... https://t.co/waRTDtXxgb",Fri Mar 18 17:39:38 +0000 2016
Game Day! Let's get it SFA 😈 #AxeEm 🏀🏀🏀,Fri Mar 18 17:39:53 +0000 2016
Interesting Facts About West Virginia https://t.co/1k93LaKdlU #WestVirginia #Travel https://t.co/ZLYHYyDOup,Fri Mar 18 17:39:56 +0000 2016
March Madness high atop the Barclays. #wildcats #WVU https://t.co/0xd61W5xgH,Fri Mar 18 17:40:04 +0000 2016
"RT @WVUWBB: End of Third Quarter: West Virginia 49, Princeton 46 #HailWV #ncaaW https://t.co/mUEYNczaMJ",Fri Mar 18 17:40:04 +0000 2016
RT @AustinFenoglio: @steveaustinBSR can the Stephen F. Austin Lumberjacks count on your support today? #AxeEm #AxetheMountaineers #MarchMad…,Fri Mar 18 17:40:27 +0000 2016
RT @Jacob_Guidry: Me waiting for @SFA_MBB to tip off tonight. #MarchMadness #AxeEm https://t.co/BgyCVj92MP,Fri Mar 18 17:40:35 +0000 2016
"RT @WVUWBB: End of Third Quarter: West Virginia 49, Princeton 46 #HailWV #ncaaW https://t.co/mUEYNczaMJ",Fri Mar 18 17:40:35 +0000 2016
RT @WVUWBB: The fourth quarter is underway! #HailWV #ncaaW,Fri Mar 18 17:40:41 +0000 2016
RT @WVUfootball: Practice No. 3 is underway!👍🏻 #HailWV https://t.co/Gucr9QN9bA,Fri Mar 18 17:40:48 +0000 2016
RT @SFA_Softball: Gameday 'Jacks! SFA takes on UCA at 3 p.m. at SFA Softball Field. #AxeEm https://t.co/LhqcQQ0Lql,Fri Mar 18 17:41:13 +0000 2016
RT @GFCoyle: #WVU practice at the Barclays Center. https://t.co/7cep8LdPfH,Fri Mar 18 17:41:15 +0000 2016
"RT @WVUWBB: End of Third Quarter: West Virginia 49, Princeton 46 #HailWV #ncaaW https://t.co/mUEYNczaMJ",Fri Mar 18 17:41:20 +0000 2016
RT @JuwanStaten3: Ready to watch my boys turn up tonight! #HailWV,Fri Mar 18 17:41:40 +0000 2016
RT @mhauswirth_WVi: The @barclayscenter never looked so good. #WVU https://t.co/udFbBEbSHU,Fri Mar 18 17:41:43 +0000 2016
RT @alden_utz: It's been 727 days since SFA beat the hell out of VCU #AxeEm,Fri Mar 18 17:41:57 +0000 2016
RT @WVUWBB: The fourth quarter is underway! #HailWV #ncaaW,Fri Mar 18 17:42:02 +0000 2016
RT @SFA_MBB: Let the Madness begin! SFA takes on West Virginia at 6:10 CT on CBS tonight. #AxeEm #MarchMadness https://t.co/tIhl5Lg9yI,Fri Mar 18 17:42:37 +0000 2016
RT @WVUWBB: This is where our journey begins... #RoadtoIndy #ncaaW #HailWV https://t.co/Tn9EWyUkAF,Fri Mar 18 17:43:26 +0000 2016
RT @WVUNewsFeed: Rifle and engineering: a match made on the range https://t.co/aZP2uJeWDN #WVU,Fri Mar 18 17:44:26 +0000 2016
"#WVU RT "" The fourth quarter is underway! #HailWV #ncaaW "" #SportsRoadhouse",Fri Mar 18 17:44:39 +0000 2016
"#WVU RT "" Ray knocks down a three to start the fourth quarter! WVU leads 52-46 with nine minutes to go in the game. "" #SportsRoadhouse",Fri Mar 18 17:44:39 +0000 2016
RT @wvutoday: #WVU programs included in two first-ever rankings by U.S. News: https://t.co/JHqD0fBbB0,Fri Mar 18 17:44:42 +0000 2016
"@espn @marchmadness  We are NOT SF Austin, Steph. F. Austin. We are STEPHEN F. AUSTIN or SFA for short. #sfa #AxeEmJacks",Fri Mar 18 17:45:34 +0000 2016
"RT @WVUWBB: End of Third Quarter: West Virginia 49, Princeton 46 #HailWV #ncaaW https://t.co/mUEYNczaMJ",Fri Mar 18 17:45:43 +0000 2016
That feeling you get watching #WVU in March... https://t.co/bbLsh1twkX,Fri Mar 18 17:45:45 +0000 2016
RT @Jacob_Guidry: Me waiting for @SFA_MBB to tip off tonight. #MarchMadness #AxeEm https://t.co/BgyCVj92MP,Fri Mar 18 17:45:48 +0000 2016
"Mixtape is ready for the next step. Which is record. Then we put the final touches and this summer hopefully, you's get a new project. #SFA",Fri Mar 18 17:46:07 +0000 2016
"RT @EerSportsDotCom: #WVU is ""at the top"" for a Top 20 DT QB after his visit to Morgantown... https://t.co/6DcKuLVF3T",Fri Mar 18 17:46:17 +0000 2016
RT @SFA_MBB: The last shoot around before the dancing shoes get laced up. #AxeEm https://t.co/GRxgK6RNzY,Fri Mar 18 17:46:18 +0000 2016
RT @SFA_MBB: Let the Madness begin! SFA takes on West Virginia at 6:10 CT on CBS tonight. #AxeEm #MarchMadness https://t.co/tIhl5Lg9yI,Fri Mar 18 17:46:25 +0000 2016
"RT @CMAnderson247: Gameday RT: Food, spare time and other recommendations for #WVU fans heading to Brooklyn.... https://t.co/waRTDtXxgb",Fri Mar 18 17:46:29 +0000 2016
"RT @abbygail94: IT'S GAME DAY JACKS!! 
Cannot contain my excitement today 😊😊😊 
#AxeEm #MarchMadness",Fri Mar 18 17:47:47 +0000 2016
#PressVirginia #PressVirginia #PressVirginia #PressVirginia #PressVirginia #PressVirginia #PressVirginia #PressVirginia #PressVirginia #WVU,Fri Mar 18 17:48:15 +0000 2016
#SFAMarchMadness Party | Shot By: @OnScenesTv https://t.co/1ojtw4GlqP #sfa #sfa19,Fri Mar 18 17:48:16 +0000 2016
"RT @abbygail94: IT'S GAME DAY JACKS!! 
Cannot contain my excitement today 😊😊😊 
#AxeEm #MarchMadness",Fri Mar 18 17:48:34 +0000 2016
"Five Mountaineers Facing ""Make It or Break It"" Spring for #WVU (FREE)....  https://t.co/k3lwWI60Qj",Fri Mar 18 17:49:06 +0000 2016
"Yes, Stephen F. Austin University, #WVU knows who you are. You have a good program, but you will not defeat... https://t.co/06oc8BxQfI",Fri Mar 18 17:49:17 +0000 2016
Media Timeout. West Virginia holds a 64-54 advantage with 4:32 to go in the game. WVU has made three of its last field goals. #HailWV,Fri Mar 18 17:49:42 +0000 2016
It's game day! #AxeEm 🏀,Fri Mar 18 17:49:49 +0000 2016
"Being the birthplace of Stephen F Austin, we wish @CoachBradSFA &amp; @SFA_MBB the best of luck tonight against #PressVirginia... #AxeEm!",Fri Mar 18 17:50:39 +0000 2016
#BernieSanders #Phonebankers #southDakota #Indiana #WestVirginia #Maryland #Delaware #NewJersey #Connecticut #RhodeIsland,Fri Mar 18 17:51:29 +0000 2016
"RT @WVUWBB: End of Third Quarter: West Virginia 49, Princeton 46 #HailWV #ncaaW https://t.co/mUEYNczaMJ",Fri Mar 18 17:51:44 +0000 2016
"#WVU RT "" Martin hits a jumper in the paint,as the Mountaineers now hold their largest lead of the game with 6:58 left… "" #SportsRoadhouse",Fri Mar 18 17:52:11 +0000 2016
"#WVU RT "" Martin hits a huge basket from behind the arch! WVU goes up 10 with 5:48 remaining in the game. "" #SportsRoadhouse",Fri Mar 18 17:52:11 +0000 2016
"#WVU RT "" Media Timeout. West Virginia holds a 64-54 advantage with 4:32 to go in the game. WVU has made three of its… "" #SportsRoadhouse",Fri Mar 18 17:52:14 +0000 2016
#WVU'19 y'all niggas follow my new account.. ✊🏾🔥,Fri Mar 18 17:53:43 +0000 2016
RT @Corey_Bender: 3-star CB Randall Haynie breaks down his top 5 w/ Scout: https://t.co/TQUrBxBX2m #GoBlue #Badgers #WVU #Vandy #Duke https…,Fri Mar 18 17:53:59 +0000 2016
Get up wv! It's game day! #WVU #LetsGoMountaineers,Fri Mar 18 17:54:15 +0000 2016
"RT @WVUWBB: End of Third Quarter: West Virginia 49, Princeton 46 #HailWV #ncaaW https://t.co/mUEYNczaMJ",Fri Mar 18 17:54:28 +0000 2016
