text,time
RT @Emilnem: #Villanova's Arcidiacono hits a 👌 to end the half. #Wildcats up 26-40. https://t.co/sohjrZEftX,Fri Mar 18 17:33:28 +0000 2016
RT @SPORTalkNova: RETWEET if you're rooting for Villanova in their #NCAATOURNAMENT opener vs UNC Asheville #NovaNation #LetsMarchNova https…,Fri Mar 18 17:33:33 +0000 2016
RT @FOX29philly: Nova 40 UNC Asheville 26 at the half. Great start #NovaNation #LetsMarchNova https://t.co/WElDQi9CWA,Fri Mar 18 17:34:10 +0000 2016
RT @FOX29philly: Nova 40 UNC Asheville 26 at the half. Great start #NovaNation #LetsMarchNova https://t.co/WElDQi9CWA,Fri Mar 18 17:35:27 +0000 2016
RT @NovaMBB: Arch with a 3 as the horn sounds! Wildcats lead 40-26 pending an official review. #LetsMarchNova,Fri Mar 18 17:35:52 +0000 2016
RT @VUCoachJWright: Game Day 12:40 PM @truTV #LetsMarchNova #MarchMadness https://t.co/skD6zKGqw4,Fri Mar 18 17:35:57 +0000 2016
#LetsMarchNova Cheering on from here in Denver thanks to @XFINITY live-streaming! https://t.co/2WnJRVphAI,Fri Mar 18 17:35:58 +0000 2016
"#LetsMarchNova #gocats💙 @KeithJones @NovaMBB #NovaNation 
Feel the Love from Philly! https://t.co/5xKXFMnWBu",Fri Mar 18 17:36:00 +0000 2016
Top #NCAAB consensus pick: XAV -13.0 (72%) https://t.co/I6GuOxZeM9 #SportsBetting #WEBvsXAV #Musketeers,Fri Mar 18 17:36:29 +0000 2016
"RT @NovaAthletics: Halftime: @NovaMBB leads @UNCAbasketball, 40-26! #LetsMarchNova #MarchMadness https://t.co/zdEZtrPYVz",Fri Mar 18 17:36:33 +0000 2016
RT @SPORTalkNova: RETWEET if you're rooting for Villanova in their #NCAATOURNAMENT opener vs UNC Asheville #NovaNation #LetsMarchNova https…,Fri Mar 18 17:37:02 +0000 2016
"RT @NovaAthletics: Halftime: @NovaMBB leads @UNCAbasketball, 40-26! #LetsMarchNova #MarchMadness https://t.co/zdEZtrPYVz",Fri Mar 18 17:37:35 +0000 2016
"RT @GC_XUAthletics: #LetsMarch history: today in 1990, @XavierMBB defeats G'town for its first Sweet 16.
#LetsGoX https://t.co/AKFW6jI7l0",Fri Mar 18 17:38:46 +0000 2016
Ryan Arcidiacono with the 3 at the buzzer!! #MarchMadness #NovaNation #LetsMarchNova https://t.co/zbpxzJQckw,Fri Mar 18 17:38:52 +0000 2016
RT @NovaMBB: The 3 counts - Cats lead after 20 minutes is 40-26. #LetsMarchNova,Fri Mar 18 17:39:32 +0000 2016
"RT @NovaMBB: #MarchMadness GAMEDAY! 

📍 @barclayscenter 
📺 @truTV 
📻 @610amsports 
📝 https://t.co/Sg2yjFKj0p

#LetsMarchNova https://t.co/L…",Fri Mar 18 17:39:48 +0000 2016
"RT @PopeJessica: #Musketeers 3
So, we're near ready to go, yes? https://t.co/aphNxVdSYe",Fri Mar 18 17:40:21 +0000 2016
RT @NovaMBB: Halftime stats. #LetsMarchNova https://t.co/dm4wfskjpI,Fri Mar 18 17:40:38 +0000 2016
RT @NovaMBB: The 3 counts - Cats lead after 20 minutes is 40-26. #LetsMarchNova,Fri Mar 18 17:40:41 +0000 2016
"RT @NovaMBB: #MarchMadness GAMEDAY! 

📍 @barclayscenter 
📺 @truTV 
📻 @610amsports 
📝 https://t.co/Sg2yjFKj0p

#LetsMarchNova https://t.co/L…",Fri Mar 18 17:40:55 +0000 2016
RT @andrewgall99: #LetsMarchNova #NovaNation,Fri Mar 18 17:41:23 +0000 2016
#SupportIndieFilm #Xavier by #Brazilian @rickymastro #LGBT https://t.co/qSPpuZgeNf,Fri Mar 18 17:41:24 +0000 2016
RT @VU_Business: The entire VSB community wishes @NovaMBB the best of luck as they take on UNC Asheville today at 12:40 PM! #LetsMarchNova …,Fri Mar 18 17:41:29 +0000 2016
I can only assume the Millers have a family vacation planned for Spring Break and that's why both teams will exit early #Flyers #Wildcats,Fri Mar 18 17:41:37 +0000 2016
PREVIEW: The outdoor track and field season starts on Saturday! https://t.co/3aVDks8P0g #LetsGoX,Fri Mar 18 17:41:50 +0000 2016
RT @FOX29philly: Nova 40 UNC Asheville 26 at the half. Great start #NovaNation #LetsMarchNova https://t.co/WElDQi9CWA,Fri Mar 18 17:41:58 +0000 2016
LETS GO @NovaMBB !!!! #MarchMadness #LetsMarchNova https://t.co/qYCpmZVJpu,Fri Mar 18 17:41:58 +0000 2016
"RT @NovaAthletics: Halftime: @NovaMBB leads @UNCAbasketball, 40-26! #LetsMarchNova #MarchMadness https://t.co/zdEZtrPYVz",Fri Mar 18 17:43:06 +0000 2016
RT @FOX29philly: Nova 40 UNC Asheville 26 at the half. Great start #NovaNation #LetsMarchNova https://t.co/WElDQi9CWA,Fri Mar 18 17:43:14 +0000 2016
RT @weberstate: It's NCAA Tournament GameDay! Weber State vs. Xavier at 7:20 MT on TNT and 1430 KLO. #WeAreWeber #MarchMadness https://t.co…,Fri Mar 18 17:43:48 +0000 2016
"#Xavier Dupont de Ligonnés : vu son côté ""cureton"", il est évident qu'il est planqué chez #Barbarin.",Fri Mar 18 17:44:07 +0000 2016
📷: First half photos! #MarchMadness #LetsMarchNova https://t.co/19YmdRzqOK,Fri Mar 18 17:44:10 +0000 2016
RT @NovaMBB: A 12-6 run by UNC Asheville trims the Villanova lead to 28-24 with 3:15 remaining before halftime. #LetsMarchNova,Fri Mar 18 17:44:26 +0000 2016
#Northwestern Northwestern University Insulated Cooler Tote Bag Lunchbox https://t.co/9lwZkfYvPq #Wildcats #NCAA,Fri Mar 18 17:44:34 +0000 2016
