text,time
RT @J_Sutphinnnn: Will Wade &amp; VCU on Espn is making my morning. #LetsGoVCU,Sun Mar 20 15:30:56 +0000 2016
Round of 32 game at 5:15. #VCU vs. #Oklahoma. Who wins? #MarchMadness,Sun Mar 20 15:31:03 +0000 2016
#NFL 2015 Panini Clear Vision Nick Foles Clarity #Rams https://t.co/XVQ5ZbgyTP #Forsale https://t.co/9nWMSWz9Aq,Sun Mar 20 15:31:10 +0000 2016
"RT @OU_MBBall: #GameDay! #Sooners take on VCU today in the Round of 32! #LetsDance 

🕟 4:15 p.m. CT
🖥 CBS
#️⃣BeatVCU https://t.co/U6GClXPO3A",Sun Mar 20 15:31:13 +0000 2016
Gameday #LetsGoVCU #VCU https://t.co/xHBYEnQaOP,Sun Mar 20 15:31:13 +0000 2016
RT @ThisIsEddieJ: Gameday #LetsGoVCU #VCU https://t.co/xHBYEnQaOP,Sun Mar 20 15:31:27 +0000 2016
RT @linwer: La Primavera entra con fuerza.¡¡no paro de estornudar!! @Imaxballester @Ines_Rubio @josechulopez1 @KarlosTorna #Rams https://t.…,Sun Mar 20 15:31:32 +0000 2016
#StLouisRams #Forum Rams Talk • Co.. #Rams #RamsNation https://t.co/TH3IzzXNXj,Sun Mar 20 15:31:33 +0000 2016
Who is ready for some #VCU basketball today?!,Sun Mar 20 15:31:38 +0000 2016
OK JOB: Edmond OK - Massage Therapist Wanted - We are currently accepting applications fo... https://t.co/5qcw5aMOln #Oklahoma #job #jobs,Sun Mar 20 15:31:42 +0000 2016
"RT @OU_MBBall: #GameDay! #Sooners take on VCU today in the Round of 32! #LetsDance 

🕟 4:15 p.m. CT
🖥 CBS
#️⃣BeatVCU https://t.co/U6GClXPO3A",Sun Mar 20 15:31:43 +0000 2016
RT @OU_Softball: It's Gameday! #Sooners close out the weekend in Fullerton against Nebraska at noon CT. https://t.co/Q9I1llK8qM,Sun Mar 20 15:31:53 +0000 2016
RT @thisisalexgrace: veeeeeeeeeeery nervous for today #VCU like VEREERYYYYEYEYEY nervous,Sun Mar 20 15:31:54 +0000 2016
"Leave NO doubt who the toughest team is..."" @willwadevcu @VCU_Hoops #GAMEDAY #LETSGOVCU #STILLDANCING #VCUvsALL https://t.co/cavCeaL53D",Sun Mar 20 15:32:00 +0000 2016
"RT @OU_MBBall: #GameDay! #Sooners take on VCU today in the Round of 32! #LetsDance 

🕟 4:15 p.m. CT
🖥 CBS
#️⃣BeatVCU https://t.co/U6GClXPO3A",Sun Mar 20 15:32:11 +0000 2016
JEQUAN'S TIME. LETS DO THIS. #LetsGoVCU #MarchMadness #RamNation https://t.co/tjRv3g2slG,Sun Mar 20 15:32:23 +0000 2016
RT @OU_Softball: It's Gameday! #Sooners close out the weekend in Fullerton against Nebraska at noon CT. https://t.co/Q9I1llK8qM,Sun Mar 20 15:32:24 +0000 2016
RT @justinmhite: #Sooners coach Lon Kruger says Akolda Manyang's status for Sunday's game in uncertain after a death in the family.,Sun Mar 20 15:32:25 +0000 2016
"The Oklahoman: 
Will Wade Proves The Perfect Hire To Continue VCU's Winning Tradition 
#LetsGoVCU #HAVOC https://t.co/mQZchlQ3JS",Sun Mar 20 15:32:36 +0000 2016
RT @ThisIsEddieJ: Gameday #LetsGoVCU #VCU https://t.co/xHBYEnQaOP,Sun Mar 20 15:32:37 +0000 2016
#STLRams #Rams #StLouisRams He's too short to play FS nm #RamsNation https://t.co/GMLWSYLXUs,Sun Mar 20 15:32:41 +0000 2016
"RT @OU_MBBall: #GameDay! #Sooners take on VCU today in the Round of 32! #LetsDance 

🕟 4:15 p.m. CT
🖥 CBS
#️⃣BeatVCU https://t.co/U6GClXPO3A",Sun Mar 20 15:32:45 +0000 2016
"ICYMI, recap from last night: #Sooners beat Bama behind @Shay_1715's walk-off homer - https://t.co/fFiMrpLsQi https://t.co/MqKabPgZBh",Sun Mar 20 15:32:47 +0000 2016
"Deck Painting Ardmore, OK - Papa's Decks Ardmore - Free In-Home Estimate https://t.co/8ejaz80LbQ
 #DeckPaintingOK #Oklahoma",Sun Mar 20 15:32:48 +0000 2016
"Deck Restoration Sallisaw OK – Papa’s Deck Restoration - Free In-Home Estimate https://t.co/CemMsYktWI
 #DeckRestorationOK #Oklahoma",Sun Mar 20 15:32:49 +0000 2016
RT @OU_WGymnastics: The #Sooners win their fifth straight #Big12GYM title!!! ☝⭕️🙌 https://t.co/LR8UbioYA8,Sun Mar 20 15:32:53 +0000 2016
"RT @RowdyRams: Gameday second round edition got us feeling like !! #LetsGoVCU 🐏🏀
See ya soon @OU_MBBall 👋🏽 https://t.co/iYxUADQbZd",Sun Mar 20 15:33:01 +0000 2016
"RT @ProfMitchell: Good luck today, @VCU_Hoops!  Make #RVA proud! #LetsGoVCU @HenryDavisCPA 🏀",Sun Mar 20 15:33:18 +0000 2016
Something to watch while you're waiting for #VCU to play. A new US-based #F1 team &amp; an overall corker of a race. https://t.co/xnKrgTOoRa,Sun Mar 20 15:34:07 +0000 2016
#NFL #Reebok NFL St. Louis #Rams Marshall Faulk #28 Mesh #Jersey Blue YOUTH Lg 14-16 EUC https://t.co/Jvy8zf8Gqr https://t.co/sqYXjfkIif,Sun Mar 20 15:34:13 +0000 2016
Let's go #Sooners  https://t.co/7iwvHOjFmw,Sun Mar 20 15:34:14 +0000 2016
#NFL RBK St Louis #Rams #8 Football #Jersey New Womens Size LG https://t.co/KWCXll3u9F #Football https://t.co/3TDIHPmDTS,Sun Mar 20 15:34:15 +0000 2016
"RT @OU_MBBall: #GameDay! #Sooners take on VCU today in the Round of 32! #LetsDance 

🕟 4:15 p.m. CT
🖥 CBS
#️⃣BeatVCU https://t.co/U6GClXPO3A",Sun Mar 20 15:34:23 +0000 2016
"RT @Setappen: ""Leave NO doubt who the toughest team is..."" @willwadevcu @VCU_Hoops #GAMEDAY #LETSGOVCU #STILLDANCING #VCUvsALL https://t.co…",Sun Mar 20 15:34:44 +0000 2016
"RT @OU_MBBall: #GameDay! #Sooners take on VCU today in the Round of 32! #LetsDance 

🕟 4:15 p.m. CT
🖥 CBS
#️⃣BeatVCU https://t.co/U6GClXPO3A",Sun Mar 20 15:34:47 +0000 2016
RT @J_Sutphinnnn: Will Wade &amp; VCU on Espn is making my morning. #LetsGoVCU,Sun Mar 20 15:35:10 +0000 2016
"RT @OU_MBBall: #GameDay! #Sooners take on VCU today in the Round of 32! #LetsDance 

🕟 4:15 p.m. CT
🖥 CBS
#️⃣BeatVCU https://t.co/U6GClXPO3A",Sun Mar 20 15:35:12 +0000 2016
RT @OU_Softball: It's Gameday! #Sooners close out the weekend in Fullerton against Nebraska at noon CT. https://t.co/Q9I1llK8qM,Sun Mar 20 15:35:13 +0000 2016
RT @ThisIsEddieJ: Gameday #LetsGoVCU #VCU https://t.co/xHBYEnQaOP,Sun Mar 20 15:35:15 +0000 2016
RT @OU_Track: .@SJazdyk29 getting read for flight 1 of the javelin with teammate T.J. Noonan! #LetsGo #Sooners ⭕️🙌👟💪 https://t.co/vfEndkGyC4,Sun Mar 20 15:35:18 +0000 2016
"RT @Setappen: ""Leave NO doubt who the toughest team is..."" @willwadevcu @VCU_Hoops #GAMEDAY #LETSGOVCU #STILLDANCING #VCUvsALL https://t.co…",Sun Mar 20 15:35:25 +0000 2016
RT @ThisIsEddieJ: Gameday #LetsGoVCU #VCU https://t.co/xHBYEnQaOP,Sun Mar 20 15:35:28 +0000 2016
"RT @OU_MBBall: #GameDay! #Sooners take on VCU today in the Round of 32! #LetsDance 

🕟 4:15 p.m. CT
🖥 CBS
#️⃣BeatVCU https://t.co/U6GClXPO3A",Sun Mar 20 15:35:35 +0000 2016
RT @Jlevine10: GAMEDAY 🏀 #LetsGoVCU,Sun Mar 20 15:35:36 +0000 2016
